,date,open,high,low,close,volume,Name
0,2013-02,15.07,15.12,12.7,13.43,157395500,AAL
1,2013-03,13.37,17.43,13.32,16.97,187166700,AAL
2,2013-04,17.02,17.13,15.03,16.9,152135500,AAL
3,2013-05,16.91,19.7,16.6,17.57,127394000,AAL
4,2013-06,17.54,18.2,15.59,16.42,104045500,AAL
5,2013-07,16.5,19.49,16.04,19.35,117959400,AAL
6,2013-08,19.44,19.59,15.28,16.16,218655000,AAL
7,2013-09,16.38,19.48,16.11,18.96,90979900,AAL
8,2013-10,18.98,23.16,18.98,21.97,125759100,AAL
9,2013-11,22.04,25.49,21.6,23.48,245060000,AAL
10,2013-12,23.55,27.2,21.45,25.25,326975115,AAL
11,2014-01,25.07,34.2,25.06,33.55,290486865,AAL
12,2014-02,33.95,37.28,33.05,36.93,197650111,AAL
13,2014-03,36.17,39.88,35.02,36.6,194563054,AAL
14,2014-04,36.95,38.9,31.86,35.07,256362862,AAL
15,2014-05,35.86,40.33,35.465,40.16,193186673,AAL
16,2014-06,40.0,44.88,38.855,42.96,335566049,AAL
17,2014-07,43.44,44.0,37.9,38.85,265245222,AAL
18,2014-08,38.75,41.0,35.23,38.881,178964756,AAL
19,2014-09,39.0,40.54,34.34,35.48,200594452,AAL
20,2014-10,34.72,41.75,28.1,41.35,473748341,AAL
21,2014-11,41.44,49.45,41.43,48.53,222785374,AAL
22,2014-12,49.0,54.64,46.05,53.63,315150645,AAL
23,2015-01,54.28,56.2,48.1,49.08,276821250,AAL
24,2015-02,48.58,52.2,45.95,47.9,208335720,AAL
25,2015-03,48.2,56.05,46.47,52.78,396784202,AAL
26,2015-04,51.1,53.47,46.88,48.285,235685115,AAL
27,2015-05,48.65,50.3,41.32,42.37,256703007,AAL
28,2015-06,42.61,44.38,38.45,39.935,301070219,AAL
29,2015-07,40.65,43.81,37.8,40.1,256056644,AAL
30,2015-08,40.24,44.45,34.1,38.98,216683826,AAL
31,2015-09,38.63,44.59,37.72,38.83,221864055,AAL
32,2015-10,38.5,46.77,37.42,46.22,232657041,AAL
33,2015-11,46.2,47.09,40.45,41.26,138401629,AAL
34,2015-12,41.47,46.49,40.7,42.35,170663254,AAL
35,2016-01,41.29,42.74,36.2,38.99,237116073,AAL
36,2016-02,39.0,41.6,34.76,41.0,184042964,AAL
37,2016-03,41.44,43.78,40.05,41.01,164028827,AAL
38,2016-04,40.13,41.76,34.1,34.69,206584339,AAL
39,2016-05,34.99,35.165,30.99,31.91,204488301,AAL
40,2016-06,31.94,33.58,24.85,28.31,274277522,AAL
41,2016-07,28.26,36.739000000000004,27.12,35.5,248243493,AAL
42,2016-08,35.54,37.355,33.0,36.3,181410357,AAL
43,2016-09,36.53,39.52,33.9,36.61,162150327,AAL
44,2016-10,36.46,40.93,36.33,40.6,176375805,AAL
45,2016-11,40.51,47.14,39.24,46.44,148409350,AAL
46,2016-12,46.2,50.64,45.58,46.69,122810423,AAL
47,2017-01,47.28,50.0,43.742,44.25,147289715,AAL
48,2017-02,44.75,48.05,43.57,46.36,110361270,AAL
49,2017-03,46.79,48.135,39.21,42.3,177947053,AAL
50,2017-04,42.33,47.39,40.82,42.62,136321182,AAL
51,2017-05,42.76,48.82,42.01,48.41,130919056,AAL
52,2017-06,48.5,51.95,48.01,50.32,133266730,AAL
53,2017-07,50.78,54.48,48.73,50.44,111659707,AAL
54,2017-08,51.13,52.0,42.67,44.74,122959810,AAL
55,2017-09,44.85,48.6,42.6066,47.49,131325139,AAL
56,2017-10,47.52,53.74,46.79,46.82,118566288,AAL
57,2017-11,48.0,51.16,45.27,50.49,73185721,AAL
58,2017-12,49.67,53.47,48.69,52.03,80012095,AAL
59,2018-01,52.33,59.08,51.9,54.32,121867885,AAL
60,2018-02,54.0,54.64,48.79,51.4,27239034,AAL
