,date,open,high,low,close,volume,Name
0,2013-02,67.7142,69.2771,62.5228,63.0571,1611612359,AAPL
1,2013-03,62.5714,67.1356,59.8571,63.2371,2288916525,AAPL
2,2013-04,63.1285,63.6071,55.0142,63.2542,2733426556,AAPL
3,2013-05,63.4942,66.5356,59.8428,64.2478,2359987959,AAPL
4,2013-06,64.3899,64.9185,55.5528,56.6471,1753831331,AAPL
5,2013-07,57.5271,65.3346,57.3171,64.6471,1632581104,AAPL
6,2013-08,65.1075,73.3914,64.7514,69.6022,2011059869,AAPL
7,2013-09,70.4428,72.5599,63.8885,68.1071,2153904130,AAPL
8,2013-10,68.3499,77.0356,68.3256,74.6716,1958084716,AAPL
9,2013-11,74.8599,79.7613,73.1971,79.4385,1306486944,AAPL
10,2013-12,79.7142,82.1622,76.9714,80.1456,1764561113,AAPL
11,2014-01,79.3828,80.0285,70.5071,71.5142,2203698567,AAPL
12,2014-02,71.8014,78.7413,71.3285,75.1771,1473553403,AAPL
13,2014-03,74.7742,78.4285,74.6871,76.6771,1251732447,AAPL
14,2014-04,76.8228,85.6328,73.0471,84.2985,1608767685,AAPL
15,2014-05,84.5713,92.0242,82.9042,90.4285,1434124272,AAPL
16,2014-06,90.5656,95.05,88.9285,92.93,1207232813,AAPL
17,2014-07,93.52,99.44,92.57,95.6,1035409432,AAPL
18,2014-08,94.9,102.9,93.28,102.5,937029111,AAPL
19,2014-09,103.06,103.74,96.14,100.75,1527937649,AAPL
20,2014-10,100.59,108.04,95.18,108.0,1360280122,AAPL
21,2014-11,108.22,119.75,107.72,118.93,820471729,AAPL
22,2014-12,118.81,119.25,106.26,110.38,1073775862,AAPL
23,2015-01,111.39,120.0,104.63,117.16,1305263613,AAPL
24,2015-02,118.05,133.6,116.08,128.46,1136535493,AAPL
25,2015-03,129.25,130.28,121.63,124.43,1138641910,AAPL
26,2015-04,124.82,134.54,123.1,125.15,996135511,AAPL
27,2015-05,126.1,132.97,123.36,130.28,954152126,AAPL
28,2015-06,131.2,131.39,124.48,125.425,878606841,AAPL
29,2015-07,126.9,132.97,119.22,121.3,1058280697,AAPL
30,2015-08,121.5,122.57,92.0,112.76,1607287267,AAPL
31,2015-09,110.18,116.89,107.36,110.3,1206547333,AAPL
32,2015-10,109.07,121.22,107.31,119.5,1113703829,AAPL
33,2015-11,119.87,123.82,111.0,118.3,750640573,AAPL
34,2015-12,118.75,119.86,104.82,105.26,922626259,AAPL
35,2016-01,102.61,105.85,92.39,97.34,1271848087,AAPL
36,2016-02,96.47,98.89,92.59,96.69,810862547,AAPL
37,2016-03,97.65,110.42,97.42,108.99,746136466,AAPL
38,2016-04,108.78,112.39,92.51,93.74,872383623,AAPL
39,2016-05,93.965,100.73,89.47,99.86,901144768,AAPL
40,2016-06,99.02,101.89,91.5,95.6,780630235,AAPL
41,2016-07,95.49,104.55,94.37,104.21,685779613,AAPL
42,2016-08,104.41,110.23,104.0,106.1,630128567,AAPL
43,2016-09,106.14,116.18,102.53,113.05,970096738,AAPL
44,2016-10,112.71,118.69,112.28,113.54,686914224,AAPL
45,2016-11,113.46,113.77,104.08,110.52,721554967,AAPL
46,2016-12,110.365,118.0166,108.25,115.82,608771645,AAPL
47,2017-01,115.8,122.44,114.76,121.35,563331160,AAPL
48,2017-02,127.03,137.48,127.01,136.99,574968547,AAPL
49,2017-03,137.89,144.5,137.05,143.66,562091214,AAPL
50,2017-04,143.71,145.46,140.06,143.65,373290435,AAPL
51,2017-05,145.1,156.65,144.27,152.76,654022901,AAPL
52,2017-06,153.17,155.98,142.2,144.02,684178036,AAPL
53,2017-07,144.88,153.99,142.41,148.73,422011831,AAPL
54,2017-08,157.06,164.52,154.63,164.0,646894310,AAPL
55,2017-09,164.8,164.94,149.16,154.12,680442092,AAPL
56,2017-10,154.26,169.6499,152.46,169.04,504291118,AAPL
57,2017-11,169.87,176.24,165.28,171.85,600366443,AAPL
58,2017-12,169.95,177.2,166.46,169.23,531184058,AAPL
59,2018-01,170.16,180.1,164.7,167.43,659679440,AAPL
60,2018-02,167.165,168.62,154.0,159.54,326415552,AAPL
