,date,open,high,low,close,volume,Name
0,2013-02,78.34,81.44,76.22,76.34,13528238,AAP
1,2013-03,76.37,83.07,75.623,82.65,19092744,AAP
2,2013-04,82.54,84.01,77.98,83.88,20008691,AAP
3,2013-05,83.85,88.74,81.51,81.52,13256965,AAP
4,2013-06,81.54,84.96,79.47,81.17,12641823,AAP
5,2013-07,81.72,84.16,81.03,82.49,12108439,AAP
6,2013-08,83.17,84.93,79.33,80.07,16011134,AAP
7,2013-09,81.3499,82.82,78.91,82.68,11775749,AAP
8,2013-10,82.7,102.82,80.28,99.18,24554028,AAP
9,2013-11,98.26,102.84,96.58,101.01,13039177,AAP
10,2013-12,101.35,111.94,100.94,110.68,18666034,AAP
11,2014-01,110.36,120.31,109.29,114.81,16162790,AAP
12,2014-02,115.44,129.1,109.58,127.36,22294221,AAP
13,2014-03,125.92,129.99,122.07,126.5,16189110,AAP
14,2014-04,126.96,128.49,115.76,121.29,14865647,AAP
15,2014-05,124.07,128.45,118.51,124.17,17926587,AAP
16,2014-06,124.22,136.12,123.2005,134.92,16626697,AAP
17,2014-07,135.86,135.95,121.03,121.11,13998424,AAP
18,2014-08,121.72,138.06,121.1701,136.42,15936143,AAP
19,2014-09,137.14,139.58,128.2,130.3,12613145,AAP
20,2014-10,129.89,147.25,129.08,146.96,19707241,AAP
21,2014-11,148.16,149.835,137.17,147.08,17437905,AAP
22,2014-12,146.41,163.36,146.13,159.28,16632736,AAP
23,2015-01,160.85,163.46,147.2001,159.0,16230522,AAP
24,2015-02,159.0,164.9997,148.5,154.93,21953387,AAP
25,2015-03,154.71,156.6,145.1,149.69,19275738,AAP
26,2015-04,147.78,154.66,142.9,143.0,21068725,AAP
27,2015-05,143.09,161.55,142.63,153.22,23058203,AAP
28,2015-06,154.28,165.16,152.2,159.29,15682123,AAP
29,2015-07,160.59,175.0,159.12,174.21,30088761,AAP
30,2015-08,174.93,192.27,151.3,175.25,27556690,AAP
31,2015-09,172.53,192.5,169.4,189.53,18375750,AAP
32,2015-10,190.28,199.39,185.16,198.43,16752134,AAP
33,2015-11,199.14,201.24,159.69,162.73,26161504,AAP
34,2015-12,162.99,164.25,144.73,150.51,30739552,AAP
35,2016-01,149.25,154.48,137.66,152.05,21189227,AAP
36,2016-02,151.7,156.34,131.59,148.44,24174155,AAP
37,2016-03,149.92,165.99,149.17,160.34,15608052,AAP
38,2016-04,160.41,164.135,153.5,156.1,12810314,AAP
39,2016-05,156.34,157.76,132.98,153.84,28353026,AAP
40,2016-06,153.84,161.78,148.51,161.63,26788908,AAP
41,2016-07,162.16,172.87,160.05,169.86,16241025,AAP
42,2016-08,169.26,171.95,155.89,157.38,25966879,AAP
43,2016-09,158.2,162.2799,145.15,149.12,23733888,AAP
44,2016-10,148.53,149.82,138.02,140.08,18407333,AAP
45,2016-11,139.88,174.31,134.08,169.72,32188993,AAP
46,2016-12,169.18,177.83,167.32,169.12,15394303,AAP
47,2017-01,170.78,177.5,162.27,164.24,17336738,AAP
48,2017-02,163.99,169.55,155.18,156.61,27618019,AAP
49,2017-03,158.59,158.59,146.175,148.26,22654587,AAP
50,2017-04,148.4,149.2,140.12,142.14,19523127,AAP
51,2017-05,143.15,151.72,129.4,133.63,36336248,AAP
52,2017-06,134.1,138.23,115.62,116.59,35920423,AAP
53,2017-07,117.45,118.73,99.13,112.01,39701377,AAP
54,2017-08,113.68,115.4,82.21,97.9,64524714,AAP
55,2017-09,98.31,100.71,91.46,99.2,36524962,AAP
56,2017-10,99.58,100.095,81.13,81.74,42923860,AAP
57,2017-11,82.33,102.89,78.81,101.0,47199722,AAP
58,2017-12,100.74,107.79,96.57,99.69,26814240,AAP
59,2018-01,100.9,123.9,99.71,116.99,30766650,AAP
60,2018-02,116.24,118.83,106.745,109.93,6538883,AAP
