,date,open,high,low,close,volume,Name
0,2013-02,36.37,39.13,35.01,36.92,112921716,ABBV
1,2013-03,36.8,40.8,36.551,40.78,122192214,ABBV
2,2013-04,39.96,46.32,39.96,46.05,176090272,ABBV
3,2013-05,45.74,48.0,42.6825,42.69,119553298,ABBV
4,2013-06,42.88,44.47,40.1,41.34,107878784,ABBV
5,2013-07,41.4,45.91,41.07,45.48,85648567,ABBV
6,2013-08,45.14,45.9,42.25,42.61,78314838,ABBV
7,2013-09,43.0,48.42,42.31,44.73,94904034,ABBV
8,2013-10,44.81,50.2,44.32,48.45,117966886,ABBV
9,2013-11,48.64,49.96,46.83,48.45,88610940,ABBV
10,2013-12,48.49,54.78,48.02,52.81,142946519,ABBV
11,2014-01,52.12,52.7,46.42,49.23,163965597,ABBV
12,2014-02,49.4,52.11,46.95,50.91,121062527,ABBV
13,2014-03,50.34,54.73,49.79,51.4,122231827,ABBV
14,2014-04,51.62,54.44,45.5,52.08,154860337,ABBV
15,2014-05,51.89,54.61,50.31,54.33,92470150,ABBV
16,2014-06,54.43,56.9,52.29,56.44,122892565,ABBV
17,2014-07,56.42,58.27,51.82,52.34,325955460,ABBV
18,2014-08,52.03,55.94,51.37,55.28,213146828,ABBV
19,2014-09,55.43,60.02,54.83,57.76,241528330,ABBV
20,2014-10,57.93,63.99,52.06,63.46,466044277,ABBV
21,2014-11,63.66,69.48,61.31,69.2,121411653,ABBV
22,2014-12,69.08,70.76,64.02,65.44,157665404,ABBV
23,2015-01,65.62,68.29,60.12,60.35,167925857,ABBV
24,2015-02,61.49,61.9,55.18,60.5,258899242,ABBV
25,2015-03,60.3,61.73,54.78,58.54,293361775,ABBV
26,2015-04,58.48,66.66,56.33,64.66,261303103,ABBV
27,2015-05,65.09,67.99,63.4,66.59,219975274,ABBV
28,2015-06,66.8,70.75,66.1,67.19,211736129,ABBV
29,2015-07,67.9,71.6,67.32,70.01,181339534,ABBV
30,2015-08,70.19,70.79,53.87,62.41,221581026,ABBV
31,2015-09,61.0,62.28,51.88,54.41,241249346,ABBV
32,2015-10,54.68,60.73,45.45,59.55,267052568,ABBV
33,2015-11,61.6,64.3,57.9601,58.15,158003518,ABBV
34,2015-12,58.23,60.12,53.24,59.24,160606497,ABBV
35,2016-01,58.06,59.81,50.71,54.9,217736110,ABBV
36,2016-02,54.16,57.31,51.6,54.61,183337851,ABBV
37,2016-03,54.78,57.87,54.24,57.12,141152932,ABBV
38,2016-04,56.58,62.1,56.36,61.0,140377868,ABBV
39,2016-05,60.79,63.87,58.5,62.93,206075202,ABBV
40,2016-06,62.9,65.37,58.32899999999999,61.91,211647191,ABBV
41,2016-07,61.98,66.4,61.77,66.23,153745568,ABBV
42,2016-08,66.23,68.1239,63.5,64.1,150348324,ABBV
43,2016-09,64.1,65.33,62.45,63.07,137691460,ABBV
44,2016-10,63.02,63.75,55.0623,55.78,133970519,ABBV
45,2016-11,56.0,65.05,55.68,60.8,195496801,ABBV
46,2016-12,60.83,63.33,58.75,62.62,149415214,ABBV
47,2017-01,62.92,64.5,59.27,61.11,156335976,ABBV
48,2017-02,61.07,62.4,60.05,61.84,126886726,ABBV
49,2017-03,62.16,66.79,61.95,65.16,143066152,ABBV
50,2017-04,65.24,67.5,63.1153,65.94,103923723,ABBV
51,2017-05,66.0,67.4,64.61,66.02,124444304,ABBV
52,2017-06,66.255,73.67,66.12,72.51,131258676,ABBV
53,2017-07,72.76,75.04,69.38,69.91,99934538,ABBV
54,2017-08,71.17,75.4,69.47,75.3,97305925,ABBV
55,2017-09,75.59,90.95,74.73,88.86,192331169,ABBV
56,2017-10,89.74,98.26,85.24,90.25,138207024,ABBV
57,2017-11,90.78,97.53,90.19,96.92,100958346,ABBV
58,2017-12,97.19,99.1,92.9,96.71,85781411,ABBV
59,2018-01,97.14,125.86,96.75,112.22,143369218,ABBV
60,2018-02,112.24,117.93,101.0,113.62,51094356,ABBV
