,date,open,high,low,close,volume,Name
0,2013-02,34.39,35.29,33.79,33.79,125701686,ABT
1,2013-03,33.69,35.34,33.27,35.32,147924265,ABT
2,2013-04,35.18,37.55,34.95,36.92,154942513,ABT
3,2013-05,36.77,38.77,35.58,36.67,158665178,ABT
4,2013-06,36.63,37.64,34.69,34.88,146867919,ABT
5,2013-07,34.97,37.16,33.72,36.63,156751422,ABT
6,2013-08,36.89,37.07,33.23,33.33,132761824,ABT
7,2013-09,33.68,35.72,32.7,33.19,175887449,ABT
8,2013-10,33.17,37.62,32.75,36.55,190012208,ABT
9,2013-11,36.69,38.81,36.61,38.19,123311543,ABT
10,2013-12,38.24,38.57,36.27,38.33,119129683,ABT
11,2014-01,38.09,39.86,35.65,36.66,168385158,ABT
12,2014-02,36.58,39.98,35.8,39.78,166792296,ABT
13,2014-03,39.5,40.49,38.08,38.51,178349783,ABT
14,2014-04,38.49,39.5,36.65,38.74,158570973,ABT
15,2014-05,38.65,40.13,38.25,40.01,112562425,ABT
16,2014-06,40.02,41.3,39.59,40.9,111959877,ABT
17,2014-07,41.18,43.27,40.92,42.12,124625922,ABT
18,2014-08,42.12,42.88,41.151,42.24,75705206,ABT
19,2014-09,42.17,44.2,41.59,41.59,96647850,ABT
20,2014-10,42.05,44.06,39.28,43.59,129634560,ABT
21,2014-11,43.56,44.77,43.02,44.51,79730049,ABT
22,2014-12,44.27,46.5,43.1,45.02,110977621,ABT
23,2015-01,45.25,45.87,43.355,44.76,116078043,ABT
24,2015-02,44.93,47.88,44.28,47.37,112823090,ABT
25,2015-03,47.34,47.85,46.1,46.33,113588158,ABT
26,2015-04,46.33,48.62,45.545,46.42,98184964,ABT
27,2015-05,46.71,49.43,46.23,48.6,89226772,ABT
28,2015-06,48.77,50.47,47.72,49.08,108410887,ABT
29,2015-07,49.4,51.74,48.92,50.69,118347107,ABT
30,2015-08,50.89,51.17,42.3032,45.29,148134359,ABT
31,2015-09,44.22,45.15,39.0,40.22,160514004,ABT
32,2015-10,40.35,45.34,39.28,44.8,173992535,ABT
33,2015-11,44.88,46.38,43.45,44.92,109831113,ABT
34,2015-12,45.22,46.22,43.565,44.91,120192575,ABT
35,2016-01,43.94,44.05,36.0,37.85,178808594,ABT
36,2016-02,36.17,39.88,36.02,38.74,148836092,ABT
37,2016-03,38.91,42.0,38.09,41.83,146244098,ABT
38,2016-04,41.53,44.58,38.58,38.9,180307265,ABT
39,2016-05,38.85,39.67,36.89,39.63,251980865,ABT
40,2016-06,39.37,39.64,36.76,39.31,224956357,ABT
41,2016-07,39.31,45.16,39.16,44.75,219211525,ABT
42,2016-08,44.75,45.79,41.93,42.02,227351788,ABT
43,2016-09,41.92,42.53,40.48,42.29,161481133,ABT
44,2016-10,42.06,43.78,39.22,39.24,187784564,ABT
45,2016-11,39.24,41.53,37.81,38.07,180434876,ABT
46,2016-12,38.12,39.79,37.38,38.41,178429130,ABT
47,2017-01,38.6334,41.79,38.34,41.77,211271813,ABT
48,2017-02,41.51,45.68,41.44,45.08,165452156,ABT
49,2017-03,45.37,45.84,44.26,44.41,148917233,ABT
50,2017-04,44.42,44.61,42.31,43.64,135570319,ABT
51,2017-05,43.57,45.75,42.88,45.66,132887398,ABT
52,2017-06,45.52,49.59,45.47,48.61,160419566,ABT
53,2017-07,48.73,51.13,47.83,49.18,114459104,ABT
54,2017-08,49.24,51.05,48.05,50.94,99870473,ABT
55,2017-09,51.03,54.8,50.64,53.36,125180692,ABT
56,2017-10,53.64,56.685,53.195,54.23,123636667,ABT
57,2017-11,53.89,56.52,53.6101,56.37,110108918,ABT
58,2017-12,56.3,57.765,54.32,57.07,128811376,ABT
59,2018-01,58.2,64.6,57.817,62.16,156005479,ABT
60,2018-02,61.75,62.54,57.33,58.67,54083697,ABT
