,date,open,high,low,close,volume,Name
0,2013-02,73.01,75.97,72.1,74.36,32174557,ACN
1,2013-03,74.13,78.46,72.42,75.97,52727048,ACN
2,2013-04,76.07,81.45,74.19,81.44,65784656,ACN
3,2013-05,81.44,84.225,78.74,82.11,60562607,ACN
4,2013-06,82.48,83.3,69.0,71.96,77005346,ACN
5,2013-07,72.14,76.62,71.39,73.81,78295890,ACN
6,2013-08,74.21,74.97,70.5,72.25,66292357,ACN
7,2013-09,72.72,78.34,72.36,73.64,70543524,ACN
8,2013-10,73.54,75.26,69.78,73.5,68987097,ACN
9,2013-11,73.89,79.45,72.33,77.47,61377998,ACN
10,2013-12,77.42,83.45,73.79,82.22,75331641,ACN
11,2014-01,81.5,85.88,78.82,79.88,70408572,ACN
12,2014-02,80.02,84.75,77.42,83.35,47476903,ACN
13,2014-03,82.56,84.69,76.25,79.72,69517579,ACN
14,2014-04,79.6,80.39,76.362,80.22,71964008,ACN
15,2014-05,80.18,81.49,77.71,81.45,42592217,ACN
16,2014-06,81.1,84.56,79.766,80.84,60239816,ACN
17,2014-07,81.09,81.69,78.85,79.28,50873478,ACN
18,2014-08,78.97,81.99,76.87,81.06,42683418,ACN
19,2014-09,80.95,82.16,77.5603,81.32,67907799,ACN
20,2014-10,81.18,84.22,73.98,81.12,74326609,ACN
21,2014-11,81.03,86.49,80.67,86.33,43764843,ACN
22,2014-12,85.88,91.94,81.66,89.31,62126040,ACN
23,2015-01,89.67,91.34,83.86,84.03,54806758,ACN
24,2015-02,84.42,91.44,83.47,90.03,41497276,ACN
25,2015-03,89.76,94.98,86.4,93.69,68505760,ACN
26,2015-04,93.56,96.78,92.13,92.65,48846178,ACN
27,2015-05,93.32,97.95,92.59,96.04,39463883,ACN
28,2015-06,96.18,100.47,94.25,96.78,49600471,ACN
29,2015-07,97.74,103.99,96.31,103.11,48479551,ACN
30,2015-08,103.17,105.37,88.43,94.27,57000025,ACN
31,2015-09,91.88,99.94,91.68,98.26,60094878,ACN
32,2015-10,98.47,109.86,96.31,107.2,55515022,ACN
33,2015-11,107.08,108.43,103.02,107.22,46896036,ACN
34,2015-12,107.29,109.65,101.91,104.5,54961773,ACN
35,2016-01,102.62,105.65,97.14,105.54,66082156,ACN
36,2016-02,104.75,106.8,91.4,100.26,72193525,ACN
37,2016-03,101.38,116.51,101.0,115.4,68423237,ACN
38,2016-04,114.76,116.52,111.79,112.92,49573270,ACN
39,2016-05,112.9,119.72,112.25,118.97,37905336,ACN
40,2016-06,118.21,120.78,108.66,113.29,50792827,ACN
41,2016-07,113.66,118.0,111.33,112.81,43822104,ACN
42,2016-08,112.58,116.2,111.73,115.0,42293025,ACN
43,2016-09,114.75,124.96,108.831,122.17,58698612,ACN
44,2016-10,121.59,122.47,114.51,116.24,50003647,ACN
45,2016-11,116.5,121.525,114.66,119.43,54965407,ACN
46,2016-12,119.5,125.72,116.09,117.13,49416188,ACN
47,2017-01,117.38,118.36,112.61,113.87,52906512,ACN
48,2017-02,113.8,123.43,112.31,122.5,38175650,ACN
49,2017-03,123.24,126.53,118.3,119.88,65635244,ACN
50,2017-04,118.0,121.35,114.82,121.3,42333931,ACN
51,2017-05,121.37,124.6,119.41,124.47,40498436,ACN
52,2017-06,124.93,128.47,119.1,123.68,56433208,ACN
53,2017-07,123.82,129.7,122.03,128.82,33694681,ACN
54,2017-08,130.06,130.92,127.26,130.76,32309047,ACN
55,2017-09,130.95,138.7,129.1,135.07,50821620,ACN
56,2017-10,135.23,143.78,133.66,142.36,41081231,ACN
57,2017-11,142.26,148.6,141.47,148.01,34120434,ACN
58,2017-12,147.7,158.44,145.745,153.09,40817009,ACN
59,2018-01,153.5,162.6,152.78,160.7,42247624,ACN
60,2018-02,160.155,161.13,149.43,155.15,14788191,ACN
