,date,open,high,low,close,volume,Name
0,2013-02,44.72,47.27,43.68,45.22,38396592,ADI
1,2013-03,45.0,46.995,44.33,46.49,40220673,ADI
2,2013-04,46.28,46.36,41.81,43.99,61307564,ADI
3,2013-05,44.12,47.2,43.58,45.93,47041400,ADI
4,2013-06,45.94,46.82,43.86,45.06,44118285,ADI
5,2013-07,45.0,49.67,44.9,49.38,40738518,ADI
6,2013-08,49.57,50.0,45.75,46.28,32264012,ADI
7,2013-09,46.97,48.75,46.36,47.05,31361998,ADI
8,2013-10,47.07,49.54,45.28,49.3,40557385,ADI
9,2013-11,49.68,50.79,46.1167,48.22,45689043,ADI
10,2013-12,47.8,51.2,47.8,50.93,38236743,ADI
11,2014-01,49.52,50.54,48.07,48.27,45460539,ADI
12,2014-02,48.23,52.38,47.14,50.82,43377707,ADI
13,2014-03,50.58,54.33,50.03,53.14,47794943,ADI
14,2014-04,53.5,54.4,50.07,51.29,40493947,ADI
15,2014-05,51.38,53.125,50.08,52.38,42621758,ADI
16,2014-06,52.41,56.18,51.92,54.07,39782723,ADI
17,2014-07,53.77,54.93,49.62,49.63,38367834,ADI
18,2014-08,49.61,52.95,48.81,51.12,37833782,ADI
19,2014-09,51.1,51.35,48.64,49.49,46644551,ADI
20,2014-10,49.35,50.54,42.57,49.62,79552861,ADI
21,2014-11,49.72,54.95,49.18,54.64,37639145,ADI
22,2014-12,54.48,57.99,54.19,55.52,53214674,ADI
23,2015-01,55.68,56.25,52.05,52.105,36274495,ADI
24,2015-02,52.1,59.65,51.29,58.54,37179368,ADI
25,2015-03,58.81,64.945,56.27,63.0,55036920,ADI
26,2015-04,62.83,64.74,61.29,61.84,42093829,ADI
27,2015-05,62.35,68.75,61.26,67.96,53274390,ADI
28,2015-06,68.41,68.97,63.82,64.185,46752436,ADI
29,2015-07,65.08,66.28,57.16,58.33,51225959,ADI
30,2015-08,58.43,61.225,50.56,55.86,76730530,ADI
31,2015-09,54.25,58.96,52.48,56.41,57607017,ADI
32,2015-10,56.35,64.155,53.7,60.12,73228894,ADI
33,2015-11,60.06,62.08,56.5,61.63,50819996,ADI
34,2015-12,62.09,62.4,55.12,55.32,55041323,ADI
35,2016-01,54.24,54.84,47.24,53.86,66592484,ADI
36,2016-02,53.38,53.98,48.17,52.99,52100668,ADI
37,2016-03,53.95,59.45,53.01,59.19,45991143,ADI
38,2016-04,58.69,59.87,55.88,56.32,35164352,ADI
39,2016-05,56.31,58.72,53.0,58.5,40121928,ADI
40,2016-06,58.11,58.77,52.17,56.64,51686015,ADI
41,2016-07,56.15,66.91,54.55,63.83,53985053,ADI
42,2016-08,64.19,65.49,62.24,62.56,47581043,ADI
43,2016-09,62.1,64.975,59.01,64.45,52216757,ADI
44,2016-10,64.29,65.18,59.54,64.1,51776628,ADI
45,2016-11,64.4,74.87,62.5,74.24,66078494,ADI
46,2016-12,73.56,74.82,68.415,72.62,48756702,ADI
47,2017-01,72.6,76.94,71.0,74.94,49614300,ADI
48,2017-02,75.76,82.87,74.94,81.93,52077859,ADI
49,2017-03,82.45,84.24,80.39,81.95,73712578,ADI
50,2017-04,82.02,82.27,75.82,76.2,64053467,ADI
51,2017-05,75.05,90.49,74.65,85.76,90462138,ADI
52,2017-06,86.28,86.32,76.18,77.8,109127904,ADI
53,2017-07,78.27,81.85,76.07,79.01,44778761,ADI
54,2017-08,79.23,85.0,76.41,83.67,52580131,ADI
55,2017-09,83.97,86.41,80.1,86.17,49420179,ADI
56,2017-10,86.59,91.96,85.58,91.3,39711335,ADI
57,2017-11,91.85,93.99,83.8953,86.11,62069364,ADI
58,2017-12,85.51,89.86,83.5901,89.03,51561247,ADI
59,2018-01,89.24,98.38,88.93,91.88,68487084,ADI
60,2018-02,91.25,92.58,82.76,85.35,19048806,ADI
