,date,open,high,low,close,volume,Name
0,2013-02,32.79,34.04,32.49,33.79,24554730,AEE
1,2013-03,33.71,35.12,33.45,35.02,39217317,AEE
2,2013-04,34.94,36.36,34.26,36.25,31245549,AEE
3,2013-05,36.24,36.735,33.41,34.04,37050949,AEE
4,2013-06,34.11,34.985,32.34,34.44,42262224,AEE
5,2013-07,34.44,36.47,33.15,35.81,28869389,AEE
6,2013-08,35.72,36.695,33.24,33.81,30433078,AEE
7,2013-09,34.05,35.97,32.61,34.84,39767692,AEE
8,2013-10,34.91,36.78,34.181999999999995,36.18,32739972,AEE
9,2013-11,36.28,37.31,35.2644,35.85,25444239,AEE
10,2013-12,35.93,36.64,34.71,36.16,34411360,AEE
11,2014-01,36.05,37.94,35.215,37.84,32563578,AEE
12,2014-02,37.85,42.24,36.74,40.41,38020792,AEE
13,2014-03,40.33,41.465,39.3,41.2,37563854,AEE
14,2014-04,41.12,41.92,39.41,41.31,47579391,AEE
15,2014-05,41.42,41.618,37.94,39.35,41566516,AEE
16,2014-06,39.33,40.99,37.67,40.88,31107240,AEE
17,2014-07,40.68,40.96,38.44,38.45,27436277,AEE
18,2014-08,38.6,39.99,36.65,39.99,35430269,AEE
19,2014-09,39.93,40.31,37.525,38.33,24890948,AEE
20,2014-10,38.32,42.71,38.2499,42.34,37223262,AEE
21,2014-11,42.44,44.22,41.89,43.11,26572453,AEE
22,2014-12,42.86,48.14,42.15,46.13,34649466,AEE
23,2015-01,46.29,46.81,44.636,45.28,32925235,AEE
24,2015-02,45.46,45.66,41.14,42.41,40543360,AEE
25,2015-03,42.3,43.115,40.51,42.2,41654202,AEE
26,2015-04,42.21,43.0,40.68,40.94,29838860,AEE
27,2015-05,41.05,41.925,39.66,40.23,26896138,AEE
28,2015-06,40.25,40.49,37.26,37.68,29596536,AEE
29,2015-07,37.75,41.34,37.55,41.08,28461879,AEE
30,2015-08,41.26,43.845,39.66,40.29,43081086,AEE
31,2015-09,39.39,42.29,38.15,42.27,35148000,AEE
32,2015-10,42.31,44.71,41.46,43.68,31141163,AEE
33,2015-11,43.7,44.51,41.88,43.76,39064395,AEE
34,2015-12,44.0,44.44,41.33,43.23,41625419,AEE
35,2016-01,43.13,44.97,41.5,44.92,42958620,AEE
36,2016-02,44.73,48.22,44.69,46.95,50930692,AEE
37,2016-03,47.19,50.16,45.56,50.1,37799958,AEE
38,2016-04,50.1,51.06,46.29,48.0,38473043,AEE
39,2016-05,48.05,49.74,46.3,49.55,46933183,AEE
40,2016-06,49.4,53.59,48.69,53.58,38161354,AEE
41,2016-07,53.77,54.08,50.65,52.44,31185546,AEE
42,2016-08,52.43,52.585,49.15,49.42,30601729,AEE
43,2016-09,49.4,51.91,47.79,49.18,33333640,AEE
44,2016-10,48.97,50.25,46.84,49.95,32658536,AEE
45,2016-11,49.96,51.455,46.97,49.12,35121476,AEE
46,2016-12,48.85,52.88,48.32,52.46,27287602,AEE
47,2017-01,52.59,53.395,51.3506,52.65,23476514,AEE
48,2017-02,52.24,54.83,51.6102,54.69,27000115,AEE
49,2017-03,54.03,56.57,53.48,54.59,37597527,AEE
50,2017-04,54.52,55.675,54.03,54.69,30773363,AEE
51,2017-05,54.79,57.09,53.72,56.75,37954141,AEE
52,2017-06,56.75,57.21,54.38,54.67,29783756,AEE
53,2017-07,54.85,56.67,53.54,56.1,24800119,AEE
54,2017-08,56.2,60.79,56.16,59.99,29868898,AEE
55,2017-09,60.17,60.91,57.56,57.84,31187746,AEE
56,2017-10,58.14,62.14,57.67,61.99,25351522,AEE
57,2017-11,61.98,64.89,61.48,63.96,27607162,AEE
58,2017-12,64.19,64.36,58.28,58.99,28534675,AEE
59,2018-01,58.98,59.0326,54.83,56.63,31432374,AEE
60,2018-02,56.62,56.62,51.89,53.19,11620031,AEE
