,date,open,high,low,close,volume,Name
0,2013-02,11.12,11.795,10.8,11.62,84440671,AES
1,2013-03,11.56,12.73,11.52,12.57,121962097,AES
2,2013-04,12.57,13.94,12.36,13.86,127204986,AES
3,2013-05,13.86,14.0,12.07,12.2,134072512,AES
4,2013-06,12.2099,12.61,11.17,11.99,112324138,AES
5,2013-07,12.11,12.9,11.62,12.44,84582252,AES
6,2013-08,12.53,13.38,12.38,12.71,84136066,AES
7,2013-09,12.87,13.77,12.55,13.29,84752459,AES
8,2013-10,13.33,14.49,13.16,14.09,79959371,AES
9,2013-11,14.08,15.3,13.61,14.57,109976141,AES
10,2013-12,14.57,15.54,13.49,14.51,168912374,AES
11,2014-01,14.51,14.8,13.42,14.06,120501614,AES
12,2014-02,14.06,14.94,13.57,13.65,103939449,AES
13,2014-03,13.58,14.44,13.525,14.28,102973578,AES
14,2014-04,14.33,14.64,14.01,14.45,104479405,AES
15,2014-05,14.46,14.77,13.42,14.1,107821090,AES
16,2014-06,14.09,15.65,13.96,15.55,129681433,AES
17,2014-07,15.57,15.64,14.58,14.61,89831036,AES
18,2014-08,14.68,15.21,14.01,15.18,73506552,AES
19,2014-09,15.17,15.21,14.05,14.18,74229477,AES
20,2014-10,14.19,14.45,12.38,14.07,125978374,AES
21,2014-11,14.15,14.25,13.01,13.87,123102821,AES
22,2014-12,13.8,14.49,12.78,13.77,132418166,AES
23,2015-01,13.86,13.87,12.17,12.22,118955330,AES
24,2015-02,12.24,13.01,11.53,12.97,133918598,AES
25,2015-03,12.91,13.02,11.83,12.85,137960228,AES
26,2015-04,12.86,13.67,12.64,13.25,103746267,AES
27,2015-05,13.24,13.835,13.05,13.6,156925818,AES
28,2015-06,13.59,14.02,12.895,13.26,122470476,AES
29,2015-07,13.3,13.4,12.66,12.8,116595615,AES
30,2015-08,12.82,13.21,11.15,12.0,122379052,AES
31,2015-09,11.78,11.8,9.42,9.79,149774214,AES
32,2015-10,9.86,11.205,9.72,10.95,136343063,AES
33,2015-11,10.98,11.09,9.45,9.99,117195744,AES
34,2015-12,10.02,10.09,8.76,9.57,124431908,AES
35,2016-01,9.44,9.59,8.22,9.5,138381927,AES
36,2016-02,9.47,10.14,8.88,9.8,121665265,AES
37,2016-03,9.83,11.8,9.76,11.8,131652471,AES
38,2016-04,11.68,11.685,10.79,11.16,97117056,AES
39,2016-05,11.15,11.49,10.49,11.09,84291821,AES
40,2016-06,11.04,12.48,10.79,12.48,129908260,AES
41,2016-07,12.48,12.72,12.0,12.35,76297778,AES
42,2016-08,12.33,12.59,11.89,12.07,97091119,AES
43,2016-09,12.07,13.32,11.845,12.85,109308743,AES
44,2016-10,12.64,12.75,11.45,11.77,124511970,AES
45,2016-11,11.77,12.475,11.08,11.45,128092257,AES
46,2016-12,11.36,12.47,10.98,11.62,99100060,AES
47,2017-01,11.67,12.06,11.15,11.44,124727326,AES
48,2017-02,11.4,11.93,11.1,11.52,99948377,AES
49,2017-03,11.38,11.68,10.93,11.18,123759181,AES
50,2017-04,11.17,11.62,11.01,11.31,125706627,AES
51,2017-05,11.31,11.85,10.95,11.68,114190526,AES
52,2017-06,11.68,12.05,11.11,11.11,105494921,AES
53,2017-07,11.15,11.45,10.6,11.18,104726009,AES
54,2017-08,11.08,11.66,10.92,11.04,117061098,AES
55,2017-09,11.08,11.45,11.0,11.02,84545141,AES
56,2017-10,11.06,11.34,10.485,10.63,82269055,AES
57,2017-11,10.59,10.97,10.0,10.58,145833567,AES
58,2017-12,10.62,11.02,10.43,10.83,133247136,AES
59,2018-01,10.87,11.95,10.64,11.56,237380382,AES
60,2018-02,11.59,11.67,10.15,10.48,53147225,AES
