,date,open,high,low,close,volume,Name
0,2013-02,49.83,51.1,46.045,47.19,50524654,AET
1,2013-03,47.02,51.73,46.53,51.13,59430566,AET
2,2013-04,51.03,58.64,50.4,57.44,80561593,AET
3,2013-05,57.53,62.76,57.45,60.38,63995946,AET
4,2013-06,60.46,64.13,57.72,63.54,61040109,AET
5,2013-07,64.18,66.0,61.52,64.17,66733124,AET
6,2013-08,64.38,64.93,61.57,63.39,43220734,AET
7,2013-09,63.83,69.195,63.4,64.02,57723213,AET
8,2013-10,64.2,66.495,60.32,62.7,75432871,AET
9,2013-11,62.71,69.46,62.15,68.93,51703973,AET
10,2013-12,68.97,69.47,64.715,68.59,56491899,AET
11,2014-01,68.21,72.16,67.16,68.33,49106274,AET
12,2014-02,68.49,73.86,64.6801,72.71,60501729,AET
13,2014-03,72.3,76.71,71.48,74.97,46532966,AET
14,2014-04,75.13,75.99,66.85,71.45,70088931,AET
15,2014-05,71.8,77.84,70.76,77.55,45292242,AET
16,2014-06,77.92,82.7,77.41,81.08,39971626,AET
17,2014-07,81.49,85.72,76.11,77.53,57810161,AET
18,2014-08,77.2,83.22,74.81,82.13,46119529,AET
19,2014-09,82.66,84.95,80.95,81.0,38912019,AET
20,2014-10,81.2,82.55,71.81,82.51,73270629,AET
21,2014-11,82.78,88.10700000000001,81.93,87.24,39136921,AET
22,2014-12,87.7,91.87,85.62,88.83,44157933,AET
23,2015-01,89.71,96.25,87.251,91.82,47039736,AET
24,2015-02,92.01,101.98,90.2,99.55,41386852,AET
25,2015-03,99.53,109.9,98.7801,106.53,55051985,AET
26,2015-04,106.66,111.08,104.93,106.87,38936646,AET
27,2015-05,107.86,120.15,106.63,117.97,34411332,AET
28,2015-06,118.06,134.4,114.75,127.46,83422647,AET
29,2015-07,128.95,129.74,107.95,112.97,100752652,AET
30,2015-08,113.55,125.47,93.51,114.52,66896089,AET
31,2015-09,112.2,119.85,103.79,109.41,55997804,AET
32,2015-10,109.21,116.33,100.69,114.78,75369362,AET
33,2015-11,115.42,116.22,98.67,102.75,68841506,AET
34,2015-12,103.16,110.9,101.42,108.12,64899083,AET
35,2016-01,106.59,111.23,98.4,101.84,84117225,AET
36,2016-02,103.25,111.53,92.42,108.63,56152899,AET
37,2016-03,109.54,115.52,106.94,112.35,51792678,AET
38,2016-04,112.12,115.96,107.55,112.27,47195742,AET
39,2016-05,113.26,115.44,106.3,113.23,45936997,AET
40,2016-06,113.05,123.57,112.8,122.13,57390860,AET
41,2016-07,121.68,121.7,112.18,115.21,85573451,AET
42,2016-08,115.68,121.6,113.99,117.12,40673026,AET
43,2016-09,117.44,119.11,111.88,115.45,33892190,AET
44,2016-10,114.92,115.48,106.07,107.35,53618317,AET
45,2016-11,107.71,132.57,104.59,130.84,70442334,AET
46,2016-12,130.78,136.5,120.86,124.01,55763428,AET
47,2017-01,124.85,126.25,116.04,118.61,74302360,AET
48,2017-02,118.3,129.99,118.04,128.76,61408917,AET
49,2017-03,130.19,134.765,124.84,127.55,58303959,AET
50,2017-04,127.87,135.45,127.08,135.07,43207765,AET
51,2017-05,135.22,147.48,134.565,144.86,61174195,AET
52,2017-06,145.37,155.15,144.98,151.83,40832807,AET
53,2017-07,152.63,157.555,151.79,154.31,35677368,AET
54,2017-08,156.78,161.69,151.78,157.7,42288250,AET
55,2017-09,157.78,164.52,150.43,159.01,38529941,AET
56,2017-10,159.16,184.98,149.69,170.03,54990956,AET
57,2017-11,170.92,192.37,169.69,180.18,55096222,AET
58,2017-12,181.65,185.26,176.5921,180.39,85923744,AET
59,2018-01,180.94,194.4,180.06,186.82,61589852,AET
60,2018-02,186.52,188.85,178.8,181.49,13367340,AET
