,date,open,high,low,close,volume,Name
0,2013-02,38.76,39.9,36.68,38.01,302861762,AIG
1,2013-03,37.46,39.79,37.15,38.82,284632924,AIG
2,2013-04,38.8,42.66,36.9,41.42,378649386,AIG
3,2013-05,42.0,46.46,41.12,44.46,382648663,AIG
4,2013-06,44.68,46.45,41.53,44.7,372094202,AIG
5,2013-07,44.82,47.68,44.17,45.51,229186959,AIG
6,2013-08,46.02,49.5,45.94,46.46,242783920,AIG
7,2013-09,47.1,50.99,47.04,48.63,179969167,AIG
8,2013-10,48.52,53.33,47.18,51.65,181805145,AIG
9,2013-11,48.67,50.4,47.11,49.75,255716445,AIG
10,2013-12,49.77,51.465,48.03,51.05,186823915,AIG
11,2014-01,50.81,52.47,46.81,47.96,197622638,AIG
12,2014-02,48.0,50.43,46.7975,49.77,214601119,AIG
13,2014-03,49.13,51.86,48.27,50.01,184801504,AIG
14,2014-04,50.32,53.2,48.95,53.13,175770164,AIG
15,2014-05,53.02,55.96,50.19,54.07,173945015,AIG
16,2014-06,54.16,56.0,53.67,54.58,148280384,AIG
17,2014-07,54.99,55.99,51.9,51.98,132630351,AIG
18,2014-08,51.815,56.31,51.61,56.06,170061563,AIG
19,2014-09,56.29,56.56,53.51,54.02,151089739,AIG
20,2014-10,54.04,54.48,48.56,53.57,250037532,AIG
21,2014-11,53.79,55.19,52.9,54.8,140664966,AIG
22,2014-12,54.56,56.793,52.85,56.01,155026327,AIG
23,2015-01,56.53,56.6,48.68,48.87,199510784,AIG
24,2015-02,49.03,55.61,49.01,55.33,189631339,AIG
25,2015-03,55.19,56.685,53.92,54.79,166629858,AIG
26,2015-04,54.61,58.73,54.23,56.29,149895757,AIG
27,2015-05,56.9,60.7,56.8,58.61,131227919,AIG
28,2015-06,58.91,63.7,58.33,61.82,200133056,AIG
29,2015-07,62.76,64.93,60.85,64.12,128150462,AIG
30,2015-08,64.23,64.71,54.0,60.34,212383339,AIG
31,2015-09,58.97,60.09,55.3,56.82,159141735,AIG
32,2015-10,57.19,64.0,55.2426,63.06,157369454,AIG
33,2015-11,63.44,64.2,59.04,63.58,201061232,AIG
34,2015-12,63.89,64.31,57.935,61.97,197529757,AIG
35,2016-01,60.66,61.07,53.49,56.48,201298758,AIG
36,2016-02,55.82,56.818999999999996,50.2,50.2,233185957,AIG
37,2016-03,50.63,54.9,50.39,54.05,172087931,AIG
38,2016-04,53.86,56.91,52.81,55.82,128685110,AIG
39,2016-05,56.38,58.585,54.38,57.88,152920957,AIG
40,2016-06,57.43,57.9,48.41,52.89,163040145,AIG
41,2016-07,52.65,54.92,50.2,54.44,104541552,AIG
42,2016-08,54.46,59.89,53.93,59.83,113188480,AIG
43,2016-09,59.91,59.99,57.54,59.34,147106865,AIG
44,2016-10,59.19,62.03,58.49,61.7,109575707,AIG
45,2016-11,61.77,64.725,57.35,63.33,163141610,AIG
46,2016-12,63.66,67.03,63.6,65.31,110889847,AIG
47,2017-01,65.95,67.47,64.02,64.26,111418738,AIG
48,2017-02,64.75,66.925,60.41,63.92,155061608,AIG
49,2017-03,64.73,64.9,59.89,62.43,158649314,AIG
50,2017-04,62.43,62.77,58.705,60.91,120582064,AIG
51,2017-05,61.19,64.315,60.92,63.63,185626459,AIG
52,2017-06,63.81,64.53,62.28,62.52,107794580,AIG
53,2017-07,62.82,66.025,62.46,65.45,76792385,AIG
54,2017-08,66.17,67.3,60.02,60.48,110828704,AIG
55,2017-09,60.58,61.88,57.9,61.39,120920995,AIG
56,2017-10,61.72,65.55,61.0,64.61,100686941,AIG
57,2017-11,64.92,65.3,58.5216,59.96,115317049,AIG
58,2017-12,60.07,60.67,57.85,59.58,88703835,AIG
59,2018-01,60.0,65.05,59.12,63.92,126946597,AIG
60,2018-02,63.74,64.275,59.04,60.47,36748766,AIG
