,date,open,high,low,close,volume,Name
0,2013-02,38.55,42.38,38.09,41.99,15573252,AIZ
1,2013-03,41.74,45.05,41.29,45.01,18161092,AIZ
2,2013-04,45.01,47.86,44.74,47.54,16951712,AIZ
3,2013-05,47.69,51.19,47.23,49.74,14562758,AIZ
4,2013-06,49.84,51.92,48.413999999999994,50.91,10262015,AIZ
5,2013-07,51.17,54.43,50.2,54.16,10138937,AIZ
6,2013-08,54.55,56.12,52.94,53.04,12735552,AIZ
7,2013-09,53.73,56.42,53.05,54.1,11351514,AIZ
8,2013-10,54.19,60.26,53.77,58.48,13511924,AIZ
9,2013-11,58.74,65.38,58.27,64.94,9537577,AIZ
10,2013-12,64.96,66.73,63.08,66.37,12987140,AIZ
11,2014-01,66.04,68.95,64.05,65.35,13240748,AIZ
12,2014-02,65.43,65.93,59.165,65.63,14588935,AIZ
13,2014-03,64.9,69.26,63.46,64.96,12481159,AIZ
14,2014-04,65.32,67.91,62.5425,67.41,11694368,AIZ
15,2014-05,67.39,68.63,65.43,67.81,9218815,AIZ
16,2014-06,67.97,69.71,65.17,65.55,12823523,AIZ
17,2014-07,65.98,66.99,63.2675,63.36,12456431,AIZ
18,2014-08,63.69,66.98,63.14,66.75,8179615,AIZ
19,2014-09,66.78,67.28,64.0369,64.3,9406128,AIZ
20,2014-10,64.11,68.43,60.16,68.22,12889229,AIZ
21,2014-11,68.43,69.26,67.16,67.59,10961957,AIZ
22,2014-12,67.16,69.94,64.88,68.43,11065829,AIZ
23,2015-01,68.52,68.82,63.37,63.51,11069791,AIZ
24,2015-02,63.57,67.19,59.82,61.27,14308580,AIZ
25,2015-03,61.16,62.94,59.99,61.41,12163838,AIZ
26,2015-04,61.07,63.01,59.73,61.46,10424118,AIZ
27,2015-05,61.85,66.86,61.2,65.85,15472333,AIZ
28,2015-06,66.02,69.39,65.22,67.0,14220286,AIZ
29,2015-07,67.88,76.25,67.82,74.6,14432000,AIZ
30,2015-08,75.81,80.08,70.36,74.35,14323327,AIZ
31,2015-09,73.06,79.18,71.79,79.01,13073323,AIZ
32,2015-10,79.04,82.58,76.81,81.53,13208342,AIZ
33,2015-11,81.46,86.99,81.34,85.52,9306141,AIZ
34,2015-12,85.91,87.2,78.62,80.54,11804519,AIZ
35,2016-01,78.94,81.31,75.69,81.31,12848483,AIZ
36,2016-02,80.85,81.49,64.365,71.1,19657461,AIZ
37,2016-03,71.72,79.25,71.655,77.15,16332345,AIZ
38,2016-04,76.65,85.689,76.56,84.57,13955558,AIZ
39,2016-05,85.0,89.22,84.97,87.39,9695974,AIZ
40,2016-06,86.77,87.21,80.83,86.31,12563646,AIZ
41,2016-07,86.52,88.9999,82.64,83.01,7374851,AIZ
42,2016-08,83.09,89.76,82.64,89.55,7512040,AIZ
43,2016-09,89.83,92.63,87.0,92.25,8071579,AIZ
44,2016-10,91.91,92.24,79.59,80.52,10391723,AIZ
45,2016-11,80.59,86.98,78.5,86.34,10412396,AIZ
46,2016-12,86.73,94.4,85.8,92.86,9347400,AIZ
47,2017-01,93.64,98.975,92.49,97.13,7221098,AIZ
48,2017-02,97.66,99.08,89.55,99.0,8020194,AIZ
49,2017-03,100.0,101.32,93.36,95.67,8840875,AIZ
50,2017-04,95.82,98.01,92.345,96.24,6712621,AIZ
51,2017-05,96.9,106.02,96.27,97.98,9153685,AIZ
52,2017-06,98.64,105.85,98.01,103.69,8840771,AIZ
53,2017-07,104.28,106.985,103.78,105.27,5503862,AIZ
54,2017-08,104.39,105.82,93.05,94.69,7171717,AIZ
55,2017-09,95.0,99.68,86.0,95.52,9743208,AIZ
56,2017-10,95.62,102.23,92.9,100.65,10753241,AIZ
57,2017-11,101.27,102.85,96.96,100.87,8561329,AIZ
58,2017-12,101.1,102.27,97.39,100.84,8752505,AIZ
59,2018-01,101.44,101.475,91.31,91.48,7967527,AIZ
60,2018-02,91.4,93.43,85.91,88.49,2337498,AIZ
