,date,open,high,low,close,volume,Name
0,2013-02,35.5,39.0,34.78,36.96,70525456,AKAM
1,2013-03,36.7,38.19,34.26,35.32,79045768,AKAM
2,2013-04,35.37,44.21,32.635,43.91,88347593,AKAM
3,2013-05,43.8699,48.47,43.47,46.12,48746730,AKAM
4,2013-06,46.22,46.44,40.08,42.55,38225551,AKAM
5,2013-07,42.74,47.49,42.1701,47.2,44574190,AKAM
6,2013-08,47.51,47.78,45.53,45.98,27861063,AKAM
7,2013-09,46.4,53.195,46.4,51.7,37685620,AKAM
8,2013-10,51.74,53.61,44.7,44.755,61878468,AKAM
9,2013-11,45.01,46.85,44.01,44.72,32967555,AKAM
10,2013-12,44.71,47.9699,43.74,47.18,48055020,AKAM
11,2014-01,47.11,49.71,45.8,47.68,34336064,AKAM
12,2014-02,48.88,63.15,45.59,61.13,82480945,AKAM
13,2014-03,60.49,62.92,56.52,58.21,49076421,AKAM
14,2014-04,58.76,59.76,50.52,53.07,52256874,AKAM
15,2014-05,53.49,56.75,51.1,54.34,47548030,AKAM
16,2014-06,54.56,62.76,53.53,61.06,38254975,AKAM
17,2014-07,61.1,62.36,58.13,59.02,44141687,AKAM
18,2014-08,58.79,61.35,56.4,60.42,28272317,AKAM
19,2014-09,60.5,64.74,58.57,59.8,31539424,AKAM
20,2014-10,59.51,61.27,51.74,60.3,51251661,AKAM
21,2014-11,60.18,65.39,58.49,64.61,23795651,AKAM
22,2014-12,64.16,65.21,59.86,62.96,28048954,AKAM
23,2015-01,63.48,63.9,58.07,58.155,27032088,AKAM
24,2015-02,58.6,71.83,56.85,69.51,40248470,AKAM
25,2015-03,69.8,73.53,68.51,71.045,31684044,AKAM
26,2015-04,70.98,77.31,69.88,73.78,32899640,AKAM
27,2015-05,73.95,78.44,73.75,76.27,25371277,AKAM
28,2015-06,76.38,76.5,69.13,69.82,31188215,AKAM
29,2015-07,70.3,76.98,67.13,76.71,40177493,AKAM
30,2015-08,76.04,76.55,63.14,71.31,37147892,AKAM
31,2015-09,69.75,75.4,67.1,69.06,37901175,AKAM
32,2015-10,69.06,76.39,60.25,60.82,59160982,AKAM
33,2015-11,60.73,63.55,55.36,57.61,39963542,AKAM
34,2015-12,57.62,58.51,50.56,52.63,45154237,AKAM
35,2016-01,51.8,52.65,43.28,45.62,63400355,AKAM
36,2016-02,45.5,55.6,39.43,53.97,84051989,AKAM
37,2016-03,54.37,57.05,53.9,55.57,44511020,AKAM
38,2016-04,55.14,57.5,49.8001,50.99,48630282,AKAM
39,2016-05,50.75,54.78,48.88,54.58,32234701,AKAM
40,2016-06,54.01,57.17,50.91,55.93,35596440,AKAM
41,2016-07,55.81,58.47,47.8,50.53,53906954,AKAM
42,2016-08,50.56,55.94,48.92,54.9,41612209,AKAM
43,2016-09,54.82,55.825,50.76,52.99,42480435,AKAM
44,2016-10,52.96,71.04,52.63,69.47,59663624,AKAM
45,2016-11,69.39,69.55,64.7701,66.7,50573878,AKAM
46,2016-12,66.48,69.26,62.83,66.68,29458511,AKAM
47,2017-01,67.27,71.64,67.11,68.59,30565208,AKAM
48,2017-02,68.67,71.34,61.54,62.6,51537086,AKAM
49,2017-03,62.82,65.65,59.5,59.7,41280560,AKAM
50,2017-04,59.74,62.43,57.86,60.94,38347003,AKAM
51,2017-05,61.19,62.58,46.81,47.15,78787529,AKAM
52,2017-06,47.23,51.65,47.08,49.81,49312649,AKAM
53,2017-07,50.15,53.45,45.41,47.14,52162487,AKAM
54,2017-08,47.96,48.42,44.65,47.15,36177305,AKAM
55,2017-09,47.28,48.82,45.81,48.72,32420227,AKAM
56,2017-10,49.35,56.85,48.72,52.25,50789369,AKAM
57,2017-11,52.7,56.2,51.79,55.78,42821022,AKAM
58,2017-12,55.43,68.03,54.74,65.04,65257491,AKAM
59,2018-01,65.13,69.56,64.18,66.99,37182343,AKAM
60,2018-02,66.42,68.65,61.41,64.48,18123285,AKAM
