,date,open,high,low,close,volume,Name
0,2013-02,61.78,66.83,61.78,65.08,8355863,ALB
1,2013-03,64.41,65.82,60.74,62.52,13575971,ALB
2,2013-04,62.22,63.27,56.64,61.25,20383014,ALB
3,2013-05,60.82,69.03,59.03,66.92,14287383,ALB
4,2013-06,66.9,67.07,60.25,62.29,12737085,ALB
5,2013-07,62.59,66.39,60.16,62.01,18313510,ALB
6,2013-08,62.49,63.64,61.87,62.37,15062365,ALB
7,2013-09,63.05,64.395,60.89,62.94,14550244,ALB
8,2013-10,62.65,67.98,62.5,66.19,18099344,ALB
9,2013-11,66.12,69.5,66.11,68.71,8067634,ALB
10,2013-12,68.87,70.0,62.02,63.39,13219709,ALB
11,2014-01,63.38,67.31,62.385,64.18,14072283,ALB
12,2014-02,64.48,66.47,60.92,65.99,10451202,ALB
13,2014-03,65.23,67.25,63.44,66.42,11598026,ALB
14,2014-04,66.59,68.23,64.55,67.04,11170186,ALB
15,2014-05,67.54,69.89,67.02,69.19,10377796,ALB
16,2014-06,69.29,72.69,68.86,71.5,10106737,ALB
17,2014-07,71.82,76.28,59.86,61.34,41084532,ALB
18,2014-08,60.97,63.86,60.13,63.58,24991183,ALB
19,2014-09,63.65,65.45,58.37,58.9,20909112,ALB
20,2014-10,58.73,62.42,51.35,58.38,36253237,ALB
21,2014-11,58.46,62.54,58.26,59.04,25027330,ALB
22,2014-12,59.0,63.38,54.29,60.13,27138538,ALB
23,2015-01,60.37,62.23,46.78,48.26,59598325,ALB
24,2015-02,48.44,56.99,47.31,56.57,31076849,ALB
25,2015-03,56.36,57.08,50.84,52.84,26246689,ALB
26,2015-04,52.55,60.78,52.23,59.7,22276195,ALB
27,2015-05,60.14,64.99,59.59,60.15,23978596,ALB
28,2015-06,60.38,61.95,54.91,55.27,19998770,ALB
29,2015-07,55.46,55.83,49.03,54.2,22206149,ALB
30,2015-08,54.1,54.31,42.31,45.21,29057536,ALB
31,2015-09,44.14,47.19,41.37,44.1,39899552,ALB
32,2015-10,44.29,54.59,44.1,53.52,31348036,ALB
33,2015-11,54.26,55.48,46.49,53.56,34570437,ALB
34,2015-12,53.68,57.99,46.34,56.01,25501105,ALB
35,2016-01,54.97,56.1,45.78,52.64,28317581,ALB
36,2016-02,51.87,57.95,47.49,56.22,29165964,ALB
37,2016-03,57.12,64.33,56.03,63.93,27913484,ALB
38,2016-04,63.44,68.75,63.396,66.16,28484500,ALB
39,2016-05,66.42,80.21,66.18,78.5,34923330,ALB
40,2016-06,78.5,84.99,74.86,79.31,55969999,ALB
41,2016-07,79.45,87.29,78.81,84.17,21708920,ALB
42,2016-08,84.22,86.5,79.71,79.97,32014911,ALB
43,2016-09,79.95,85.835,75.11,85.49,27238040,ALB
44,2016-10,85.2,85.45,79.08,83.55,14991845,ALB
45,2016-11,83.57,88.73,76.32,87.78,23195324,ALB
46,2016-12,88.29,92.24,84.37,86.08,17073270,ALB
47,2017-01,87.15,95.89,86.98,92.64,17797777,ALB
48,2017-02,93.19,102.56,90.35,101.51,18419296,ALB
49,2017-03,102.9,107.56,98.63,105.64,27656612,ALB
50,2017-04,105.73,109.23,103.4201,108.91,16615181,ALB
51,2017-05,109.09,113.73,107.0,113.6,18591633,ALB
52,2017-06,113.68,116.6399,103.6301,105.54,29023639,ALB
53,2017-07,106.34,119.59,105.34,115.8,25176156,ALB
54,2017-08,116.06,123.48,108.6,116.26,33994326,ALB
55,2017-09,117.06,137.48,116.16,136.31,30830268,ALB
56,2017-10,136.25,141.3995,133.835,140.89,25147048,ALB
57,2017-11,142.0,144.99,130.63,134.32,27966466,ALB
58,2017-12,134.86,135.4,126.31,127.89,22426964,ALB
59,2018-01,128.93,138.67,110.25,111.59,48206422,ALB
60,2018-02,110.92,111.57,102.85,106.63,13110732,ALB
