,date,open,high,low,close,volume,Name
0,2013-02,32.4,33.16,30.9521,31.44,10680066,ALGN
1,2013-03,31.18,33.7,30.67,33.51,10108041,ALGN
2,2013-04,33.4,33.84,29.53,33.12,23535593,ALGN
3,2013-05,32.88,38.74,32.15,35.75,23517285,ALGN
4,2013-06,36.03,37.38,33.8401,37.04,12490319,ALGN
5,2013-07,37.01,44.43,36.92,43.04,18523883,ALGN
6,2013-08,43.23,45.0,42.34,43.55,9815349,ALGN
7,2013-09,44.33,49.08,43.67,48.1,11544364,ALGN
8,2013-10,48.0,60.0,41.83,57.06,36171367,ALGN
9,2013-11,56.96,59.799,51.82,54.64,20701013,ALGN
10,2013-12,54.8,58.5,52.74,57.14,13095739,ALGN
11,2014-01,57.06,65.1,53.76,59.42,40966743,ALGN
12,2014-02,59.08,59.72,51.73,52.33,19917908,ALGN
13,2014-03,53.29,55.96,50.37,51.79,16545985,ALGN
14,2014-04,51.88,57.5,48.13,50.39,24243120,ALGN
15,2014-05,50.35,55.42,47.22,54.61,19145391,ALGN
16,2014-06,54.75,56.75,50.31,56.04,28791660,ALGN
17,2014-07,56.33,57.79,51.29,54.21,20369894,ALGN
18,2014-08,54.0,56.89,53.1,54.46,10429235,ALGN
19,2014-09,54.46,55.91,51.66,51.68,11703429,ALGN
20,2014-10,51.81,53.23,43.27,52.62,23649604,ALGN
21,2014-11,52.77,57.71,51.64,56.9,11280138,ALGN
22,2014-12,56.74,57.72,54.01,55.91,10388920,ALGN
23,2015-01,57.24,64.75,51.77,53.05,24642728,ALGN
24,2015-02,53.0,58.16,52.02,57.35,15058019,ALGN
25,2015-03,57.96,58.52,52.14,53.785,16678721,ALGN
26,2015-04,53.67,61.24,51.65,58.84,25904829,ALGN
27,2015-05,58.74,61.42,57.89,60.67,10980540,ALGN
28,2015-06,61.08,64.99,59.56,62.71,18366712,ALGN
29,2015-07,63.18,66.525,58.86,62.7,22093594,ALGN
30,2015-08,62.48,63.06,52.01,56.6,12192773,ALGN
31,2015-09,55.62,59.47,53.57,56.76,12469492,ALGN
32,2015-10,56.58,68.48,54.69,65.46,22417530,ALGN
33,2015-11,65.76,68.0,63.05,66.74,10909113,ALGN
34,2015-12,66.86,68.4245,63.1909,65.85,8190870,ALGN
35,2016-01,64.99,69.36,57.31,66.14,13845475,ALGN
36,2016-02,66.11,68.03,57.51,66.03,13073219,ALGN
37,2016-03,66.26,73.55,65.77,72.69,18404586,ALGN
38,2016-04,72.57,75.74,70.03,72.19,12460543,ALGN
39,2016-05,72.56,79.79,72.39,78.83,17426353,ALGN
40,2016-06,78.92,81.98,77.07,80.55,13641051,ALGN
41,2016-07,80.74,89.58,80.3,89.15,13085706,ALGN
42,2016-08,89.49,96.13,88.65,92.9,17382305,ALGN
43,2016-09,93.2,96.9,91.02,93.75,15532534,ALGN
44,2016-10,92.04,92.3015,83.2701,85.92,16496935,ALGN
45,2016-11,85.86,98.62,83.77,93.05,26340843,ALGN
46,2016-12,93.12,102.1,91.46,96.13,17335242,ALGN
47,2017-01,96.49,98.82,88.56,91.69,18341626,ALGN
48,2017-02,97.0,103.83,92.61,102.76,18530771,ALGN
49,2017-03,103.77,115.2,102.02,114.71,14727971,ALGN
50,2017-04,115.13,145.24,113.4,134.62,15906647,ALGN
51,2017-05,135.39,146.0,131.32,145.2,24488659,ALGN
52,2017-06,146.36,154.85,139.0,150.12,39075425,ALGN
53,2017-07,151.06,173.79,148.95,167.23,17150035,ALGN
54,2017-08,167.41,179.7619,165.179,176.74,21092296,ALGN
55,2017-09,176.81,190.04,173.88,186.27,16514580,ALGN
56,2017-10,187.16,243.27,184.67,238.98,25001464,ALGN
57,2017-11,243.0,266.4073,232.31099999999998,260.88,21196692,ALGN
58,2017-12,259.35,261.0,212.86,222.19,23692106,ALGN
59,2018-01,222.61,287.32,220.36,262.0,27966099,ALGN
60,2018-02,261.59,262.65,228.0,234.33,8680622,ALGN
