,date,open,high,low,close,volume,Name
0,2013-02,23.995,25.98,23.94,25.775,18674950,ALK
1,2013-03,25.68,32.275,25.655,31.98,31268186,ALK
2,2013-04,31.875,32.25,28.175,30.82,38097308,ALK
3,2013-05,30.82,34.0,27.575,28.41,50160540,ALK
4,2013-06,28.475,29.12,25.1525,26.0,43331426,ALK
5,2013-07,26.1,31.4795,25.58,30.585,41671246,ALK
6,2013-08,30.755,31.73,28.1,28.31,38195942,ALK
7,2013-09,28.84,32.37,28.035,31.31,21824640,ALK
8,2013-10,31.43,35.7199,30.13,35.33,29843568,ALK
9,2013-11,35.57,39.265,35.2536,38.87,21948708,ALK
10,2013-12,38.885,39.1949,34.805,36.685,36841364,ALK
11,2014-01,36.665,41.04,36.275,39.535,33434536,ALK
12,2014-02,39.3,43.72,36.31,43.32,30631722,ALK
13,2014-03,42.69,46.975,42.15,46.655,28958264,ALK
14,2014-04,46.365,48.385,43.91,47.04,37188496,ALK
15,2014-05,47.22,50.045,46.615,49.23,25357430,ALK
16,2014-06,49.36,50.49,46.125,47.525,33634854,ALK
17,2014-07,47.625,50.14,43.88,43.97,38840212,ALK
18,2014-08,43.66,47.36,41.84,46.34,24016263,ALK
19,2014-09,46.34,48.25,43.19,43.54,21440828,ALK
20,2014-10,43.14,53.8,40.69,53.23,44332727,ALK
21,2014-11,53.22,59.97,53.11,59.03,23564695,ALK
22,2014-12,58.53,60.94,54.54,59.76,31319925,ALK
23,2015-01,60.54,71.4,57.71,67.87,33229208,ALK
24,2015-02,67.7,68.0,61.35,63.65,32971736,ALK
25,2015-03,64.4,69.42,62.77,66.18,26681095,ALK
26,2015-04,65.33,68.68,61.5391,64.06,26292642,ALK
27,2015-05,64.48,68.27,62.15,64.64,22537324,ALK
28,2015-06,65.01,67.48,58.15,64.43,34036966,ALK
29,2015-07,65.55,77.8,62.59,75.75,32107006,ALK
30,2015-08,76.14,82.15,58.92,74.86,26787239,ALK
31,2015-09,73.65,82.78,73.65,79.45,30361890,ALK
32,2015-10,78.88,81.7,72.89,76.25,37015588,ALK
33,2015-11,76.54,82.21,74.82,79.73,20208708,ALK
34,2015-12,79.84,87.171,79.62,80.51,25551625,ALK
35,2016-01,79.16,79.29,64.18,70.4,35612214,ALK
36,2016-02,70.05,75.51,61.58,73.9,24659976,ALK
37,2016-03,74.2,83.09,73.96,82.02,25770582,ALK
38,2016-04,81.26,83.26,70.12,70.43,35817930,ALK
39,2016-05,70.56,71.0,64.43,66.4,59729956,ALK
40,2016-06,66.22,67.95,54.51,58.29,42051689,ALK
41,2016-07,58.24,68.85,56.45,67.22,37760537,ALK
42,2016-08,67.35,68.48,64.25,67.53,25507410,ALK
43,2016-09,67.81,71.63,64.19,65.86,26213681,ALK
44,2016-10,65.6,75.31,65.6,72.22,25458052,ALK
45,2016-11,72.24,83.47,69.12,82.27,21643595,ALK
46,2016-12,81.9,91.89,80.72,88.73,26914538,ALK
47,2017-01,88.92,96.27,86.22,93.82,26672049,ALK
48,2017-02,93.83,98.89,92.37,97.82,22824106,ALK
49,2017-03,98.04,101.43,89.0,92.22,33579245,ALK
50,2017-04,92.42,92.59,83.76,85.09,27339967,ALK
51,2017-05,85.34,87.3408,82.03,87.05,31195490,ALK
52,2017-06,87.26,93.16,87.04,89.76,24701791,ALK
53,2017-07,90.27,95.75,83.41,85.23,24659724,ALK
54,2017-08,85.22,86.92,73.29,74.66,27739874,ALK
55,2017-09,75.1,78.44,71.17,76.27,33945014,ALK
56,2017-10,76.3,82.68,64.77,66.03,48065764,ALK
57,2017-11,65.65,70.51,61.1,69.17,38964230,ALK
58,2017-12,69.1,76.0576,66.5,73.51,33138628,ALK
59,2018-01,74.04,75.46,59.25,65.73,62943057,ALK
60,2018-02,65.54,65.88,61.08,64.23,20590191,ALK
