,date,open,high,low,close,volume,Name
0,2013-11,49.75,50.0,42.5,43.24,8758338,ALLE
1,2013-12,43.9,45.02,40.24,44.19,42664031,ALLE
2,2014-01,44.08,49.96,42.16,49.35,26986410,ALLE
3,2014-02,49.35,55.78,47.152,54.35,25761140,ALLE
4,2014-03,54.67,55.0,51.19,52.17,16946088,ALLE
5,2014-04,52.44,55.35,48.44,49.35,13508795,ALLE
6,2014-05,51.0,53.86,47.98,52.39,12541508,ALLE
7,2014-06,52.77,58.29,51.3,56.68,17348429,ALLE
8,2014-07,56.77,57.87,49.93,51.43,9949090,ALLE
9,2014-08,51.43,53.41,48.83,51.43,11706201,ALLE
10,2014-09,51.53,52.88,47.31,47.64,15078855,ALLE
11,2014-10,47.44,54.57,43.81,53.09,21393129,ALLE
12,2014-11,53.16,54.88,51.785,53.85,11729663,ALLE
13,2014-12,53.79,56.06,52.96,55.46,11506205,ALLE
14,2015-01,55.49,56.46,52.33,54.01,16872099,ALLE
15,2015-02,54.3,59.5,53.43,57.73,15896432,ALLE
16,2015-03,57.77,61.97,57.11,61.17,12841665,ALLE
17,2015-04,60.98,62.54,58.78,61.15,13133267,ALLE
18,2015-05,60.62,63.42,60.18,62.44,13663887,ALLE
19,2015-06,62.47,63.04,59.8,60.14,8164288,ALLE
20,2015-07,60.73,66.05,58.43,63.22,13733574,ALLE
21,2015-08,63.22,64.86,54.34,59.61,11542205,ALLE
22,2015-09,57.17,62.82,55.62,57.66,10274640,ALLE
23,2015-10,57.95,67.5,57.05,65.17,16772657,ALLE
24,2015-11,65.18,67.99,62.77,67.21,19672313,ALLE
25,2015-12,67.34,68.08,63.64,65.92,12382185,ALLE
26,2016-01,64.88,65.4,55.53,60.56,15329925,ALLE
27,2016-02,60.0,64.5,52.95,63.0,25882318,ALLE
28,2016-03,63.58,65.36,62.43,63.71,13751485,ALLE
29,2016-04,63.47,66.91,63.08,65.45,14727106,ALLE
30,2016-05,65.49,68.61,64.8,67.64,12547350,ALLE
31,2016-06,67.48,69.69,63.45,69.43,14000015,ALLE
32,2016-07,69.3,73.49,67.46,72.39,10690774,ALLE
33,2016-08,72.21,73.22,70.67,71.22,12176242,ALLE
34,2016-09,71.32,72.75,65.83,68.91,14468017,ALLE
35,2016-10,68.66,69.5,61.47,63.84,18005336,ALLE
36,2016-11,63.91,69.95,62.92,66.91,18179842,ALLE
37,2016-12,66.97,67.32,63.71,64.0,13860154,ALLE
38,2017-01,64.64,68.54,63.81,65.67,16470129,ALLE
39,2017-02,65.94,75.0,65.06,72.59,17101230,ALLE
40,2017-03,73.67,76.29,72.45,75.7,14248892,ALLE
41,2017-04,75.88,82.0,73.93,78.64,14592379,ALLE
42,2017-05,78.7,79.99,75.85,78.63,19869924,ALLE
43,2017-06,79.02,82.77,76.47,81.12,12455177,ALLE
44,2017-07,81.57,82.9,77.62,81.24,10103853,ALLE
45,2017-08,80.86,82.25399999999999,76.79,78.71,9184708,ALLE
46,2017-09,79.03,86.89,78.845,86.47,12794017,ALLE
47,2017-10,86.56,89.81,78.63,83.39,18438386,ALLE
48,2017-11,83.58,84.63,81.225,84.14,12900727,ALLE
49,2017-12,84.23,85.76,78.67,79.56,14150773,ALLE
50,2018-01,80.07,87.07,79.19,86.11,15473366,ALLE
51,2018-02,85.84,86.99,76.76,79.96,4097919,ALLE
