,date,open,high,low,close,volume,Name
0,2013-02,45.05,47.08,44.89,46.02,50253478,ALL
1,2013-03,45.96,49.13,45.5,49.07,59071703,ALL
2,2013-04,49.17,50.56,48.22,49.26,71550984,ALL
3,2013-05,49.28,50.69,48.03,48.24,80391036,ALL
4,2013-06,48.24,48.57,45.595,48.12,79084676,ALL
5,2013-07,48.3,52.45,48.04,50.98,54582591,ALL
6,2013-08,51.93,52.61,47.32,47.92,59320191,ALL
7,2013-09,48.92,52.98,47.83,50.55,60843260,ALL
8,2013-10,50.67,54.57,50.205,53.06,64867093,ALL
9,2013-11,53.31,54.84,52.76,54.27,36806429,ALL
10,2013-12,54.28,54.6,51.75,54.54,46427747,ALL
11,2014-01,54.09,54.45,50.35,51.2,57410853,ALL
12,2014-02,51.2,54.8,49.178999999999995,54.26,65835201,ALL
13,2014-03,53.71,56.65,53.6,56.58,51990227,ALL
14,2014-04,56.83,57.34,54.81,56.95,52902163,ALL
15,2014-05,56.93,58.69,56.43,58.26,48656671,ALL
16,2014-06,58.47,59.68,58.28,58.72,45269014,ALL
17,2014-07,58.93,59.89,56.63,58.45,49428096,ALL
18,2014-08,58.5,62.09,57.745,61.49,52230240,ALL
19,2014-09,61.73,62.59,60.73,61.37,38834657,ALL
20,2014-10,61.33,67.21,59.28,64.85,59599879,ALL
21,2014-11,64.5,68.475,64.5,68.15,36152656,ALL
22,2014-12,68.07,71.53,66.808,70.25,49412067,ALL
23,2015-01,70.59,72.535,68.45,69.79,44606120,ALL
24,2015-02,69.74,72.87,69.04,70.6,51679313,ALL
25,2015-03,70.67,72.33,68.38,71.17,53042828,ALL
26,2015-04,71.18,72.51,69.331,69.66,42458577,ALL
27,2015-05,70.13,70.35,66.56,67.32,58503470,ALL
28,2015-06,67.65,68.47,64.62,64.87,56603872,ALL
29,2015-07,65.8,69.48,64.24,68.95,52622534,ALL
30,2015-08,69.12,69.4,54.12,58.28,83728754,ALL
31,2015-09,57.01,59.92,56.77,58.24,65208637,ALL
32,2015-10,58.25,62.94,56.97,61.88,63746658,ALL
33,2015-11,62.1,64.495,61.45,62.76,53587271,ALL
34,2015-12,63.34,64.69,60.76,62.09,55512158,ALL
35,2016-01,60.88,60.98,56.03,60.6,64602173,ALL
36,2016-02,60.14,65.2899,58.29,63.46,65184243,ALL
37,2016-03,63.84,67.92,63.59,67.37,44595941,ALL
38,2016-04,67.24,68.33,64.36,65.05,38050666,ALL
39,2016-05,65.58,69.24,64.59,67.52,44977696,ALL
40,2016-06,66.9,69.95,65.27,69.95,42466222,ALL
41,2016-07,69.95,70.38,68.1,68.33,31014702,ALL
42,2016-08,68.44,69.55,67.99,68.96,35441922,ALL
43,2016-09,68.97,69.48,67.24,69.18,36478068,ALL
44,2016-10,68.9,69.94,67.08,67.9,39700372,ALL
45,2016-11,67.85,72.72,66.55,69.92,66931573,ALL
46,2016-12,69.95,74.77,69.76,74.12,40612235,ALL
47,2017-01,74.0,75.85,73.04,75.21,32051174,ALL
48,2017-02,75.57,82.29,75.0,82.16,41002944,ALL
49,2017-03,82.52,83.09,80.07,81.49,38500697,ALL
50,2017-04,81.54,82.51,79.09,81.29,33077335,ALL
51,2017-05,81.49,86.6299,81.185,86.34,42984317,ALL
52,2017-06,86.02,90.74,85.57,88.44,40645317,ALL
53,2017-07,88.85,91.25,87.74,91.0,27820073,ALL
54,2017-08,94.09,95.25,89.81,90.5,46532472,ALL
55,2017-09,90.57,93.54,85.59,91.91,47886476,ALL
56,2017-10,91.65,94.65,90.62,93.86,36689699,ALL
57,2017-11,94.07,103.51,93.52,102.66,42580803,ALL
58,2017-12,103.1,105.36,100.75,104.71,30082817,ALL
59,2018-01,104.07,104.52,97.42,98.77,51317930,ALL
60,2018-02,98.57,100.06,92.72,96.87,17093540,ALL
