,date,open,high,low,close,volume,Name
0,2013-02,93.11,95.25,81.82,86.74,39536631,ALXN
1,2013-03,86.74,94.48,86.09,92.14,30283878,ALXN
2,2013-04,91.07,100.77600000000001,88.86,98.0,42103445,ALXN
3,2013-05,98.0,108.13,95.68,97.58,25720227,ALXN
4,2013-06,97.89,98.44,87.012,92.24,30871194,ALXN
5,2013-07,93.73,125.65,93.335,116.19,50638706,ALXN
6,2013-08,117.55,118.4,103.02,107.76,17675747,ALXN
7,2013-09,109.34,116.91,108.27,116.16,16601847,ALXN
8,2013-10,116.8,126.389,100.89,122.95,25761243,ALXN
9,2013-11,124.06,124.8,113.14,124.5,19091767,ALXN
10,2013-12,124.58,133.75,120.1401,132.884,22262223,ALXN
11,2014-01,132.46,169.98,126.76100000000001,158.73,31537460,ALXN
12,2014-02,158.385,185.43,150.701,176.8,30873263,ALXN
13,2014-03,174.77,181.5845,145.64,152.13,45072293,ALXN
14,2014-04,153.21,163.5,136.37,158.2,41666754,ALXN
15,2014-05,157.56,171.03,147.81,166.32,22811565,ALXN
16,2014-06,163.95,172.5,154.78,156.25,25924541,ALXN
17,2014-07,157.81,173.7,154.38,158.99,28364906,ALXN
18,2014-08,158.62,173.2499,154.56,169.29,19481486,ALXN
19,2014-09,169.99,171.35,157.3,165.82,23207713,ALXN
20,2014-10,166.86,197.23,155.01,191.36,32829620,ALXN
21,2014-11,192.01,197.64,185.8,194.9,15177531,ALXN
22,2014-12,194.65,203.3,176.01,185.03,26640696,ALXN
23,2015-01,186.64,189.7199,171.68,183.24,29165123,ALXN
24,2015-02,184.01,188.345,171.08,180.37,21509829,ALXN
25,2015-03,180.34,193.27,171.53,173.3,28743549,ALXN
26,2015-04,172.3,189.18,166.72,169.23,28150312,ALXN
27,2015-05,170.66,175.0,150.06,163.84,56238298,ALXN
28,2015-06,165.3,191.0,157.13,180.77,51584726,ALXN
29,2015-07,182.59,208.88,181.0,197.44,35975878,ALXN
30,2015-08,196.88,200.97,156.7111,172.19,31519244,ALXN
31,2015-09,168.62,180.2,142.02,156.39,44240042,ALXN
32,2015-10,155.92,179.51,150.69,176.0,39538969,ALXN
33,2015-11,177.24,183.1,164.58,178.44,21879994,ALXN
34,2015-12,179.96,193.45,167.02,190.75,29173791,ALXN
35,2016-01,187.01,187.59,141.16,145.93,37684920,ALXN
36,2016-02,144.18,152.41,130.51,140.8,40673030,ALXN
37,2016-03,142.47,152.49,124.16,139.22,38945027,ALXN
38,2016-04,135.87,162.0,135.87,139.28,32922252,ALXN
39,2016-05,140.07,153.44,136.68,150.9,25208322,ALXN
40,2016-06,150.87,157.02,110.56,116.76,59538069,ALXN
41,2016-07,116.68,135.0,115.835,128.6,38074402,ALXN
42,2016-08,128.87,138.4,125.69,125.86,30595124,ALXN
43,2016-09,125.9,133.88,119.23,122.54,31231286,ALXN
44,2016-10,122.41,136.25,116.75,130.5,32985505,ALXN
45,2016-11,130.57,145.415,111.665,122.59,72041565,ALXN
46,2016-12,122.78,134.06,109.12,122.35,75684188,ALXN
47,2017-01,123.19,145.0,122.13,130.68,48973929,ALXN
48,2017-02,128.5,138.21,125.2,131.25,44424804,ALXN
49,2017-03,132.5,135.86,115.58,121.24,40254791,ALXN
50,2017-04,121.52,128.74,113.42,127.78,37491230,ALXN
51,2017-05,128.0,133.6736,96.18,98.03,86392910,ALXN
52,2017-06,97.87,130.02,97.87,121.67,75911810,ALXN
53,2017-07,121.83,142.47,117.17,137.34,38605285,ALXN
54,2017-08,138.33,142.98,131.15,142.41,31819256,ALXN
55,2017-09,142.0,149.34,136.82,140.29,33733220,ALXN
56,2017-10,140.0,144.91,119.15,119.66,46192057,ALXN
57,2017-11,119.97,120.49,106.34,109.81,45025730,ALXN
58,2017-12,109.31,121.195,105.01,119.59,40881855,ALXN
59,2018-01,121.63,129.15,118.0,119.32,40823401,ALXN
60,2018-02,118.45,119.535,109.61,117.15,10936980,ALXN
