,date,open,high,low,close,volume,Name
0,2013-02,41.22,42.45,40.69,41.83,11137823,AME
1,2013-03,41.67,43.46,41.01,43.36,14885966,AME
2,2013-04,43.32,43.32,39.54,40.71,26096351,AME
3,2013-05,40.4,43.98,39.82,43.15,20585999,AME
4,2013-06,43.27,43.605,39.46,42.3,23689132,AME
5,2013-07,42.44,46.77,42.44,46.28,18371253,AME
6,2013-08,46.74,48.01,42.84,42.92,23540024,AME
7,2013-09,43.51,47.0,42.233999999999995,46.02,62664405,AME
8,2013-10,46.13,62.05,43.4,47.83,28873183,AME
9,2013-11,47.85,49.96,47.34,49.22,18295291,AME
10,2013-12,49.16,52.89,48.1311,52.67,19394812,AME
11,2014-01,52.43,53.16,48.59,49.42,19943609,AME
12,2014-02,49.6,53.57,47.39,53.24,17167198,AME
13,2014-03,52.77,54.4,51.18,51.49,16057806,AME
14,2014-04,51.72,53.09,49.5,52.72,19208446,AME
15,2014-05,52.55,53.91,51.4,53.08,15927692,AME
16,2014-06,53.06,54.5,52.24,52.28,15302861,AME
17,2014-07,52.51,53.27,48.6,48.69,19158865,AME
18,2014-08,48.74,53.27,48.41,52.94,19798097,AME
19,2014-09,53.13,53.49,50.18,50.21,18290902,AME
20,2014-10,49.98,52.15,45.12,52.15,32535285,AME
21,2014-11,52.13,52.4,46.92,50.96,32920574,AME
22,2014-12,50.71,54.25,48.367,52.63,25210469,AME
23,2015-01,52.76,52.87,47.85,47.9,26402671,AME
24,2015-02,48.18,53.49,47.96,53.14,21881853,AME
25,2015-03,53.14,54.0,51.16,52.54,23940377,AME
26,2015-04,52.19,53.63,51.23,52.42,21421215,AME
27,2015-05,52.6,55.56,51.97,53.76,21152570,AME
28,2015-06,53.99,55.29,52.99,54.78,21561174,AME
29,2015-07,55.13,56.05,51.85,53.05,29876016,AME
30,2015-08,53.17,57.67,50.55,53.82,34397327,AME
31,2015-09,52.65,54.51,50.64,52.32,26280234,AME
32,2015-10,52.43,56.53,50.97,54.82,33501151,AME
33,2015-11,54.87,57.0,53.56,56.46,20556092,AME
34,2015-12,56.62,56.93,52.81,53.59,33272325,AME
35,2016-01,52.86,52.93,45.09,47.05,33785024,AME
36,2016-02,46.58,47.16,42.82,46.41,40762633,AME
37,2016-03,46.69,50.65,46.55,49.98,28923257,AME
38,2016-04,49.82,52.605,47.21,48.09,32676258,AME
39,2016-05,48.11,48.72,46.0,47.82,31777541,AME
40,2016-06,47.68,49.355,43.28,46.23,33127378,AME
41,2016-07,46.26,48.23,44.49,47.03,26960774,AME
42,2016-08,46.95,50.27,43.3,48.75,40553978,AME
43,2016-09,48.79,49.41,46.63,47.78,30030746,AME
44,2016-10,47.59,48.3,43.99,44.1,35408222,AME
45,2016-11,45.0,48.44,43.98,47.35,69995177,AME
46,2016-12,47.72,51.26,47.5208,48.6,43837946,AME
47,2017-01,49.04,52.825,48.55,51.1,31384312,AME
48,2017-02,51.35,55.48,50.44,53.97,42878056,AME
49,2017-03,54.75,55.37,52.42,54.08,33492434,AME
50,2017-04,54.09,57.59,53.19,57.2,28752310,AME
51,2017-05,57.39,61.37,56.66,61.02,36136508,AME
52,2017-06,61.2,62.89,59.56,60.57,26571833,AME
53,2017-07,61.0,62.31,60.5,61.58,17070319,AME
54,2017-08,61.74,64.97,60.95,63.25,20179112,AME
55,2017-09,63.3,66.7,62.82,66.04,19736982,AME
56,2017-10,66.0,70.26,65.65,67.49,20272190,AME
57,2017-11,67.94,73.06,66.92,72.69,34774777,AME
58,2017-12,72.6,73.06,70.57,72.47,20622657,AME
59,2018-01,72.89,78.155,72.14,76.3,23547867,AME
60,2018-02,77.31,78.51,71.585,74.16,10401160,AME
