,date,open,high,low,close,volume,Name
0,2013-02,85.61,93.42,82.92,91.55,87489847,AMGN
1,2013-03,91.16,102.62,90.35,102.51,85080355,AMGN
2,2013-04,102.6199,114.95,101.7,104.21,101865622,AMGN
3,2013-05,105.05,109.56,100.39,100.53,70306511,AMGN
4,2013-06,100.61,102.29,94.15,98.66,74152568,AMGN
5,2013-07,100.2,111.3,95.05,108.29,67256927,AMGN
6,2013-08,109.6,116.25,103.31,108.94,74871865,AMGN
7,2013-09,110.53,117.91,109.99,111.925,62873798,AMGN
8,2013-10,111.99,118.96,105.76,116.14,68540898,AMGN
9,2013-11,117.07,119.7,110.65,114.08,63441786,AMGN
10,2013-12,114.29,115.95,109.71,114.08,58500631,AMGN
11,2014-01,114.36,124.46,113.12,118.95,75126488,AMGN
12,2014-02,119.68,126.95,114.57,124.02,63310484,AMGN
13,2014-03,122.89,128.96,118.56,123.34,74153786,AMGN
14,2014-04,123.67,127.25,108.2,111.75,100110574,AMGN
15,2014-05,111.38,116.57,109.41,115.99,66187935,AMGN
16,2014-06,116.72,121.0,115.3,118.37,54524623,AMGN
17,2014-07,119.39,131.2367,114.93,127.39,70818948,AMGN
18,2014-08,126.17,139.73,124.76,139.38,67134164,AMGN
19,2014-09,139.62,144.46,135.63,140.46,62151788,AMGN
20,2014-10,140.39,164.65,127.67,162.18,124360051,AMGN
21,2014-11,162.08,167.345,156.615,165.31,63215884,AMGN
22,2014-12,165.12,173.14,154.36,159.29,77022527,AMGN
23,2015-01,160.16,162.76,151.53,152.26,73095002,AMGN
24,2015-02,153.41,159.4,147.42,157.72,68424424,AMGN
25,2015-03,159.29,172.36,152.29,159.85,74078119,AMGN
26,2015-04,159.37,173.6,154.6,157.91,71938949,AMGN
27,2015-05,159.5,165.59,155.58,156.26,63312913,AMGN
28,2015-06,157.59,163.5,150.85,153.52,69192232,AMGN
29,2015-07,154.94,181.81,151.04,176.59,78119303,AMGN
30,2015-08,176.8,177.52,140.0,151.78,81888129,AMGN
31,2015-09,149.11,156.76,130.09,138.32,89701990,AMGN
32,2015-10,138.55,165.0,135.64,158.18,98060111,AMGN
33,2015-11,159.01,165.0,148.0,161.1,58237487,AMGN
34,2015-12,162.71,165.23,153.43,162.33,67382062,AMGN
35,2016-01,159.0,160.21,144.17,152.73,89489210,AMGN
36,2016-02,151.31,153.72,140.04,142.28,80013659,AMGN
37,2016-03,144.3,151.91,139.02,149.93,83837904,AMGN
38,2016-04,150.02,164.7,149.1,158.3,60909158,AMGN
39,2016-05,158.62,159.42,147.12,157.95,57215773,AMGN
40,2016-06,157.61,160.75,143.82,152.15,65508143,AMGN
41,2016-07,152.43,172.26,152.25,172.03,57109261,AMGN
42,2016-08,172.91,176.64,168.76,170.06,64651277,AMGN
43,2016-09,170.55,176.85,165.265,166.81,60647909,AMGN
44,2016-10,166.05,168.69,140.94,141.16,74479495,AMGN
45,2016-11,141.17,152.85,133.64,144.07,98476356,AMGN
46,2016-12,144.24,151.21,138.83,146.21,70550972,AMGN
47,2017-01,147.86,161.0,147.12,156.68,75000844,AMGN
48,2017-02,158.59,178.25,156.91,176.53,69621110,AMGN
49,2017-03,178.0,184.21,162.94,164.07,109214534,AMGN
50,2017-04,164.63,165.61,160.0,163.32,54698683,AMGN
51,2017-05,163.68,164.82,152.16,155.24,69525762,AMGN
52,2017-06,155.4,175.45,155.24,172.23,90696511,AMGN
53,2017-07,172.63,182.6,170.53,174.51,55741967,AMGN
54,2017-08,174.81,178.64,166.52,177.77,46601212,AMGN
55,2017-09,178.14,191.0999,175.361,186.45,54536445,AMGN
56,2017-10,187.03,190.0,169.6842,175.22,63078088,AMGN
57,2017-11,175.3,177.31,168.15,175.66,53014251,AMGN
58,2017-12,174.16,180.74,173.43,173.9,54774196,AMGN
59,2018-01,175.35,201.23,174.42,186.05,66348588,AMGN
60,2018-02,185.0,192.6,172.04,177.47,31274260,AMGN
