,date,open,high,low,close,volume,Name
0,2013-02,66.21,69.335,65.95,68.63,19029596,AMP
1,2013-03,68.04,75.14,66.941,73.65,33452293,AMP
2,2013-04,73.52,75.5,69.345,74.53,28677920,AMP
3,2013-05,74.35,84.29,72.3,81.52,28597782,AMP
4,2013-06,81.91,83.8,76.77,80.88,29618063,AMP
5,2013-07,81.6,89.79,80.49,89.0,24731934,AMP
6,2013-08,89.95,91.22,85.24,86.15,18939337,AMP
7,2013-09,87.59,94.45,85.93,91.08,20250349,AMP
8,2013-10,91.2,102.26,89.37,100.54,24451994,AMP
9,2013-11,100.67,109.12,100.22,108.25,21356703,AMP
10,2013-12,108.31,115.36,105.68,115.05,20543056,AMP
11,2014-01,114.58,116.82,104.01,105.64,29024990,AMP
12,2014-02,105.65,110.09,101.29,108.99,23894779,AMP
13,2014-03,107.22,113.68,106.85,110.07,24330982,AMP
14,2014-04,110.57,115.41,100.94,111.63,28662117,AMP
15,2014-05,111.79,113.3,107.11,112.61,18736512,AMP
16,2014-06,112.99,120.32,112.09,120.0,17319014,AMP
17,2014-07,120.2,127.0,118.64,119.6,15577646,AMP
18,2014-08,118.2,126.665,116.02,125.76,16566730,AMP
19,2014-09,126.45,128.51,122.19,123.38,18182964,AMP
20,2014-10,122.73,130.57,105.41,126.17,25233597,AMP
21,2014-11,126.55,132.75,126.03,131.77,12733369,AMP
22,2014-12,131.27,137.33,124.01,132.25,18882012,AMP
23,2015-01,132.98,133.4899,121.49,124.94,22772135,AMP
24,2015-02,125.88,138.26,124.63,133.63,18148283,AMP
25,2015-03,133.33,137.07,128.49,130.84,19648992,AMP
26,2015-04,130.76,131.76,120.83,125.28,41382583,AMP
27,2015-05,126.1,129.8,122.35,124.59,24196109,AMP
28,2015-06,124.65,130.69,123.67,124.93,28152919,AMP
29,2015-07,126.99,129.22,121.16,125.67,27544774,AMP
30,2015-08,125.57,127.32,95.52,112.67,27661227,AMP
31,2015-09,110.0,113.01,103.43,109.13,26359126,AMP
32,2015-10,109.06,116.68,104.59,115.36,25315310,AMP
33,2015-11,115.77,120.29,111.34,112.95,17350031,AMP
34,2015-12,113.64,115.29,100.08,106.42,23950780,AMP
35,2016-01,103.93,105.47,81.4,90.65,32766499,AMP
36,2016-02,89.24,90.29,75.995,83.95,39452325,AMP
37,2016-03,85.08,96.54,85.01,94.01,34793529,AMP
38,2016-04,93.7,101.43,90.11,95.9,26065659,AMP
39,2016-05,96.09,102.31,91.9,101.67,24055543,AMP
40,2016-06,100.64,102.7386,84.92,89.85,31160996,AMP
41,2016-07,89.63,97.32,84.93,95.84,20412176,AMP
42,2016-08,96.05,101.24,92.57,101.08,16908562,AMP
43,2016-09,101.49,101.81,96.715,99.77,18302441,AMP
44,2016-10,99.14,103.64,87.7003,88.39,21951206,AMP
45,2016-11,88.97,115.5,86.25,114.21,30978993,AMP
46,2016-12,115.43,119.32,109.19,110.94,22116438,AMP
47,2017-01,113.1231,117.57,110.56,112.27,20590865,AMP
48,2017-02,113.62,131.55,112.4,131.5,24553981,AMP
49,2017-03,134.56,135.2,121.295,129.68,25290585,AMP
50,2017-04,129.94,132.88,125.82,127.85,20827809,AMP
51,2017-05,128.92,130.125,118.84,120.79,23950305,AMP
52,2017-06,121.66,133.02,120.11,127.29,23954056,AMP
53,2017-07,128.54,145.88,128.055,144.88,19781180,AMP
54,2017-08,148.05,149.985,134.85,138.51,26009599,AMP
55,2017-09,138.72,149.19,131.2,148.51,19597978,AMP
56,2017-10,148.28,163.04,147.79,156.54,17533682,AMP
57,2017-11,157.72,166.135,155.07,163.23,15952793,AMP
58,2017-12,163.32,173.62,157.73,169.47,15633352,AMP
59,2018-01,170.64,183.9,167.44,168.7,24303861,AMP
60,2018-02,168.61,171.17,154.03,160.11,7220473,AMP
