,date,open,high,low,close,volume,Name
0,2013-02,75.76,78.31,72.56,77.6,43233195,AMT
1,2013-03,77.54,79.35,73.91,76.92,42723376,AMT
2,2013-04,76.97,84.29,76.6,83.99,41497862,AMT
3,2013-05,78.54,85.26,77.84,77.84,45110895,AMT
4,2013-06,77.83,79.05,69.54,73.17,80465727,AMT
5,2013-07,73.43,78.33,69.74,70.79,117713158,AMT
6,2013-08,71.4,72.51,67.89,69.49,69033359,AMT
7,2013-09,69.82,75.99,68.69,74.13,60674067,AMT
8,2013-10,74.13,81.36,71.55,79.35,59674718,AMT
9,2013-11,79.45,80.43,76.22,77.77,44555874,AMT
10,2013-12,77.63,80.13,75.65,79.82,43257159,AMT
11,2014-01,79.51,84.65,78.6,80.88,51791280,AMT
12,2014-02,80.74,84.9,78.38,81.47,42855279,AMT
13,2014-03,81.08,82.99,80.01,81.87,44778242,AMT
14,2014-04,81.98,84.27,80.1,83.52,44889170,AMT
15,2014-05,84.05,90.0,83.7,89.63,37601749,AMT
16,2014-06,89.67,90.73,87.05,89.98,32108446,AMT
17,2014-07,90.08,97.56,89.05,94.39,35243410,AMT
18,2014-08,94.75,99.9,93.88,98.6,39830416,AMT
19,2014-09,99.13,99.9,92.78,93.63,42436095,AMT
20,2014-10,93.86,100.36,90.2,97.5,47584640,AMT
21,2014-11,95.83,106.305,95.72,105.01,38550736,AMT
22,2014-12,103.75,105.09,95.58,98.85,42360825,AMT
23,2015-01,99.16,101.88,95.87,96.95,44574399,AMT
24,2015-02,96.95,100.8,94.05,99.14,73214057,AMT
25,2015-03,98.81,99.89,93.21,94.15,59204788,AMT
26,2015-04,96.26,98.64,93.5,94.53,46527216,AMT
27,2015-05,94.65,95.77,92.1,92.79,51563257,AMT
28,2015-06,92.7,97.06,91.99,93.29,51567913,AMT
29,2015-07,93.88,98.31,93.18,95.11,44434463,AMT
30,2015-08,95.25,101.54,89.39,92.19,59170640,AMT
31,2015-09,90.37,93.02,86.83,87.98,45037311,AMT
32,2015-10,87.95,102.62,87.23,102.23,46399911,AMT
33,2015-11,102.81,104.12,96.0,99.38,33650125,AMT
34,2015-12,99.5,101.24,92.88,96.95,43216105,AMT
35,2016-01,96.29,98.75,86.21,94.34,52979319,AMT
36,2016-02,93.6,93.9,83.07,92.2,57104892,AMT
37,2016-03,92.75,102.93,91.65,102.37,43965333,AMT
38,2016-04,101.93,106.75,101.87,104.88,40207913,AMT
39,2016-05,105.0,107.24,103.11,105.78,31961112,AMT
40,2016-06,105.46,113.63,104.87,113.61,41791765,AMT
41,2016-07,113.94,118.26,111.62,115.77,38532420,AMT
42,2016-08,115.87,117.25,112.29,113.38,36900078,AMT
43,2016-09,113.7,117.31,107.57,113.33,43216383,AMT
44,2016-10,112.9,118.09,106.04,117.19,45930915,AMT
45,2016-11,117.19,117.46,100.41,102.27,72530340,AMT
46,2016-12,101.36,108.17,99.72,105.68,53634224,AMT
47,2017-01,106.73,106.94,102.51,103.5,38629282,AMT
48,2017-02,103.6,115.69,102.91,114.79,41930160,AMT
49,2017-03,114.78,121.85,112.78,121.54,51611233,AMT
50,2017-04,121.43,126.36,120.44,125.94,44697878,AMT
51,2017-05,126.56,137.12,125.5,131.19,43066292,AMT
52,2017-06,131.95,136.29,125.24,132.32,38452249,AMT
53,2017-07,132.62,139.5,130.82,136.33,32459582,AMT
54,2017-08,136.08,148.71,135.63,148.05,32513261,AMT
55,2017-09,148.33,148.33,133.74,136.68,46607253,AMT
56,2017-10,137.03,144.8,135.66,143.67,42820507,AMT
57,2017-11,144.25,155.28,140.23,143.93,44377831,AMT
58,2017-12,144.22,145.6,138.52,142.67,39884335,AMT
59,2018-01,143.16,148.84,132.54,147.7,54486713,AMT
60,2018-02,148.02,149.36,137.63,140.0,13889359,AMT
