,date,open,high,low,close,volume,Name
0,2013-02,52.46,57.04,50.07,56.24,53034742,ANDV
1,2013-03,55.85,59.9,55.05,58.55,69689398,ANDV
2,2013-04,58.27,58.45,47.98,53.4,79049051,ANDV
3,2013-05,52.66,65.75,50.77,61.65,103367193,ANDV
4,2013-06,62.2,62.79,50.725,52.32,62647666,ANDV
5,2013-07,52.4,57.3,49.26,56.85,61254593,ANDV
6,2013-08,57.3,57.99,45.53,46.09,74706088,ANDV
7,2013-09,46.56,47.64,43.65,43.98,64869066,ANDV
8,2013-10,43.93,50.77,40.9,48.89,91314021,ANDV
9,2013-11,48.92,59.54,47.05,58.63,81023377,ANDV
10,2013-12,58.89,59.57,54.66,58.5,73884685,ANDV
11,2014-01,58.2,59.07,49.83,51.52,68807884,ANDV
12,2014-02,51.38,52.77,46.4,51.01,65566799,ANDV
13,2014-03,50.41,54.58,49.04,50.59,53288628,ANDV
14,2014-04,50.53,56.85,47.025,56.29,58992166,ANDV
15,2014-05,57.44,58.1,52.73,56.2,58584032,ANDV
16,2014-06,56.44,62.89,55.54,58.67,56389600,ANDV
17,2014-07,58.6,62.52,57.11,61.54,52720262,ANDV
18,2014-08,59.95,65.31,59.68,64.74,49579614,ANDV
19,2014-09,64.86,67.065,58.13,60.98,51682929,ANDV
20,2014-10,61.09,73.0,55.59,71.41,87135191,ANDV
21,2014-11,71.96,79.49,70.07,76.62,63087492,ANDV
22,2014-12,76.63,79.0499,69.05,74.35,66559625,ANDV
23,2015-01,74.61,83.12,64.16,81.73,76354349,ANDV
24,2015-02,81.84,94.83,79.77,91.84,74348268,ANDV
25,2015-03,91.62,94.71,84.22,91.29,56513921,ANDV
26,2015-04,91.55,91.82,81.77,85.83,53552675,ANDV
27,2015-05,85.91,93.14,85.68,88.5,42474909,ANDV
28,2015-06,89.03,89.55,82.82,84.41,35325909,ANDV
29,2015-07,84.97,104.44,83.75,97.34,58631211,ANDV
30,2015-08,97.1,110.74,86.32,92.01,59003037,ANDV
31,2015-09,89.67,103.05,88.9,97.24,59508501,ANDV
32,2015-10,97.04,109.85,95.37,106.93,49005189,ANDV
33,2015-11,107.34,119.67,107.0,115.17,35222620,ANDV
34,2015-12,115.89,118.26,98.07,105.37,41887978,ANDV
35,2016-01,104.83,109.24,82.41,87.25,56367169,ANDV
36,2016-02,86.39,88.29,67.8,80.68,68956677,ANDV
37,2016-03,81.02,93.5,79.02,86.01,53823389,ANDV
38,2016-04,85.01,87.85,79.55,79.69,38328208,ANDV
39,2016-05,79.25,81.26,74.4401,78.08,41698685,ANDV
40,2016-06,77.54,83.155,70.78,74.92,45545761,ANDV
41,2016-07,74.43,79.46,69.49,76.15,36709042,ANDV
42,2016-08,75.54,77.85,72.78,75.42,51468738,ANDV
43,2016-09,75.29,84.89,72.95,79.56,57446590,ANDV
44,2016-10,79.27,85.36,78.49,84.97,34946430,ANDV
45,2016-11,88.48,90.54,78.32,81.35,53838940,ANDV
46,2016-12,82.18,93.06,81.35,87.45,44353415,ANDV
47,2017-01,88.51,91.37,79.0982,80.85,56854404,ANDV
48,2017-02,81.38,89.1813,79.96,85.19,48315443,ANDV
49,2017-03,85.69,87.19,79.67,81.06,55306455,ANDV
50,2017-04,81.33,82.46,75.11,79.71,40196697,ANDV
51,2017-05,79.97,85.64,78.25,83.24,45647424,ANDV
52,2017-06,83.19,95.11,82.501,93.6,62258678,ANDV
53,2017-07,94.13,99.76,93.35,99.53,28304109,ANDV
54,2017-08,101.0,101.52,91.82,100.15,34416270,ANDV
55,2017-09,100.47,105.63,98.1003,103.15,28997333,ANDV
56,2017-10,103.0,107.71,102.42,106.24,23920480,ANDV
57,2017-11,107.12,112.21,103.0,105.47,26438767,ANDV
58,2017-12,105.98,116.06,102.29,114.34,30607998,ANDV
59,2018-01,114.92,121.71,105.34,108.16,30860986,ANDV
60,2018-02,108.1,108.1,97.25,100.62,10769833,ANDV
