,date,open,high,low,close,volume,Name
0,2013-02,74.72,77.17,73.62,75.8,4032527,ANSS
1,2013-03,76.12,81.55,75.18,81.42,7768354,ANSS
2,2013-04,81.1,81.345,73.75,80.86,6035716,ANSS
3,2013-05,80.55,81.52,72.18,74.5,9047496,ANSS
4,2013-06,74.87,77.13,70.66,73.1,6633132,ANSS
5,2013-07,73.63,82.48,72.19,79.84,5422222,ANSS
6,2013-08,81.0,89.71,80.87,83.98,5472300,ANSS
7,2013-09,85.12,88.95,81.82,86.52,6630553,ANSS
8,2013-10,86.82,89.28,82.92,87.45,6761240,ANSS
9,2013-11,87.53,89.42,81.2,85.67,6789940,ANSS
10,2013-12,85.56,89.14,83.01,87.2,5969889,ANSS
11,2014-01,86.44,87.15,77.2901,78.53,8371411,ANSS
12,2014-02,78.51,85.06,76.18,83.52,7790641,ANSS
13,2014-03,82.83,83.88,72.1,77.02,13858848,ANSS
14,2014-04,77.27,78.13,72.89,76.31,10897874,ANSS
15,2014-05,75.54,76.48,71.501,73.45,8953911,ANSS
16,2014-06,73.34,76.8399,72.73,75.82,11556507,ANSS
17,2014-07,75.9,78.89,73.67,76.94,8853952,ANSS
18,2014-08,76.65,82.96,75.34,81.3,8882830,ANSS
19,2014-09,81.59,82.1,75.0,75.67,7773919,ANSS
20,2014-10,75.37,78.79,71.09,78.56,10950729,ANSS
21,2014-11,78.46,84.08,74.54,83.52,8021196,ANSS
22,2014-12,83.06,84.87,79.27,82.0,8006504,ANSS
23,2015-01,82.09,86.13,78.7575,80.67,7061358,ANSS
24,2015-02,80.82,88.24,79.11,85.97,6114023,ANSS
25,2015-03,85.9,88.96,84.34,88.19,8600668,ANSS
26,2015-04,87.88,89.64,85.66,85.84,7253988,ANSS
27,2015-05,86.1,90.87,84.09,89.0,7695959,ANSS
28,2015-06,89.38,92.46,87.93,91.24,8275011,ANSS
29,2015-07,91.99,94.86,89.53,94.15,7098471,ANSS
30,2015-08,94.2,97.59,84.9025,88.6,10011554,ANSS
31,2015-09,86.69,93.76,86.37,88.14,7835091,ANSS
32,2015-10,88.31,97.12,85.33,95.31,6937794,ANSS
33,2015-11,95.76,98.39,88.88,93.21,10452331,ANSS
34,2015-12,93.44,95.0,89.48,92.5,8640541,ANSS
35,2016-01,91.4,91.62,82.0001,88.19,8370720,ANSS
36,2016-02,87.35,89.04,80.51,83.02,11537679,ANSS
37,2016-03,83.43,89.68,83.43,89.46,9592798,ANSS
38,2016-04,88.55,91.75,86.21,90.77,6907426,ANSS
39,2016-05,90.74,92.48,81.41,89.1,17332966,ANSS
40,2016-06,88.53,92.45,84.695,90.75,10247468,ANSS
41,2016-07,90.91,92.23,88.3,89.36,8015145,ANSS
42,2016-08,89.67,98.99,88.64,95.09,11997757,ANSS
43,2016-09,95.04,95.94,90.47,92.61,9211711,ANSS
44,2016-10,92.62,93.13,90.26,91.35,7367055,ANSS
45,2016-11,91.42,94.68,82.28,94.03,12395444,ANSS
46,2016-12,94.38,96.21,92.1,92.49,10432533,ANSS
47,2017-01,93.12,95.43,91.89,93.26,8045096,ANSS
48,2017-02,93.46,107.77,92.33,106.76,10496650,ANSS
49,2017-03,107.57,108.92,104.55,106.87,10217438,ANSS
50,2017-04,106.87,111.09,104.6501,110.16,5352004,ANSS
51,2017-05,110.4,127.73,109.63,126.33,12446211,ANSS
52,2017-06,126.92,129.85,119.34,121.68,33661404,ANSS
53,2017-07,122.52,129.85,119.75,129.55,6963558,ANSS
54,2017-08,129.65,131.63,121.3722,128.82,9159650,ANSS
55,2017-09,128.57,132.74,119.2,122.73,11166378,ANSS
56,2017-10,123.16,137.05,123.16,136.71,7871950,ANSS
57,2017-11,137.55,155.14,135.28,148.19,12682673,ANSS
58,2017-12,148.45,149.18,141.91,147.59,7908013,ANSS
59,2018-01,148.15,164.9,147.025,161.65,10437847,ANSS
60,2018-02,160.97,163.71,151.79,155.03,2673958,ANSS
