,date,open,high,low,close,volume,Name
0,2013-02,84.13,85.47,72.62,74.27,64715727,APA
1,2013-03,73.56,78.08,72.2,77.16,68555809,APA
2,2013-04,77.21,77.245,67.91,73.88,74362234,APA
3,2013-05,73.45,85.52,72.51,82.13,84840417,APA
4,2013-06,82.71,87.57,81.67,83.83,73663178,APA
5,2013-07,84.21,85.41,79.5,80.25,75325210,APA
6,2013-08,81.85,85.99,75.07,85.68,76294798,APA
7,2013-09,86.5,89.17,84.41,85.14,55146049,APA
8,2013-10,84.76,91.65,84.76,88.8,50117112,APA
9,2013-11,88.89,94.84,87.73,91.49,52717742,APA
10,2013-12,91.22,91.85,84.15,85.94,49357977,APA
11,2014-01,85.82,87.91,79.84,80.26,53779462,APA
12,2014-02,80.26,85.95,77.31,79.29,70792120,APA
13,2014-03,79.0,83.9,78.4,82.95,57861010,APA
14,2014-04,82.79,88.69,81.87,86.8,69968243,APA
15,2014-05,86.77,93.4,86.33,93.22,67745916,APA
16,2014-06,93.09,102.34,91.53,100.62,62748687,APA
17,2014-07,100.95,104.57,97.32,102.66,56672454,APA
18,2014-08,99.88,102.6,97.6,101.83,54218686,APA
19,2014-09,101.82,102.0,92.84,93.87,48678323,APA
20,2014-10,93.59,93.87,69.28,77.2,106757029,APA
21,2014-11,78.02,78.65,63.73,64.09,80928816,APA
22,2014-12,63.41,65.72,54.34,62.67,134874471,APA
23,2015-01,62.18,65.32,57.44,62.57,87477637,APA
24,2015-02,64.03,69.07,63.2,65.84,95863606,APA
25,2015-03,65.46,67.3,57.57,60.33,78828850,APA
26,2015-04,60.93,71.87,60.135,68.4,68386576,APA
27,2015-05,68.44,70.14,58.8344,59.84,69729923,APA
28,2015-06,59.89,60.13,56.06,57.63,72297321,APA
29,2015-07,57.64,58.85,43.84,45.86,93392473,APA
30,2015-08,45.05,49.68,38.4,45.24,127665175,APA
31,2015-09,43.41,45.11,35.79,39.16,125118861,APA
32,2015-10,39.92,47.98,39.101,47.13,102627874,APA
33,2015-11,46.74,56.31,46.55,49.18,101678497,APA
34,2015-12,49.34,49.73,41.6,44.47,103024768,APA
35,2016-01,44.25,45.11,32.195,42.54,137924863,APA
36,2016-02,41.27,43.8,33.23,38.28,120059183,APA
37,2016-03,38.47,51.81,36.26,48.81,126204361,APA
38,2016-04,47.46,58.06,46.15,54.4,76234415,APA
39,2016-05,54.61,59.59,50.08,57.14,101394930,APA
40,2016-06,56.49,59.02,51.38,55.67,71190531,APA
41,2016-07,55.76,58.34,51.0,52.5,47761733,APA
42,2016-08,51.82,53.83,48.045,49.7,70237849,APA
43,2016-09,49.35,66.0,48.53,63.87,129002761,APA
44,2016-10,63.73,65.81,59.39,59.48,71745072,APA
45,2016-11,60.32,66.83,54.61,65.95,83809710,APA
46,2016-12,67.39,69.0,63.27,63.47,58301078,APA
47,2017-01,64.71,64.92,59.1,59.82,60689610,APA
48,2017-02,60.33,60.66,51.28,52.59,80891269,APA
49,2017-03,53.04,54.06,49.05,51.39,91622010,APA
50,2017-04,51.42,54.64,48.24,48.64,69750433,APA
51,2017-05,48.56,52.67,46.09,46.76,77252438,APA
52,2017-06,46.85,50.19,45.15,47.93,89044048,APA
53,2017-07,48.18,51.21,44.595,49.48,64843409,APA
54,2017-08,44.21,48.35,38.14,38.84,95338500,APA
55,2017-09,39.0,46.94,38.62,45.8,61469955,APA
56,2017-10,45.15,45.96,38.895,41.37,85736373,APA
57,2017-11,41.77,46.47,39.52,41.83,59970514,APA
58,2017-12,42.28,44.7689,39.2,42.22,66055582,APA
59,2018-01,42.65,48.97,42.54,44.87,87651304,APA
60,2018-02,45.02,45.355,39.33,39.55,24611489,APA
