,date,open,high,low,close,volume,Name
0,2013-02,72.72,73.495,70.07,71.14,7019574,ARE
1,2013-03,70.85,72.84,70.2,70.98,7260369,ARE
2,2013-04,70.71,72.77,69.68,72.77,10490775,ARE
3,2013-05,72.3,78.4292,68.47,68.5,21993832,ARE
4,2013-06,68.62,69.11,61.2,65.72,12029853,ARE
5,2013-07,66.02,71.29,65.46,68.5,8505686,ARE
6,2013-08,68.91,69.69,60.91,61.67,8806201,ARE
7,2013-09,62.21,67.63,60.86,63.85,10229399,ARE
8,2013-10,63.91,67.99,62.94,65.78,11184716,ARE
9,2013-11,65.89,67.26,62.52,63.26,6173382,ARE
10,2013-12,63.17,66.3,61.08,63.62,9866672,ARE
11,2014-01,63.34,70.52,62.93,70.13,10435944,ARE
12,2014-02,70.57,73.5,67.52600000000001,72.45,10148902,ARE
13,2014-03,72.03,74.34,70.09,72.56,7610308,ARE
14,2014-04,71.81,74.39,70.97,73.82,8020013,ARE
15,2014-05,73.76,76.3,72.89,76.09,6860875,ARE
16,2014-06,75.92,78.69,75.74,77.64,6477633,ARE
17,2014-07,77.89,79.73,76.94,78.6,7943448,ARE
18,2014-08,78.45,80.6535,76.82,79.06,7350798,ARE
19,2014-09,79.21,80.23,72.91,73.75,11458804,ARE
20,2014-10,73.67,83.46,73.44,83.0,12267892,ARE
21,2014-11,83.24,86.6,81.49,85.92,7533417,ARE
22,2014-12,85.49,91.49,85.15,88.74,8693556,ARE
23,2015-01,89.11,100.55,88.54,97.52,8144483,ARE
24,2015-02,97.56,98.31,93.475,95.91,8151657,ARE
25,2015-03,96.17,102.96,94.02,98.04,10191541,ARE
26,2015-04,98.08,98.39,91.08,92.38,9085915,ARE
27,2015-05,92.45,95.27,89.61,92.73,6696532,ARE
28,2015-06,92.94,94.32,86.84,87.46,7460397,ARE
29,2015-07,87.93,93.97,86.78,92.71,6739447,ARE
30,2015-08,92.87,95.21,85.57,85.99,6974567,ARE
31,2015-09,84.82,90.83,82.91,84.67,8169752,ARE
32,2015-10,84.99,96.86,83.92,89.74,12615259,ARE
33,2015-11,89.59,93.01,87.0801,92.09,7166965,ARE
34,2015-12,92.09,93.14,87.67,90.36,8438714,ARE
35,2016-01,89.67,90.725,74.96,79.18,10654416,ARE
36,2016-02,78.27,79.87,70.69,79.16,9388694,ARE
37,2016-03,79.64,91.2499,79.2,90.89,9810466,ARE
38,2016-04,90.43,94.49,89.43,92.95,8595786,ARE
39,2016-05,92.73,98.39,92.41,96.9,19087789,ARE
40,2016-06,96.32,103.6,95.28,103.52,10473111,ARE
41,2016-07,103.82,112.97,100.53,112.3,14848860,ARE
42,2016-08,112.35,113.28,107.54,110.09,11964276,ARE
43,2016-09,110.23,114.67,103.79,108.77,9477676,ARE
44,2016-10,108.31,108.51,101.51,107.81,11191355,ARE
45,2016-11,107.44,114.02,101.73,109.59,13033100,ARE
46,2016-12,109.07,112.25,105.74,111.13,13064108,ARE
47,2017-01,111.85,114.63,107.705,110.82,8211141,ARE
48,2017-02,110.65,120.9599,108.13,119.31,14397513,ARE
49,2017-03,119.48,119.48,106.89,110.52,39766741,ARE
50,2017-04,110.15,116.635,109.85,112.51,12608442,ARE
51,2017-05,112.79,119.37,111.915,116.68,13596784,ARE
52,2017-06,116.51,122.28,116.51,120.47,18976017,ARE
53,2017-07,121.0,123.18,116.2,121.25,8691866,ARE
54,2017-08,120.92,122.65,117.87,121.31,12227486,ARE
55,2017-09,121.37,122.03,116.26,118.97,15781976,ARE
56,2017-10,119.19,124.49,118.425,123.96,11002421,ARE
57,2017-11,124.68,128.295,123.25,127.06,11505751,ARE
58,2017-12,127.56,134.37,125.68,130.59,15179272,ARE
59,2018-01,131.0,131.0,123.34,129.7,18034302,ARE
60,2018-02,129.7,130.405,116.45,118.96,4388456,ARE
