,date,open,high,low,close,volume,Name
0,2013-02,13.2,14.7,12.9,14.295,242948012,ATVI
1,2013-03,14.26,15.0799,13.97,14.57,131541669,ATVI
2,2013-04,14.53,15.07,13.88,14.96,115651885,ATVI
3,2013-05,14.95,16.11,14.0,14.43,213101985,ATVI
4,2013-06,14.4,14.85,13.27,14.26,148140006,ATVI
5,2013-07,14.25,18.435,14.1401,17.98,174453345,ATVI
6,2013-08,17.99,18.33,16.02,16.32,142498848,ATVI
7,2013-09,16.81,17.41,16.49,16.68,110255630,ATVI
8,2013-10,16.68,17.975,16.25,16.68,204292529,ATVI
9,2013-11,16.68,17.81,16.06,17.21,169731394,ATVI
10,2013-12,17.33,18.4,16.6,17.83,130319931,ATVI
11,2014-01,17.91,18.5501,16.55,17.13,150657220,ATVI
12,2014-02,17.35,20.24,16.64,19.35,157193429,ATVI
13,2014-03,19.12,21.5,19.03,20.44,129248272,ATVI
14,2014-04,20.44,21.03,18.82,20.01,105899834,ATVI
15,2014-05,19.97,21.31,19.12,20.78,161745859,ATVI
16,2014-06,20.82,22.4,20.36,22.3,157755563,ATVI
17,2014-07,22.39,23.43,22.12,22.38,113618869,ATVI
18,2014-08,22.42,23.79,22.22,23.54,114372630,ATVI
19,2014-09,23.53,24.18,20.65,20.79,164985248,ATVI
20,2014-10,20.84,20.87,17.725,19.95,216314448,ATVI
21,2014-11,20.215,21.88,19.53,21.65,205098761,ATVI
22,2014-12,21.63,21.98,19.13,20.15,135451246,ATVI
23,2015-01,20.24,21.19,18.43,20.895,175345894,ATVI
24,2015-02,20.9,23.65,20.28,23.32,169914080,ATVI
25,2015-03,23.32,23.69,22.3,22.725,112429445,ATVI
26,2015-04,22.73,24.03,22.28,22.815,83982243,ATVI
27,2015-05,22.79,25.95,22.66,25.26,111124060,ATVI
28,2015-06,25.44,26.09,24.15,24.21,142727772,ATVI
29,2015-07,24.4,26.45,24.32,25.79,125803526,ATVI
30,2015-08,25.88,30.0,24.04,28.63,293587767,ATVI
31,2015-09,27.86,32.5,27.51,30.89,193492535,ATVI
32,2015-10,31.39,35.44,30.2499,34.76,164744336,ATVI
33,2015-11,34.25,38.03,32.39,37.66,218010372,ATVI
34,2015-12,37.86,39.93,36.76,38.71,135567409,ATVI
35,2016-01,38.05,38.09,32.55,34.82,232260571,ATVI
36,2016-02,34.6,35.26,26.49,31.67,270499648,ATVI
37,2016-03,31.96,34.5,30.37,33.84,139757852,ATVI
38,2016-04,33.81,35.6,33.03,34.47,102618283,ATVI
39,2016-05,34.7,39.99,33.61,39.26,189672950,ATVI
40,2016-06,39.26,39.98,35.77,39.63,237864266,ATVI
41,2016-07,39.69,43.05,39.28,40.16,177425298,ATVI
42,2016-08,40.39,42.45,39.29,41.37,193747666,ATVI
43,2016-09,41.44,45.12,41.41,44.3,210170337,ATVI
44,2016-10,44.3,45.55,42.51,43.17,121911697,ATVI
45,2016-11,43.27,43.67,36.32,36.61,265602276,ATVI
46,2016-12,36.65,38.16,35.12,36.11,142377135,ATVI
47,2017-01,36.44,40.28,36.18,40.21,134264134,ATVI
48,2017-02,40.32,47.638999999999996,38.93,45.13,229503921,ATVI
49,2017-03,45.47,50.4,45.18,49.86,166800273,ATVI
50,2017-04,49.86,52.28,48.41,52.25,82635878,ATVI
51,2017-05,52.63,60.13,52.32,58.58,151718771,ATVI
52,2017-06,58.81,61.5767,55.41,57.57,168402950,ATVI
53,2017-07,57.77,63.19,55.86,61.78,110015018,ATVI
54,2017-08,62.14,66.58,59.77,65.56,138600146,ATVI
55,2017-09,65.66,66.5,61.32,64.51,124819902,ATVI
56,2017-10,64.42,66.03,60.36,65.49,118286512,ATVI
57,2017-11,65.69,67.03,60.1,62.4,134521522,ATVI
58,2017-12,61.96,67.4,57.29,63.32,115836780,ATVI
59,2018-01,63.54,74.945,63.37,74.13,121868086,ATVI
60,2018-02,73.48,74.24,65.72,69.46,38275664,ATVI
