,date,open,high,low,close,volume,Name
0,2013-02,127.51,131.23,124.75,124.83,13376149,AVB
1,2013-03,124.56,129.4,123.04,126.67,19812491,AVB
2,2013-04,127.18,135.6,126.67,133.04,15482551,AVB
3,2013-05,133.5,141.95,129.24,132.66,25102960,AVB
4,2013-06,132.67,137.55,126.91,134.91,18414281,AVB
5,2013-07,134.81,141.714,132.08,135.34,15571384,AVB
6,2013-08,135.88,136.47,121.525,123.9,13384362,AVB
7,2013-09,124.78,136.27,121.325,127.09,12142031,AVB
8,2013-10,127.09,135.15,123.65,125.05,15913472,AVB
9,2013-11,125.86,126.18,116.11,118.56,12754870,AVB
10,2013-12,118.18,122.75,116.03,118.23,17704028,AVB
11,2014-01,118.25,124.78,114.16,123.5,22965238,AVB
12,2014-02,123.5,130.87,123.07600000000001,128.97,18182018,AVB
13,2014-03,128.69,132.17,126.94,131.32,17461650,AVB
14,2014-04,131.32,137.69,130.04399999999998,136.55,17813759,AVB
15,2014-05,136.76,141.95,135.0,141.84,15515941,AVB
16,2014-06,141.74,144.51,138.065,142.19,15554517,AVB
17,2014-07,142.14,151.4,140.92,148.08,14493888,AVB
18,2014-08,148.6,156.16,147.525,154.1,14023958,AVB
19,2014-09,154.35,157.16,139.268,140.97,23642125,AVB
20,2014-10,141.13,159.49,140.995,155.84,21819767,AVB
21,2014-11,156.14,162.55,155.9,160.79,12482228,AVB
22,2014-12,160.82,170.14,159.3,163.39,16032793,AVB
23,2015-01,164.06,181.3199,163.81,172.99,16047065,AVB
24,2015-02,172.87,175.45,165.67,168.34,17610888,AVB
25,2015-03,168.42,181.69,163.84,174.25,19548696,AVB
26,2015-04,174.4,176.43,163.44,164.34,13440057,AVB
27,2015-05,165.42,170.61,162.42,166.5,13143863,AVB
28,2015-06,166.8,169.81,158.72,159.87,15453845,AVB
29,2015-07,160.61,174.15,158.97,172.34,12871056,AVB
30,2015-08,172.44,180.24,162.31,165.06,16329206,AVB
31,2015-09,163.11,174.85,159.3,174.82,16236872,AVB
32,2015-10,175.6,186.89,172.73,174.83,16666562,AVB
33,2015-11,174.83,185.01,168.83,181.79,14312438,AVB
34,2015-12,182.65,186.38,171.7,184.13,19482067,AVB
35,2016-01,182.35,185.12,166.2,171.49,17768223,AVB
36,2016-02,170.87,174.02,160.66,171.64,16891974,AVB
37,2016-03,172.73,190.49,171.8401,190.2,15544428,AVB
38,2016-04,189.87,190.83,174.68,176.79,14593724,AVB
39,2016-05,177.63,192.29,177.63,179.88,15824304,AVB
40,2016-06,178.1,180.42,166.59,180.39,20481761,AVB
41,2016-07,180.86,188.0,176.62,185.65,15750438,AVB
42,2016-08,185.41,187.4799,172.6,175.01,14588628,AVB
43,2016-09,175.2,184.0,168.57,177.84,17409321,AVB
44,2016-10,177.19,177.58,159.18,171.18,16894212,AVB
45,2016-11,171.39,174.17,158.32,164.49,19342730,AVB
46,2016-12,163.44,177.77,161.59,177.15,16588020,AVB
47,2017-01,178.3,180.69,171.53,173.31,14405073,AVB
48,2017-02,172.21,184.43,169.5,183.78,13683357,AVB
49,2017-03,183.33,188.0,176.15,183.6,16268014,AVB
50,2017-04,183.62,190.96,182.01,189.84,11189549,AVB
51,2017-05,190.69,194.11,187.03,191.24,15913042,AVB
52,2017-06,191.3,199.52,188.88,192.17,16479880,AVB
53,2017-07,192.81,196.1299,184.6,192.35,10588594,AVB
54,2017-08,187.67,193.41,184.74099999999999,187.73,14462803,AVB
55,2017-09,188.12,189.44,176.66,178.42,18264392,AVB
56,2017-10,179.0,183.52,176.87,181.33,13715130,AVB
57,2017-11,181.33,188.91,178.58,181.33,11606296,AVB
58,2017-12,181.93,184.4,175.18,178.41,11724967,AVB
59,2018-01,178.59,179.2,166.21,170.4,12779227,AVB
60,2018-02,169.91,171.82,156.01,158.28,7661522,AVB
