,date,open,high,low,close,volume,Name
0,2013-02,35.28,35.78,32.66,34.22,45287816,AVGO
1,2013-03,33.92,36.98,33.01,35.9,49884421,AVGO
2,2013-04,35.82,36.0,30.57,31.96,57957718,AVGO
3,2013-05,32.06,38.266,31.25,37.73,60807891,AVGO
4,2013-06,37.68,38.87,35.62,37.38,57675459,AVGO
5,2013-07,37.85,39.74,36.3,36.68,44034382,AVGO
6,2013-08,37.03,39.45,35.75,38.51,44156719,AVGO
7,2013-09,38.82,43.29,38.04,43.08,50945498,AVGO
8,2013-10,43.14,47.21,41.83,45.43,58597869,AVGO
9,2013-11,45.79,45.885,42.45,44.73,39649953,AVGO
10,2013-12,45.49,54.54,44.42,52.879,58588264,AVGO
11,2014-01,52.85,57.18,51.89,54.6375,40883607,AVGO
12,2014-02,54.8,63.49,52.96,61.7,37463331,AVGO
13,2014-03,61.15,65.83,60.45,64.41,41832413,AVGO
14,2014-04,64.55,65.58,57.27,63.5,49858540,AVGO
15,2014-05,62.92,72.0,62.58,70.67,125566439,AVGO
16,2014-06,71.21,72.5,70.06,72.07,35955634,AVGO
17,2014-07,72.48,76.44,68.8,69.38,42357647,AVGO
18,2014-08,69.92,84.8,68.71,82.09,35868806,AVGO
19,2014-09,82.97,90.88,82.3956,87.0,45930322,AVGO
20,2014-10,87.12,87.92,68.7501,86.25,68449177,AVGO
21,2014-11,86.44,94.4334,83.5,93.4,28902401,AVGO
22,2014-12,93.05,105.0,89.72,100.59,51614549,AVGO
23,2015-01,100.93,108.34,95.18,102.88,38272073,AVGO
24,2015-02,103.25,129.89,99.16,127.62,44734261,AVGO
25,2015-03,127.21,136.28,116.96,126.98,56787361,AVGO
26,2015-04,126.66,128.0,114.56,116.88,43183942,AVGO
27,2015-05,117.92,149.24,115.39,148.07,80027680,AVGO
28,2015-06,148.24,150.5,131.04,132.93,77211088,AVGO
29,2015-07,134.41,137.75,123.52,125.14,82807039,AVGO
30,2015-08,126.42,128.04,100.0,125.97,81006954,AVGO
31,2015-09,121.52,134.95,118.0571,125.01,71362951,AVGO
32,2015-10,123.11,129.84,111.53,123.13,85556263,AVGO
33,2015-11,123.66,130.7,115.21,130.45,58207965,AVGO
34,2015-12,131.17,149.72,130.91,145.15,77344829,AVGO
35,2016-01,142.07,143.3,117.17,133.71,131679166,AVGO
36,2016-02,133.34,138.69,114.25,133.97,90191987,AVGO
37,2016-03,135.37,157.37,134.3,154.5,85736670,AVGO
38,2016-04,154.04,159.65,143.25,145.75,51988423,AVGO
39,2016-05,146.16,154.95,139.18,154.36,44798155,AVGO
40,2016-06,153.41,166.0,142.27,155.4,75929099,AVGO
41,2016-07,154.47,167.6,147.16,161.98,41773861,AVGO
42,2016-08,162.78,179.42,161.2803,176.42,47832893,AVGO
43,2016-09,176.88,177.67,158.7501,172.52,74602439,AVGO
44,2016-10,173.01,177.0,166.8,170.28,42304250,AVGO
45,2016-11,170.72,178.02,163.02,170.49,53653357,AVGO
46,2016-12,170.01,183.99,160.62,176.77,67190601,AVGO
47,2017-01,178.29,205.79,173.31,199.5,66354811,AVGO
48,2017-02,202.25,215.955,200.21,210.93,45313269,AVGO
49,2017-03,213.07,227.75,210.56,218.96,66287633,AVGO
50,2017-04,219.0,224.09,208.44,220.81,36451315,AVGO
51,2017-05,222.09,242.89,219.91,239.48,50397581,AVGO
52,2017-06,241.6,256.78,230.5701,233.05,83377346,AVGO
53,2017-07,234.51,258.49,227.5,246.66,42498281,AVGO
54,2017-08,248.23,259.36,238.7,252.07,60976611,AVGO
55,2017-09,252.33,255.34,231.53,242.54,53940826,AVGO
56,2017-10,245.31,266.7,237.51,263.91,53314092,AVGO
57,2017-11,264.24,285.68,248.87,277.94,75400741,AVGO
58,2017-12,275.21,275.7,253.39,256.9,66787884,AVGO
59,2018-01,259.77,274.26,237.01,248.03,75283806,AVGO
60,2018-02,241.72,245.9,224.9,237.38,31419900,AVGO
