,date,open,high,low,close,volume,Name
0,2013-02,39.11,41.29,38.8,40.85,13285270,AVY
1,2013-03,40.63,43.64,40.27,43.07,16158748,AVY
2,2013-04,43.08,43.49,39.92,41.45,21958033,AVY
3,2013-05,41.22,44.92,39.72,43.5,13674171,AVY
4,2013-06,43.4,44.25,40.71,42.76,10551984,AVY
5,2013-07,42.96,46.96,42.85,44.73,15301859,AVY
6,2013-08,45.09,46.27,42.6,42.76,13189978,AVY
7,2013-09,43.3,44.9,42.467,43.52,14293588,AVY
8,2013-10,43.49,49.97,42.01,47.12,18610794,AVY
9,2013-11,47.3,49.52,46.03,48.9,11787557,AVY
10,2013-12,48.6,50.88,47.94,50.19,16246873,AVY
11,2014-01,50.09,52.17,47.9035,49.27,20590259,AVY
12,2014-02,49.44,50.06,46.25,49.82,16494833,AVY
13,2014-03,49.05,52.1,48.94,50.67,17021263,AVY
14,2014-04,50.93,52.24,48.09,48.66,17466627,AVY
15,2014-05,48.65,50.9,46.65,50.7,20203094,AVY
16,2014-06,50.51,51.605,49.06,51.25,14560325,AVY
17,2014-07,51.42,51.82,47.1,47.21,15575438,AVY
18,2014-08,47.47,49.16,46.77,48.13,12358799,AVY
19,2014-09,48.07,49.16,44.4475,44.65,19618233,AVY
20,2014-10,44.51,48.22,40.58,46.85,27001355,AVY
21,2014-11,46.93,49.62,46.32,49.51,11971275,AVY
22,2014-12,48.91,52.92,48.57,51.88,19751931,AVY
23,2015-01,52.13,54.315,50.8,52.27,19475222,AVY
24,2015-02,52.15,54.74,50.63,53.55,13146380,AVY
25,2015-03,53.44,54.03,51.56,52.91,13228042,AVY
26,2015-04,52.77,56.84,50.94,55.59,16370961,AVY
27,2015-05,55.52,63.42,55.46,61.91,21506412,AVY
28,2015-06,61.97,63.145,59.68,60.94,19246019,AVY
29,2015-07,61.38,64.035,59.376000000000005,60.85,16022304,AVY
30,2015-08,61.0,64.81,53.56,58.08,16604276,AVY
31,2015-09,57.0,61.06,55.29,56.57,15503694,AVY
32,2015-10,56.49,66.09,56.435,64.97,15899801,AVY
33,2015-11,65.03,66.65,62.03,65.96,15747070,AVY
34,2015-12,66.06,66.64,61.99,62.66,15614905,AVY
35,2016-01,61.68,61.77,57.06,60.89,18053276,AVY
36,2016-02,60.67,66.89,59.38,65.12,21688049,AVY
37,2016-03,65.8,72.64,65.75,72.11,23450924,AVY
38,2016-04,71.74,75.14,71.25,72.61,16764035,AVY
39,2016-05,72.65,76.96,72.26,74.38,15663182,AVY
40,2016-06,73.82,77.38,70.91,74.75,14655945,AVY
41,2016-07,72.53,78.82,70.81,77.89,17019294,AVY
42,2016-08,77.94,79.27,76.29,77.44,12753405,AVY
43,2016-09,77.56,78.9599,74.6801,77.79,10806722,AVY
44,2016-10,77.36,78.33,68.55,69.79,16520734,AVY
45,2016-11,69.85,73.31,68.68,72.06,17504920,AVY
46,2016-12,72.06,74.16,70.02,70.22,13954086,AVY
47,2017-01,70.76,74.82,69.53,73.02,14995348,AVY
48,2017-02,78.97,81.27,76.51,80.71,16227704,AVY
49,2017-03,81.5,82.11,78.471,80.6,14389007,AVY
50,2017-04,80.86,83.93,79.13,83.21,14474282,AVY
51,2017-05,83.2,84.7499,81.84,84.26,11567045,AVY
52,2017-06,84.29,89.51,83.1,88.37,12220239,AVY
53,2017-07,88.96,96.7,88.46,92.93,15319207,AVY
54,2017-08,93.34,94.75,91.75,94.26,11940528,AVY
55,2017-09,94.28,100.1,91.98,98.34,13800719,AVY
56,2017-10,98.34,106.56,98.15,106.17,13301064,AVY
57,2017-11,106.71,114.795,104.51,114.12,13568643,AVY
58,2017-12,114.0,117.92,111.2604,114.86,13090821,AVY
59,2018-01,115.15,123.67,114.75,122.68,12600745,AVY
60,2018-02,119.6,121.44,111.48,114.78,5524559,AVY
