,date,open,high,low,close,volume,Name
0,2013-02,38.99,39.98,38.7,39.45,8993792,AWK
1,2013-03,39.51,41.45,39.17,41.44,18289215,AWK
2,2013-04,41.42,42.5294,40.72,41.88,16591961,AWK
3,2013-05,41.74,43.09,39.91,39.94,21340751,AWK
4,2013-06,40.06,41.7,38.91,41.23,19105910,AWK
5,2013-07,41.29,43.72,39.54,42.68,15597973,AWK
6,2013-08,43.01,43.48,40.24,40.74,15367997,AWK
7,2013-09,40.79,41.3,39.05,41.28,21922679,AWK
8,2013-10,40.97,43.06,40.05,42.87,15463207,AWK
9,2013-11,43.0,45.09,41.72,42.35,11575637,AWK
10,2013-12,42.39,42.58,40.35,42.26,17894432,AWK
11,2014-01,42.01,42.6756,41.11,42.57,15545208,AWK
12,2014-02,42.5,45.15,41.065,44.84,13674864,AWK
13,2014-03,44.66,45.86,43.63,45.4,16085068,AWK
14,2014-04,45.38,46.63,44.86,45.53,16016494,AWK
15,2014-05,45.66,48.64,45.43,48.61,18716198,AWK
16,2014-06,48.82,49.5,47.225,49.45,12389625,AWK
17,2014-07,49.35,49.548,47.68,47.77,11358210,AWK
18,2014-08,47.72,50.64,45.98,50.61,14107414,AWK
19,2014-09,50.06,50.71,47.8,48.23,11533350,AWK
20,2014-10,48.21,53.51,47.58,53.37,17496874,AWK
21,2014-11,53.37,53.62,51.29,53.05,12413737,AWK
22,2014-12,52.13,56.19,51.15,53.3,16936518,AWK
23,2015-01,53.3,57.4797,52.9,56.14,15748900,AWK
24,2015-02,56.17,56.76,52.38,54.08,19750196,AWK
25,2015-03,53.99,55.12,51.8445,54.21,18796650,AWK
26,2015-04,54.27,55.67,53.1901,54.52,15122090,AWK
27,2015-05,54.61,54.99,52.15,52.87,18420262,AWK
28,2015-06,52.9,53.22,48.36,48.63,21809214,AWK
29,2015-07,48.77,52.44,48.52,51.91,16733525,AWK
30,2015-08,51.92,54.87,50.16,51.94,19613590,AWK
31,2015-09,51.76,55.63,50.74,55.08,19551023,AWK
32,2015-10,55.02,59.2,54.62,57.36,20435711,AWK
33,2015-11,57.58,58.4,55.125,57.76,14905150,AWK
34,2015-12,57.73,61.2,56.4,59.75,21042127,AWK
35,2016-01,59.68,65.035,58.9,64.91,20424956,AWK
36,2016-02,64.69,68.49,63.16,64.82,28582628,AWK
37,2016-03,65.1,70.1,64.925,68.93,82647734,AWK
38,2016-04,68.84,72.88,68.09,72.76,26857887,AWK
39,2016-05,73.1,75.25,71.93,74.1,27975709,AWK
40,2016-06,74.06,84.54,73.95,84.51,28443276,AWK
41,2016-07,84.81,85.24,80.46,82.58,26541615,AWK
42,2016-08,82.5,83.0,73.44,73.99,27730874,AWK
43,2016-09,73.73,77.8,72.1228,74.84,23591619,AWK
44,2016-10,74.63,74.86,70.12,74.04,19982233,AWK
45,2016-11,74.05,76.12,69.4136,72.47,23369769,AWK
46,2016-12,72.03,74.875,70.93,72.36,21190270,AWK
47,2017-01,72.37,73.47,69.96,73.44,18176364,AWK
48,2017-02,72.91,78.73,71.63,78.0,19080661,AWK
49,2017-03,77.04,78.439,75.09,77.77,20349776,AWK
50,2017-04,77.59,81.49,76.7279,79.76,15646646,AWK
51,2017-05,79.83,80.05,74.63,78.18,21950478,AWK
52,2017-06,78.29,82.8948,77.73,77.95,17831640,AWK
53,2017-07,78.25,81.92,77.36,81.1,11848571,AWK
54,2017-08,80.65,82.38,79.77,80.9,17201653,AWK
55,2017-09,81.07,83.14,79.94,80.91,18129206,AWK
56,2017-10,81.18,88.2,80.89,87.76,18496747,AWK
57,2017-11,88.0,91.78,87.04,91.56,18164806,AWK
58,2017-12,91.71,92.37,88.82,91.49,17950495,AWK
59,2018-01,91.0,91.48,80.57,83.17,27970118,AWK
60,2018-02,83.28,83.505,76.79,77.96,7758475,AWK
