,date,open,high,low,close,volume,Name
0,2013-02,45.07,45.35,40.19,41.48,59245982,A
1,2013-03,41.18,43.52,40.73,41.97,66380607,A
2,2013-04,41.83,44.785,40.32,41.44,83068995,A
3,2013-05,41.42,47.473,41.236000000000004,45.45,93213679,A
4,2013-06,45.65,46.45,41.85,42.76,68548430,A
5,2013-07,43.05,46.9,42.72,44.73,52863018,A
6,2013-08,45.51,48.33,45.32,46.64,50122386,A
7,2013-09,47.04,53.47,46.615,51.25,65147629,A
8,2013-10,50.7,53.24,49.39,50.76,51469765,A
9,2013-11,50.92,55.74,49.84,53.57,52314595,A
10,2013-12,53.47,57.94,52.56,57.19,42422291,A
11,2014-01,57.1,61.22,56.15,58.15,52581843,A
12,2014-02,58.15,60.46,54.87,56.93,71523971,A
13,2014-03,56.12,59.32,54.22,55.92,51123258,A
14,2014-04,56.2,57.24,51.96,54.04,42232408,A
15,2014-05,53.94,57.38,53.66,56.94,45811931,A
16,2014-06,56.96,59.58,56.3,57.44,30336688,A
17,2014-07,57.74,58.59,55.135,56.09,39499852,A
18,2014-08,56.19,59.06,54.18899999999999,57.16,38178910,A
19,2014-09,57.23,59.4,55.92,56.98,36205314,A
20,2014-10,56.85,57.16,49.8,55.28,60115136,A
21,2014-11,39.9,42.985,39.49,42.74,56373710,A
22,2014-12,42.69,42.73,38.09,40.94,48812443,A
23,2015-01,41.18,41.31,37.68,37.77,53095065,A
24,2015-02,37.9,42.49,37.71,42.21,52418856,A
25,2015-03,42.34,42.74,40.3703,41.55,44856435,A
26,2015-04,41.46,43.59,40.72,41.37,47259122,A
27,2015-05,41.41,42.93,40.82,41.19,44098857,A
28,2015-06,41.43,41.43,38.48,38.58,58978918,A
29,2015-07,38.89,41.14,38.61,40.95,54239332,A
30,2015-08,40.92,41.35,33.57,36.31,56318572,A
31,2015-09,35.3,36.99,33.245,34.33,47115218,A
32,2015-10,34.32,38.1,33.115,37.76,52998194,A
33,2015-11,37.87,42.2,36.5,41.82,74666988,A
34,2015-12,42.16,42.48,39.9,41.81,59286197,A
35,2016-01,41.06,41.19,36.01,37.65,50735187,A
36,2016-02,37.37,38.19,34.15,37.35,53438419,A
37,2016-03,37.63,40.58,37.61,39.85,37124031,A
38,2016-04,39.56,41.995,39.17,40.92,34715507,A
39,2016-05,41.2,46.0,40.39,45.89,53551644,A
40,2016-06,45.75,46.68,41.98,44.36,52014373,A
41,2016-07,44.36,48.175,43.36,48.11,34720042,A
42,2016-08,48.11,48.63,46.09,46.98,45192695,A
43,2016-09,47.03,47.39,44.47,47.09,38865627,A
44,2016-10,46.82,48.15,43.11,43.57,37265914,A
45,2016-11,43.73,47.8,43.14,43.98,53250890,A
46,2016-12,44.08,46.92,42.92,45.56,34087627,A
47,2017-01,45.93,49.48,45.74,48.97,45136618,A
48,2017-02,48.93,51.94,48.47,51.3,39157401,A
49,2017-03,51.62,54.82,50.86,52.87,40891229,A
50,2017-04,52.9,55.505,52.26,55.05,32353359,A
51,2017-05,55.5,60.81,55.36,60.34,50973625,A
52,2017-06,60.01,61.15,57.92,59.31,42771209,A
53,2017-07,59.59,61.84,59.07,59.79,32320948,A
54,2017-08,60.04,64.83,58.22,64.72,43423809,A
55,2017-09,64.9,66.45,63.72,64.2,28131523,A
56,2017-10,64.29,68.52,64.21,68.03,31268971,A
57,2017-11,68.2,70.93,66.25,69.24,41720285,A
58,2017-12,69.19,70.0,65.601,66.97,36036937,A
59,2018-01,67.42,75.0,67.34,73.43,38584288,A
60,2018-02,73.18,73.78,66.13,68.06,12934230,A
