,date,open,high,low,close,volume,Name
0,2013-02,11.86,12.42,10.98,11.23,2421983453,BAC
1,2013-03,11.13,12.94,11.02,12.18,3190407409,BAC
2,2013-04,12.15,12.54,11.23,12.31,2912845756,BAC
3,2013-05,12.2,13.99,12.05,13.66,2924231659,BAC
4,2013-06,13.69,13.73,12.13,12.86,2587926143,BAC
5,2013-07,12.95,15.03,12.73,14.6,2456900138,BAC
6,2013-08,14.845,14.97,13.98,14.12,1929767374,BAC
7,2013-09,14.3,14.83,13.6,13.8,1712328343,BAC
8,2013-10,13.85,14.72,13.68,13.97,2044261604,BAC
9,2013-11,13.995,15.98,13.8,15.82,2058222207,BAC
10,2013-12,15.84,15.97,15.06,15.57,1661614453,BAC
11,2014-01,15.69,17.42,15.68,16.75,2590853939,BAC
12,2014-02,16.77,16.92,16.13,16.53,2102732853,BAC
13,2014-03,16.3,18.03,16.19,17.2,2340314850,BAC
14,2014-04,17.28,17.4,14.86,15.14,2244966504,BAC
15,2014-05,15.14,15.31,14.3675,15.14,1462446516,BAC
16,2014-06,15.16,15.94,15.05,15.37,1256722141,BAC
17,2014-07,15.38,16.23,15.13,15.25,1500226772,BAC
18,2014-08,15.18,16.46,14.84,16.09,1444898808,BAC
19,2014-09,16.14,17.2,15.9,17.05,1790502906,BAC
20,2014-10,17.07,17.41,15.43,17.16,2208122973,BAC
21,2014-11,17.18,17.46,16.83,17.04,942120314,BAC
22,2014-12,16.92,18.21,16.59,17.89,1712447239,BAC
23,2015-01,17.99,18.03,14.97,15.15,2211366487,BAC
24,2015-02,15.27,16.79,15.12,15.81,1910757184,BAC
25,2015-03,15.79,16.62,15.26,15.39,1855236860,BAC
26,2015-04,15.42,16.05,15.25,15.93,1464221632,BAC
27,2015-05,16.0,16.85,15.92,16.5,1403264358,BAC
28,2015-06,16.58,17.72,16.47,17.02,1659992967,BAC
29,2015-07,17.25,18.48,16.22,17.88,1904433527,BAC
30,2015-08,17.91,18.07,14.6,16.34,2030490312,BAC
31,2015-09,15.95,16.48,15.25,15.58,1777912584,BAC
32,2015-10,15.52,17.44,14.63,16.78,1849379988,BAC
33,2015-11,16.9,18.09,16.87,17.43,1439390658,BAC
34,2015-12,17.52,17.89,16.495,16.83,1771447171,BAC
35,2016-01,16.45,16.59,12.94,14.14,2648604209,BAC
36,2016-02,14.05,14.09,10.99,12.52,3571160088,BAC
37,2016-03,12.64,14.03,12.62,13.52,2416192473,BAC
38,2016-04,13.47,15.3,12.75,14.56,2023974227,BAC
39,2016-05,14.58,15.15,13.8,14.8,1743387026,BAC
40,2016-06,14.6,14.98,12.05,13.27,2297583760,BAC
41,2016-07,13.19,14.7,12.45,14.49,1707288854,BAC
42,2016-08,14.52,16.24,14.09,16.14,1813474411,BAC
43,2016-09,16.15,16.15,14.81,15.65,1826077798,BAC
44,2016-10,15.59,17.1,15.5,16.5,1723132012,BAC
45,2016-11,16.56,21.19,16.28,21.12,3121776332,BAC
46,2016-12,21.42,23.39,21.02,22.1,2442311573,BAC
47,2017-01,22.6,23.55,22.01,22.64,1917326059,BAC
48,2017-02,22.97,24.95,22.45,24.68,1866619070,BAC
49,2017-03,25.37,25.8,22.16,23.59,2336536661,BAC
50,2017-04,23.65,24.35,22.26,23.34,1824428850,BAC
51,2017-05,23.52,24.31,22.09,22.41,1637471933,BAC
52,2017-06,22.48,24.67,22.07,24.26,1768824502,BAC
53,2017-07,24.46,25.11,23.61,24.12,1385076454,BAC
54,2017-08,25.01,25.35,23.12,23.89,1341973072,BAC
55,2017-09,23.9,25.64,22.75,25.34,1482368418,BAC
56,2017-10,25.46,27.98,25.12,27.39,1373414072,BAC
57,2017-11,27.64,28.72,25.81,28.17,1350610212,BAC
58,2017-12,28.25,30.03,27.5,29.52,1494582419,BAC
59,2018-01,29.75,32.45,29.61,32.0,1413714482,BAC
60,2018-02,32.0,32.67,29.15,31.25,582306542,BAC
