,date,open,high,low,close,volume,Name
0,2013-02,68.6,69.3,66.405,67.6,42304876,BAX
1,2013-03,67.41,72.74,67.21,72.64,55168942,BAX
2,2013-04,72.47,72.85,68.71,69.87,68926214,BAX
3,2013-05,69.55,73.95,67.51,70.33,99556569,BAX
4,2013-06,70.42,71.32,67.91,69.27,57069425,BAX
5,2013-07,69.64,74.6,69.04,73.04,51954726,BAX
6,2013-08,73.5,74.11,69.31,69.56,66193908,BAX
7,2013-09,70.26,72.85,65.51,65.69,63461602,BAX
8,2013-10,65.69,67.75,62.8,65.87,91174318,BAX
9,2013-11,66.02,69.31,64.78,68.45,70236499,BAX
10,2013-12,69.01,69.81,65.53,69.55,68852825,BAX
11,2014-01,69.54,70.74,67.31,68.3,71027398,BAX
12,2014-02,68.35,70.15,66.44,69.5,56604669,BAX
13,2014-03,68.91,75.68,66.34,73.58,94219719,BAX
14,2014-04,73.87,74.12,71.845,72.79,61881968,BAX
15,2014-05,72.85,75.88,72.85,74.41,55301578,BAX
16,2014-06,74.41,74.65,72.02,72.3,51316956,BAX
17,2014-07,72.63,77.31,72.63,74.69,51514423,BAX
18,2014-08,74.66,76.34,73.26,74.98,37881541,BAX
19,2014-09,74.95,75.36,71.19,71.77,49217071,BAX
20,2014-10,71.26,73.55,66.37,70.14,69773025,BAX
21,2014-11,70.13,73.2,68.17,73.0,59125111,BAX
22,2014-12,73.13,75.29,70.65,73.29,50581215,BAX
23,2015-01,73.61,74.03,70.04,70.31,63301368,BAX
24,2015-02,70.37,71.82,65.945,69.15,70432255,BAX
25,2015-03,69.12,70.03,66.76,68.5,76534895,BAX
26,2015-04,68.2,72.065,67.11,68.74,61670815,BAX
27,2015-05,68.91,70.12,66.17,66.61,74626582,BAX
28,2015-06,66.79,72.84,64.01,69.93,167751006,BAX
29,2015-07,37.55,40.15,36.4,40.08,254969626,BAX
30,2015-08,39.92,43.44,34.5,38.45,286822045,BAX
31,2015-09,37.67,37.99,32.215,32.85,113550643,BAX
32,2015-10,32.69,37.76,32.18,37.39,141313445,BAX
33,2015-11,37.51,38.79,37.22,37.65,79476441,BAX
34,2015-12,37.88,38.69,36.0775,38.15,79138177,BAX
35,2016-01,37.66,37.69,34.06,36.6,114903410,BAX
36,2016-02,36.37,40.56,35.54,39.51,117159726,BAX
37,2016-03,39.65,41.5,38.99,41.08,88187025,BAX
38,2016-04,40.72,44.78,40.52,44.22,162003869,BAX
39,2016-05,44.39,46.95,42.57,43.17,393058589,BAX
40,2016-06,43.0,45.96,42.22,45.22,106755020,BAX
41,2016-07,45.18,48.5,44.99,48.02,71306266,BAX
42,2016-08,48.06,49.485,46.52,46.73,75328190,BAX
43,2016-09,46.75,48.2634,44.69,47.6,96459221,BAX
44,2016-10,47.3,50.16,46.55,47.59,84236460,BAX
45,2016-11,47.65,49.29,43.24,44.37,95443754,BAX
46,2016-12,44.42,45.42,43.13,44.34,75687445,BAX
47,2017-01,44.38,48.08,44.06,47.91,56172833,BAX
48,2017-02,48.68,51.4,46.85,50.92,51571804,BAX
49,2017-03,51.27,52.33,50.35,51.86,65694548,BAX
50,2017-04,51.91,56.5,51.57,55.68,71715490,BAX
51,2017-05,55.73,59.78,55.34,59.31,56276718,BAX
52,2017-06,59.51,61.52,56.8249,60.54,71488061,BAX
53,2017-07,60.78,63.14,59.88,60.48,47737142,BAX
54,2017-08,59.76,62.21,58.81,62.04,52218986,BAX
55,2017-09,62.11,64.75,61.83,62.75,40619075,BAX
56,2017-10,62.92,65.7,60.78,64.47,52280671,BAX
57,2017-11,64.6,66.18,63.02,65.53,54371287,BAX
58,2017-12,65.44,66.0,63.21,64.64,49801923,BAX
59,2018-01,66.09,72.58,65.82,72.03,66432777,BAX
60,2018-02,69.58,70.76,63.86,65.55,23874999,BAX
