,date,open,high,low,close,volume,Name
0,2013-02,77.24,77.925,74.27,76.9,69562504,BA
1,2013-03,76.7,86.84,76.17,85.85,105400798,BA
2,2013-04,85.6,93.38,83.8,91.41,106389538,BA
3,2013-05,91.08,101.47,90.725,99.02,111626246,BA
4,2013-06,99.36,104.15,96.3085,102.44,99709143,BA
5,2013-07,102.93,109.49,98.99,105.1,152784347,BA
6,2013-08,105.99,107.95,101.77,103.92,79795961,BA
7,2013-09,105.13,120.38,104.62,117.5,89235422,BA
8,2013-10,117.97,131.88,113.34,130.5,102047719,BA
9,2013-11,130.9,142.0,130.58,134.25,88274970,BA
10,2013-12,134.99,138.88,130.55,136.49,78701115,BA
11,2014-01,136.01,144.571,123.08,125.26,114257677,BA
12,2014-02,124.24,130.9399,118.77,128.92,120103235,BA
13,2014-03,127.18,131.0,121.37,125.49,97837715,BA
14,2014-04,126.24,131.5,121.92,129.02,77987552,BA
15,2014-05,128.74,135.44,128.27,135.25,61528120,BA
16,2014-06,135.5,138.39,126.2,127.23,78789635,BA
17,2014-07,127.66,130.58,120.41,120.48,111865736,BA
18,2014-08,120.45,129.13,117.87,126.8,79310830,BA
19,2014-09,125.62,129.87,124.1,127.38,75417890,BA
20,2014-10,127.37,128.0,116.32,124.91,107497697,BA
21,2014-11,125.35,135.78,123.37,134.36,72423231,BA
22,2014-12,134.31,134.4,120.58,129.98,96871349,BA
23,2015-01,131.07,148.25,126.18,145.37,109100608,BA
24,2015-02,143.72,158.83,143.05,150.85,92535411,BA
25,2015-03,150.75,156.91,145.96,150.08,81607815,BA
26,2015-04,149.97,155.5,142.75,143.34,84509222,BA
27,2015-05,144.41,148.3,140.32,140.52,79306948,BA
28,2015-06,141.45,146.53,138.44,138.72,70463214,BA
29,2015-07,140.48,149.18,139.0,144.17,70138688,BA
30,2015-08,144.44,146.77,115.14,130.68,92844653,BA
31,2015-09,128.16,139.91,126.94,130.95,81291561,BA
32,2015-10,131.32,149.6,128.56,148.07,92149644,BA
33,2015-11,148.38,150.585,141.59,145.45,52894642,BA
34,2015-12,146.54,149.8,138.89,144.59,79702935,BA
35,2016-01,141.38,141.7,115.02,120.13,135869208,BA
36,2016-02,119.64,124.91,102.1,118.18,153197255,BA
37,2016-03,119.01,136.78,118.25,126.94,107857125,BA
38,2016-04,126.23,137.89,125.11,134.8,96194480,BA
39,2016-05,134.38,135.24,125.88,126.15,82271662,BA
40,2016-06,126.0,134.55,122.35,129.87,102755986,BA
41,2016-07,129.54,139.45,123.96,133.66,76151368,BA
42,2016-08,133.21,136.37,129.14,129.45,61480648,BA
43,2016-09,130.03,133.08,126.31,131.74,71570480,BA
44,2016-10,131.28,146.23,130.74,142.43,80981391,BA
45,2016-11,142.95,153.08,138.8038,150.56,73971585,BA
46,2016-12,150.74,160.07,150.02,155.68,63384651,BA
47,2017-01,156.3,170.0,155.21,163.42,73379013,BA
48,2017-02,164.25,181.93,160.82,180.23,67320490,BA
49,2017-03,181.85,185.71,173.75,176.86,71352379,BA
50,2017-04,177.08,184.93,175.5,184.83,52177735,BA
51,2017-05,184.23,188.26,175.47099999999998,187.63,66023675,BA
52,2017-06,187.41,204.39,184.53,197.75,64606778,BA
53,2017-07,198.07,246.49,197.75,242.46,75176288,BA
54,2017-08,243.38,243.99099999999999,230.94,239.66,84525056,BA
55,2017-09,239.66,259.3,234.29,254.21,76746175,BA
56,2017-10,254.65,267.21,253.5301,257.98,68196310,BA
57,2017-11,258.29,277.04,256.24,276.8,52751779,BA
58,2017-12,277.51,299.33,270.6,294.91,71520831,BA
59,2018-01,295.75,360.97,295.39599999999996,354.37,125945369,BA
60,2018-02,352.95,361.45,317.39,348.12,41946755,BA
