,date,open,high,low,close,volume,Name
0,2013-02,30.67,30.9,29.86,30.36,51284387,BBT
1,2013-03,30.21,31.81,30.01,31.39,87939728,BBT
2,2013-04,31.41,31.43,29.18,30.77,92364598,BBT
3,2013-05,30.68,33.69,30.1,32.92,86666861,BBT
4,2013-06,33.06,34.37,32.1,33.88,76797754,BBT
5,2013-07,34.08,36.16,33.83,35.69,73934919,BBT
6,2013-08,35.98,36.59,33.865,33.96,60457308,BBT
7,2013-09,34.41,35.58,33.3,33.75,72302859,BBT
8,2013-10,33.93,34.91,32.65,33.97,82318555,BBT
9,2013-11,33.95,35.11,32.82,34.74,67785439,BBT
10,2013-12,34.82,37.42,34.06,37.32,83844619,BBT
11,2014-01,37.18,39.34,36.7,37.41,103678232,BBT
12,2014-02,37.45,38.21,36.28,37.8,56997491,BBT
13,2014-03,37.19,41.04,37.12,40.17,88019117,BBT
14,2014-04,40.32,40.95,36.79,37.33,79745174,BBT
15,2014-05,37.35,38.99,36.38,37.92,60149290,BBT
16,2014-06,38.02,39.5,37.68,39.43,68591893,BBT
17,2014-07,39.49,40.21,36.78,37.02,83075157,BBT
18,2014-08,36.76,37.74,35.86,37.33,56803966,BBT
19,2014-09,37.48,39.095,37.05,37.21,64699110,BBT
20,2014-10,37.14,38.08,34.5,37.88,123490968,BBT
21,2014-11,37.94,38.54,37.09,37.59,66215006,BBT
22,2014-12,37.43,39.69,36.7,38.89,74966837,BBT
23,2015-01,39.02,39.195,34.95,35.29,92297851,BBT
24,2015-02,35.49,38.5571,35.24,38.05,72616456,BBT
25,2015-03,38.05,40.17,37.54,38.99,87660954,BBT
26,2015-04,38.77,39.495,37.33,38.29,72493533,BBT
27,2015-05,38.43,39.98,38.17,39.47,59820741,BBT
28,2015-06,39.56,41.7,39.0,40.31,87023473,BBT
29,2015-07,40.75,41.9,39.65,40.27,101849172,BBT
30,2015-08,40.31,41.39,34.76,36.92,118900561,BBT
31,2015-09,36.02,37.34,34.732,35.6,92140712,BBT
32,2015-10,35.69,38.2155,34.24,37.15,93909621,BBT
33,2015-11,37.34,39.47,37.2,38.62,80938714,BBT
34,2015-12,38.93,39.28,36.49,37.81,93956517,BBT
35,2016-01,36.92,37.03,30.99,32.66,119650234,BBT
36,2016-02,32.53,33.53,29.95,32.16,112149279,BBT
37,2016-03,32.49,34.94,32.32,33.27,103620993,BBT
38,2016-04,33.08,36.5,32.22,35.38,122638426,BBT
39,2016-05,35.4,36.63,33.01,36.37,92270116,BBT
40,2016-06,36.0,37.015,32.85,35.61,107360309,BBT
41,2016-07,35.47,37.32,33.72,36.87,77350127,BBT
42,2016-08,36.96,38.51,36.205,38.5,70863918,BBT
43,2016-09,38.6,38.81,36.8,37.72,102786648,BBT
44,2016-10,37.58,39.625,37.4,39.2,112219781,BBT
45,2016-11,39.3,45.31,38.2299,45.25,145276568,BBT
46,2016-12,45.34,47.85,45.04,47.02,88910483,BBT
47,2017-01,47.45,47.64,44.81,46.19,103584113,BBT
48,2017-02,46.55,48.53,45.41,48.22,79956704,BBT
49,2017-03,49.15,49.88,42.73,44.7,111674062,BBT
50,2017-04,44.8,45.17,42.29,43.18,83135649,BBT
51,2017-05,43.45,44.7,41.17,41.65,72747315,BBT
52,2017-06,41.88,46.5,41.455,45.41,89551815,BBT
53,2017-07,45.72,47.65,44.36,47.32,81451281,BBT
54,2017-08,48.31,48.9,45.5,46.09,90159190,BBT
55,2017-09,46.04,47.19,43.03,46.94,89655010,BBT
56,2017-10,46.96,49.52,44.62,49.24,79558470,BBT
57,2017-11,49.35,50.12,45.73,49.42,119738854,BBT
58,2017-12,49.55,51.11,48.21,49.72,85234758,BBT
59,2018-01,50.0,55.845,49.65,55.19,89707828,BBT
60,2018-02,55.03,55.99,51.09,53.82,26703921,BBT
