,date,open,high,low,close,volume,Name
0,2013-02,15.61,17.76,13.83,16.41,138047915,BBY
1,2013-03,17.38,23.46,16.12,22.15,300182013,BBY
2,2013-04,22.13,26.92,21.474,25.99,277547418,BBY
3,2013-05,25.69,28.26,24.98,27.55,149348351,BBY
4,2013-06,28.23,28.37,25.78,27.33,106263271,BBY
5,2013-07,27.9,30.36,27.72,30.09,100676953,BBY
6,2013-08,30.18,36.65,30.05,36.0,147999654,BBY
7,2013-09,36.44,39.28,36.44,37.5,98968094,BBY
8,2013-10,37.56,43.85,34.88,42.8,128038798,BBY
9,2013-11,43.37,44.66,37.91,40.55,143329611,BBY
10,2013-12,40.59,43.19,39.32,39.88,93791554,BBY
11,2014-01,39.75,41.0,22.15,23.54,353677464,BBY
12,2014-02,23.54,28.2,22.3,26.63,190891379,BBY
13,2014-03,26.4,27.2,24.7,26.41,132252149,BBY
14,2014-04,26.41,27.935,23.87,25.93,129105986,BBY
15,2014-05,26.13,28.25,24.57,27.66,121419359,BBY
16,2014-06,27.56,31.48,27.17,31.01,82752703,BBY
17,2014-07,31.15,32.24,29.24,29.73,84175899,BBY
18,2014-08,29.13,32.75,28.85,31.89,119631216,BBY
19,2014-09,32.03,35.53,31.0799,33.59,111805504,BBY
20,2014-10,33.34,35.5,28.8,34.14,120863391,BBY
21,2014-11,34.14,39.79,33.66,39.41,125595425,BBY
22,2014-12,38.87,40.03,35.17,38.98,123495896,BBY
23,2015-01,39.17,40.0,33.17,35.2,165439217,BBY
24,2015-02,35.14,39.47,34.1325,38.1,93050859,BBY
25,2015-03,38.2,42.0,37.75,37.79,115070581,BBY
26,2015-04,37.63,38.88,34.49,34.65,86238319,BBY
27,2015-05,34.76,37.18,33.73,34.7,111541851,BBY
28,2015-06,34.85,35.5,32.56,32.61,80231615,BBY
29,2015-07,32.95,35.34,31.68,32.29,81046528,BBY
30,2015-08,32.21,36.94,28.32,36.74,114790272,BBY
31,2015-09,35.94,39.095,35.19,37.12,100507880,BBY
32,2015-10,37.25,38.1195,34.07,35.03,72781083,BBY
33,2015-11,35.14,36.51,28.65,31.78,135487313,BBY
34,2015-12,31.83,31.89,28.88,30.45,95452879,BBY
35,2016-01,29.84,31.2,25.31,27.93,139990783,BBY
36,2016-02,27.84,32.83,26.1,32.39,119985033,BBY
37,2016-03,32.75,34.95,31.005,32.44,103045460,BBY
38,2016-04,32.17,33.66,29.81,32.08,71108150,BBY
39,2016-05,32.29,33.22,30.05,32.17,129635134,BBY
40,2016-06,32.17,32.68,28.76,30.6,108031704,BBY
41,2016-07,30.66,33.63,29.79,33.6,80407551,BBY
42,2016-08,33.41,40.58,32.02,38.48,169667599,BBY
43,2016-09,38.555,39.26,36.51,38.18,98261620,BBY
44,2016-10,38.15,40.21,37.62,38.91,83112435,BBY
45,2016-11,38.93,47.29,37.1,45.7,157436748,BBY
46,2016-12,45.55,49.4,42.34,42.67,105363355,BBY
47,2017-01,43.05,45.83,41.79,44.52,86954309,BBY
48,2017-02,44.58,46.45,43.27,44.13,80963441,BBY
49,2017-03,42.55,49.35,41.67,49.15,120828113,BBY
50,2017-04,48.96,52.67,47.68,51.81,69196760,BBY
51,2017-05,51.99,61.95,50.29,59.39,119777187,BBY
52,2017-06,59.36,60.35,54.65,57.33,85071769,BBY
53,2017-07,57.87,59.69,52.97,58.34,76990344,BBY
54,2017-08,59.88,63.32,53.45,54.26,116674762,BBY
55,2017-09,54.44,58.76,51.61,56.96,108594918,BBY
56,2017-10,57.11,59.46,54.02,55.98,69368629,BBY
57,2017-11,56.18,60.52,52.92,59.61,93722474,BBY
58,2017-12,59.75,68.98,58.82,68.47,73807085,BBY
59,2018-01,68.26,78.59,66.1133,73.06,70291665,BBY
60,2018-02,72.57,74.36,65.05,71.26,20467494,BBY
