,date,open,high,low,close,volume,Name
0,2013-02,87.96,89.16,86.38,88.06,16395880,BDX
1,2013-03,88.0,95.73,87.54,95.61,23179850,BDX
2,2013-04,95.65,97.14,93.06,94.3,23873274,BDX
3,2013-05,94.31,102.725,93.31,98.62,23000490,BDX
4,2013-06,98.96,100.66,94.25,98.83,18678006,BDX
5,2013-07,99.43,104.98,96.78,103.72,17968719,BDX
6,2013-08,104.0,104.0,96.95,97.38,19647810,BDX
7,2013-09,98.42,102.99,96.73,100.02,13330336,BDX
8,2013-10,100.11,106.99,98.3,105.13,13694460,BDX
9,2013-11,105.56,110.13,104.6,108.59,15130385,BDX
10,2013-12,108.76,110.94,104.94,110.49,16258996,BDX
11,2014-01,110.41,112.71,106.33,108.12,17758004,BDX
12,2014-02,108.32,116.3608,105.21,115.22,21044509,BDX
13,2014-03,114.68,117.26,113.14,117.08,16939854,BDX
14,2014-04,118.0,118.77,111.17,113.03,16892330,BDX
15,2014-05,112.93,118.53,111.07,117.7,16722698,BDX
16,2014-06,117.68,120.66,116.98,118.3,15212375,BDX
17,2014-07,118.8,120.41,115.94,116.24,13185695,BDX
18,2014-08,115.84,118.81,114.36,117.17,12811472,BDX
19,2014-09,117.3,117.83,112.15,113.81,19844819,BDX
20,2014-10,114.03,130.21,112.98,128.7,54293035,BDX
21,2014-11,128.54,142.3299,125.35,140.33,22459930,BDX
22,2014-12,140.03,142.56,134.0,139.16,24200174,BDX
23,2015-01,140.27,146.74,138.01,138.08,25310663,BDX
24,2015-02,137.51,149.14,136.02,146.72,22787000,BDX
25,2015-03,146.93,149.98,140.17,143.59,30957764,BDX
26,2015-04,143.63,146.09,139.8,140.87,21871378,BDX
27,2015-05,141.05,144.75,138.115,140.51,20751727,BDX
28,2015-06,141.4,143.84,137.704,141.65,23486022,BDX
29,2015-07,143.06,152.88,140.77,152.15,20196690,BDX
30,2015-08,151.79,154.98,133.5,141.02,28188537,BDX
31,2015-09,138.5,141.33,128.87,132.66,25042767,BDX
32,2015-10,132.49,143.99,130.2,142.52,19127723,BDX
33,2015-11,143.47,153.25,143.06,150.25,18365664,BDX
34,2015-12,151.1,157.5,149.355,154.09,23650101,BDX
35,2016-01,150.62,151.45,137.69,145.37,26072585,BDX
36,2016-02,144.11,150.17,129.5,147.45,26324515,BDX
37,2016-03,148.6,152.8199,145.78,151.82,22142367,BDX
38,2016-04,151.24,162.98,150.71,161.26,18153064,BDX
39,2016-05,160.67,169.08,157.6,166.45,23048880,BDX
40,2016-06,165.96,172.2,162.39,169.59,19515565,BDX
41,2016-07,169.59,177.5,169.21,176.0,14920011,BDX
42,2016-08,174.99,178.79,166.35,177.21,20107987,BDX
43,2016-09,177.71,181.755,170.26,179.73,15765922,BDX
44,2016-10,178.67,180.03,166.58,167.91,18975933,BDX
45,2016-11,167.64,179.83,162.44,169.1,30682333,BDX
46,2016-12,168.71,171.935,161.29,165.55,20113215,BDX
47,2017-01,161.95,177.54,161.5,177.29,22323628,BDX
48,2017-02,175.88,183.88,174.35,183.05,16215803,BDX
49,2017-03,183.66,186.11,180.1,183.44,20533541,BDX
50,2017-04,184.0,187.2,175.66,186.97,31303661,BDX
51,2017-05,186.38,190.71,177.64,189.23,59045791,BDX
52,2017-06,188.37,196.59,187.27,195.11,31272989,BDX
53,2017-07,195.79,206.63,194.22,201.4,22498771,BDX
54,2017-08,199.77,202.895,192.34,199.44,27078796,BDX
55,2017-09,199.44,204.86,191.53,195.95,23086398,BDX
56,2017-10,196.91,214.72,193.05,208.67,25758279,BDX
57,2017-11,207.53,228.8,203.99,228.21,26589998,BDX
58,2017-12,228.27,229.685,213.95,214.06,25017666,BDX
59,2018-01,215.09,248.3888,215.09,242.94,31719471,BDX
60,2018-02,241.08,243.51,215.0,221.92,9975055,BDX
