,date,open,high,low,close,volume,Name
0,2013-02,32.595,33.5425,31.92,32.81,12384224,BF.B
1,2013-03,32.8,35.73,32.64,35.7,11726658,BF.B
2,2013-04,35.675,35.995,34.52,35.25,11187606,BF.B
3,2013-05,35.245,37.145,34.41,34.41,11258074,BF.B
4,2013-06,34.275,35.575,33.22,33.775,13217056,BF.B
5,2013-07,33.845,36.855,33.42,36.255,13701920,BF.B
6,2013-08,36.62,36.865,33.415,33.495,13352060,BF.B
7,2013-09,33.7,36.265,33.205,34.065,16233030,BF.B
8,2013-10,34.14,37.48,33.625,36.49,16556960,BF.B
9,2013-11,36.44,38.22,36.055,37.51,8753118,BF.B
10,2013-12,37.5,38.365,36.25,37.785,13425910,BF.B
11,2014-01,37.775,40.38,36.72,38.5,23873970,BF.B
12,2014-02,38.435,42.345,37.77,41.9,17611336,BF.B
13,2014-03,41.74,45.575,41.315,44.845,21064146,BF.B
14,2014-04,45.135,45.5125,42.73,44.86,21885388,BF.B
15,2014-05,44.76,46.4,44.485,46.335,12863114,BF.B
16,2014-06,46.715,48.575,46.045,47.085,16038494,BF.B
17,2014-07,47.24,47.83,43.24,43.325,14834702,BF.B
18,2014-08,43.73,46.81,43.7238,46.33,16784450,BF.B
19,2014-09,46.28,46.745,44.445,45.11,14436810,BF.B
20,2014-10,45.115,46.335,40.945,46.335,21881234,BF.B
21,2014-11,46.23,48.655,46.17,48.525,13570692,BF.B
22,2014-12,48.98,48.985,42.715,43.92,28200988,BF.B
23,2015-01,43.98,46.915,43.475,44.435,21219418,BF.B
24,2015-02,44.495,46.41,44.135,45.845,13875982,BF.B
25,2015-03,46.03,46.2,43.355,45.175,24019214,BF.B
26,2015-04,44.87,46.995,44.34,45.115,18682868,BF.B
27,2015-05,45.13,47.895,45.025,47.135,16882384,BF.B
28,2015-06,47.135,51.205,46.56,50.09,26972348,BF.B
29,2015-07,50.56,54.26,49.75,54.205,20576330,BF.B
30,2015-08,54.25,55.53,47.3,49.05,31916868,BF.B
31,2015-09,48.2,50.395,47.36,48.45,59532232,BF.B
32,2015-10,48.5,54.56,48.33,53.09,26924810,BF.B
33,2015-11,53.155,53.77,51.15,51.27,17576400,BF.B
34,2015-12,51.285,52.515,49.38,49.64,28286606,BF.B
35,2016-01,48.76,48.955,45.01,48.92,27656746,BF.B
36,2016-02,48.51,51.71,46.79,49.235,30136750,BF.B
37,2016-03,49.83,49.89,46.09,49.235,32236994,BF.B
38,2016-04,49.0,49.895,46.345,48.16,28325700,BF.B
39,2016-05,48.355,49.65,47.25,49.035,21492020,BF.B
40,2016-06,48.975,50.68,46.37,49.88,34234720,BF.B
41,2016-07,50.065,50.315,47.915,49.095,17132796,BF.B
42,2016-08,49.15,51.55,47.69,48.55,22645241,BF.B
43,2016-09,48.55,48.628,45.12,47.44,30047201,BF.B
44,2016-10,47.35,47.53,44.31,46.17,21896925,BF.B
45,2016-11,46.16,47.2,44.4,45.35,19695158,BF.B
46,2016-12,45.43,46.61,43.82,44.92,21619666,BF.B
47,2017-01,45.16,46.34,43.72,45.6,16208561,BF.B
48,2017-02,45.36,49.29,44.745,48.76,13971989,BF.B
49,2017-03,48.86,49.04,46.08,46.18,24191850,BF.B
50,2017-04,46.23,47.48,45.415,47.32,13338316,BF.B
51,2017-05,47.3,59.71,47.05,51.95,34766620,BF.B
52,2017-06,51.99,53.21,48.205,48.6,21649880,BF.B
53,2017-07,48.78,50.79,47.135,49.4,15689141,BF.B
54,2017-08,49.32,53.77,47.56,53.04,23315070,BF.B
55,2017-09,53.26,55.13,52.96,54.3,20201882,BF.B
56,2017-10,54.11,57.13,53.49,57.02,14670953,BF.B
57,2017-11,57.34,59.95,54.84,59.8,13413939,BF.B
58,2017-12,60.0,69.15,59.43,68.67,17106458,BF.B
59,2018-01,68.97,69.9028,65.9,69.3,17883873,BF.B
60,2018-02,69.01,69.45,62.8237,65.08,4576291,BF.B
