,date,open,high,low,close,volume,Name
0,2013-02,163.57,169.07,160.4201,166.34,17216247,BIIB
1,2013-03,165.3,192.92,164.45,192.618,28575434,BIIB
2,2013-04,193.66,226.18,191.8,218.93,32445442,BIIB
3,2013-05,215.39,242.64,208.5001,237.49,27266070,BIIB
4,2013-06,234.15,234.7,194.66,215.2,38129034,BIIB
5,2013-07,220.25,234.74,214.2101,218.13,28312235,BIIB
6,2013-08,218.82,229.0,203.55,213.02,22010047,BIIB
7,2013-09,216.0,248.95,213.05,240.76,22590555,BIIB
8,2013-10,242.85,262.0,221.07,244.19,26411424,BIIB
9,2013-11,245.57,297.98,230.25,290.97,27464208,BIIB
10,2013-12,291.71,298.82,270.27,279.572,23685319,BIIB
11,2014-01,279.44,321.25,270.62,312.64,31070220,BIIB
12,2014-02,314.84,353.47,294.02,340.68,27921911,BIIB
13,2014-03,340.68,358.89,292.67,305.87,40196143,BIIB
14,2014-04,308.42,317.0,272.02,287.12,41961914,BIIB
15,2014-05,287.11,322.25,278.1,319.37,25223322,BIIB
16,2014-06,318.93,322.046,302.01,315.31,20484159,BIIB
17,2014-07,317.03,349.0,298.31,334.39,28991257,BIIB
18,2014-08,332.93,348.49,317.0,343.04,20937862,BIIB
19,2014-09,345.47,347.7892,315.71,330.81,22178541,BIIB
20,2014-10,330.97,331.15,290.85,321.08,39396618,BIIB
21,2014-11,320.78,330.37,297.83,307.69,26192572,BIIB
22,2014-12,306.43,361.93,306.11,339.45,44148304,BIIB
23,2015-01,342.84,397.0,334.4,389.16,39435036,BIIB
24,2015-02,389.03,412.02,381.36,409.59,26304125,BIIB
25,2015-03,410.67,480.18,406.02,422.24,52479616,BIIB
26,2015-04,423.2,432.88,368.88,373.93,45443168,BIIB
27,2015-05,377.52,404.0,377.52,396.99,26969685,BIIB
28,2015-06,398.87,420.99,378.0,403.94,28667015,BIIB
29,2015-07,408.32,412.24,299.76,318.78,67089367,BIIB
30,2015-08,320.33,338.51,265.0,297.3,55783842,BIIB
31,2015-09,292.22,330.54,267.0,291.81,56792739,BIIB
32,2015-10,291.99,299.41,254.0,290.51,82782974,BIIB
33,2015-11,294.52,304.37,278.28,286.86,37007313,BIIB
34,2015-12,289.3,311.65,274.23,306.35,33039597,BIIB
35,2016-01,300.34,301.025,257.66,273.06,44372855,BIIB
36,2016-02,270.34,279.375,242.07,259.42,38095028,BIIB
37,2016-03,261.37,274.57,242.25,260.32,36344396,BIIB
38,2016-04,258.83,286.32,257.5,274.99,39321444,BIIB
39,2016-05,274.74,291.63,256.42,289.73,28359514,BIIB
40,2016-06,287.97,292.69,223.0211,241.82,53170169,BIIB
41,2016-07,242.57,290.92,240.07,289.93,37016105,BIIB
42,2016-08,300.0,333.65,297.66,305.63,43386896,BIIB
43,2016-09,307.96,318.88,293.835,313.03,30254827,BIIB
44,2016-10,313.0,313.9999,279.23,280.18,29027068,BIIB
45,2016-11,280.03,329.83,268.0,294.07,37951353,BIIB
46,2016-12,296.32,306.98,272.96,283.58,41473354,BIIB
47,2017-01,285.82,301.42,271.43,277.24,33795743,BIIB
48,2017-02,278.98,293.98,260.5,288.6,33018081,BIIB
49,2017-03,290.07,298.0,267.74,273.42,39708436,BIIB
50,2017-04,274.08,291.9,267.1,271.21,28710608,BIIB
51,2017-05,271.35,273.81,244.28,247.77,31710724,BIIB
52,2017-06,250.03,284.465,248.61,271.36,38873570,BIIB
53,2017-07,272.62,296.95,269.5,289.59,27039411,BIIB
54,2017-08,290.8,316.85,280.6,316.56,26006604,BIIB
55,2017-09,317.16,330.0,303.0,313.12,25636331,BIIB
56,2017-10,315.19,348.84,301.81,311.66,35228815,BIIB
57,2017-11,312.75,323.69,306.11,322.17,22216136,BIIB
58,2017-12,320.7,335.8,311.75,318.57,21077165,BIIB
59,2018-01,321.15,370.57,318.33,347.81,27677922,BIIB
60,2018-02,348.18,352.38,321.11,326.89,7014671,BIIB
