,date,open,high,low,close,volume,Name
0,2013-02,27.8,28.45,26.67,27.14,77150512,BK
1,2013-03,26.99,29.125,26.74,27.99,102971501,BK
2,2013-04,27.91,29.02,26.635,28.22,126603565,BK
3,2013-05,28.13,30.85,27.62,30.06,124808026,BK
4,2013-06,30.16,30.49,27.54,28.05,129560611,BK
5,2013-07,28.22,32.36,28.01,31.45,127678294,BK
6,2013-08,31.83,32.25,29.52,29.74,84551977,BK
7,2013-09,30.13,31.91,29.82,30.19,83370001,BK
8,2013-10,30.29,32.231,29.55,31.8,118222712,BK
9,2013-11,31.93,34.255,31.9,33.7,90555466,BK
10,2013-12,33.79,34.99,32.745,34.94,76657415,BK
11,2014-01,34.3,35.66,31.66,31.96,124922610,BK
12,2014-02,31.89,32.27,30.82,32.0,93628658,BK
13,2014-03,31.64,35.88,31.4,35.29,151914230,BK
14,2014-04,35.81,35.86,32.66,33.87,112875962,BK
15,2014-05,33.92,34.95,33.27,34.56,91923106,BK
16,2014-06,34.56,37.95,34.273,37.48,105478836,BK
17,2014-07,37.85,40.055,37.121,39.04,139795445,BK
18,2014-08,38.9,39.69,37.9,39.18,109016182,BK
19,2014-09,39.3,40.8,37.46,38.73,116850655,BK
20,2014-10,38.7,39.83,35.06,38.72,126961324,BK
21,2014-11,38.76,40.4,38.31,40.03,71602806,BK
22,2014-12,39.95,41.79,39.29,40.57,97861441,BK
23,2015-01,40.75,40.78,35.63,36.0,122922187,BK
24,2015-02,36.12,40.03,36.03,39.14,112209067,BK
25,2015-03,39.2,41.445,38.88,40.24,138644794,BK
26,2015-04,40.22,43.11,39.87,42.34,95573459,BK
27,2015-05,42.61,44.095,42.2,43.36,111035767,BK
28,2015-06,43.49,44.03,41.75,41.97,147966061,BK
29,2015-07,42.54,44.99,40.525,43.4,113301372,BK
30,2015-08,43.41,45.45,36.46,39.8,144886083,BK
31,2015-09,38.81,41.12,37.87,39.15,126790398,BK
32,2015-10,39.1,43.17,37.48,41.65,128102520,BK
33,2015-11,41.87,44.73,41.65,43.84,101105141,BK
34,2015-12,44.05,44.27,40.02,41.22,154552129,BK
35,2016-01,40.29,40.29,34.24,36.22,153928456,BK
36,2016-02,35.86,36.4,32.2,35.39,143463049,BK
37,2016-03,35.61,38.56,35.59,36.83,128684601,BK
38,2016-04,36.66,41.6,35.44,40.24,124809345,BK
39,2016-05,40.28,42.56,38.98,42.06,106183371,BK
40,2016-06,41.68,42.61,35.72,38.85,129027287,BK
41,2016-07,38.6,40.67,36.5,39.4,107715041,BK
42,2016-08,39.55,41.99,38.53,41.67,78740001,BK
43,2016-09,41.8,42.02,38.78,39.88,117176712,BK
44,2016-10,39.78,43.88,38.68,43.27,127475984,BK
45,2016-11,43.45,47.96,42.73,47.42,143678267,BK
46,2016-12,47.67,49.54,46.97,47.38,122067324,BK
47,2017-01,48.03,48.96,43.85,44.73,133006132,BK
48,2017-02,45.07,47.635,44.5,47.14,88680873,BK
49,2017-03,47.98,48.785,45.12,47.23,109665741,BK
50,2017-04,47.23,48.07,45.885,47.06,89044161,BK
51,2017-05,47.25,47.925,46.055,47.12,106211515,BK
52,2017-06,47.21,51.59,46.77,51.02,99075243,BK
53,2017-07,51.31,54.5899,51.14,53.03,86308348,BK
54,2017-08,53.94,54.285,51.41,52.28,90792462,BK
55,2017-09,52.45,53.315,50.15,53.02,71544461,BK
56,2017-10,52.91,55.29,51.37,51.45,84288252,BK
57,2017-11,51.67,55.28,50.53,54.74,97763327,BK
58,2017-12,54.92,55.4,53.675,53.86,83164249,BK
59,2018-01,54.27,58.99,53.66,56.7,96512126,BK
60,2018-02,56.68,57.775,52.68,55.34,31584004,BK
