,date,open,high,low,close,volume,Name
0,2013-02,22.635,23.035,21.63,22.205,26130136,BLL
1,2013-03,22.17,23.815,21.84,23.79,33352268,BLL
2,2013-04,23.74,24.25,21.86,22.06,44796612,BLL
3,2013-05,22.065,23.3,21.575,21.58,58536452,BLL
4,2013-06,21.565,21.945,20.76,20.77,42148036,BLL
5,2013-07,20.85,22.935,20.805,22.395,37946990,BLL
6,2013-08,22.52,23.245,21.975,22.21,42577426,BLL
7,2013-09,22.475,23.4,21.97,22.44,31247944,BLL
8,2013-10,22.44,24.595,22.145,24.445,47881884,BLL
9,2013-11,24.465,25.355,24.295,24.99,32735144,BLL
10,2013-12,25.005,25.985,24.63,25.83,29950684,BLL
11,2014-01,25.625,26.37,23.875,25.595,38508846,BLL
12,2014-02,25.65,27.92,25.11,27.78,46599348,BLL
13,2014-03,27.47,28.165,26.45,27.405,40420194,BLL
14,2014-04,27.485,28.46,26.8051,28.095,37727762,BLL
15,2014-05,28.46,30.62,27.759,30.18,51614728,BLL
16,2014-06,30.31,31.565,29.915,31.34,34256712,BLL
17,2014-07,31.43,32.455,30.365,30.63,34719526,BLL
18,2014-08,30.935,32.195,30.521,32.05,29164938,BLL
19,2014-09,32.375,33.265,31.425,31.635,35965456,BLL
20,2014-10,31.535,34.1075,30.88,32.215,61462042,BLL
21,2014-11,32.115,33.8,31.565,33.535,38842620,BLL
22,2014-12,33.525,35.2475,32.27,34.085,40378362,BLL
23,2015-01,34.3,34.51,31.3525,31.665,31278628,BLL
24,2015-02,31.93,38.6,31.42,35.855,76518796,BLL
25,2015-03,35.945,36.34,34.29,35.32,44632532,BLL
26,2015-04,35.4,37.46,34.905,36.705,43958894,BLL
27,2015-05,36.795,37.62,35.405,35.495,49044932,BLL
28,2015-06,35.58,36.54,34.8825,35.075,42971788,BLL
29,2015-07,35.51,36.14,33.1075,33.92,38882126,BLL
30,2015-08,33.665,36.68,28.975,32.955,48440166,BLL
31,2015-09,32.245,34.115,30.15,31.1,45419062,BLL
32,2015-10,31.205,34.675,31.015,34.25,44181766,BLL
33,2015-11,34.275,35.245,32.46,34.71,34377350,BLL
34,2015-12,34.71,37.12,33.255,36.365,60777192,BLL
35,2016-01,35.805,36.5,31.495,33.415,69429200,BLL
36,2016-02,33.225,34.07,31.15,33.115,55577472,BLL
37,2016-03,33.445,35.99,33.13,35.645,56286818,BLL
38,2016-04,35.54,38.345,34.62,35.69,64990614,BLL
39,2016-05,35.685,36.68,35.225,36.15,48740242,BLL
40,2016-06,35.825,37.5,33.756,36.145,101739380,BLL
41,2016-07,36.315,36.625,34.34,35.335,102341328,BLL
42,2016-08,35.47,40.625,34.885,39.595,77699380,BLL
43,2016-09,39.695,41.12,38.33,40.975,60735744,BLL
44,2016-10,40.775,41.065,38.215,38.535,42596022,BLL
45,2016-11,38.615,39.83,37.3,37.53,61580724,BLL
46,2016-12,37.55,39.105,36.215,37.535,52058714,BLL
47,2017-01,37.855,38.675,37.215,38.13,37564048,BLL
48,2017-02,38.27,38.55,36.065,36.765,61874306,BLL
49,2017-03,37.11,37.8,36.0,37.13,57871270,BLL
50,2017-04,37.14,38.765,35.645,38.445,52026928,BLL
51,2017-05,38.53,41.05,38.05,40.9,56355443,BLL
52,2017-06,40.97,42.73,40.06,42.21,50038846,BLL
53,2017-07,42.44,43.06,41.5,41.9,35838429,BLL
54,2017-08,40.57,42.09,38.79,39.99,53623904,BLL
55,2017-09,40.21,41.49,39.54,41.3,41227430,BLL
56,2017-10,41.35,43.12,40.99,42.93,40070965,BLL
57,2017-11,43.2,43.24,39.36,39.91,58266879,BLL
58,2017-12,39.98,41.17,37.36,37.85,65191846,BLL
59,2018-01,38.12,39.94,37.4,38.28,70267198,BLL
60,2018-02,38.12,40.5,35.6,39.33,21843138,BLL
