,date,open,high,low,close,volume,Name
0,2013-02,97.25,102.33,96.73,102.16,62540600,BRK.B
1,2013-03,101.45,104.48,100.44,104.2,74033200,BRK.B
2,2013-04,104.17,108.04,102.69,106.32,80169100,BRK.B
3,2013-05,105.97,115.0,105.97,114.07,94406100,BRK.B
4,2013-06,114.76,115.98,109.53,111.92,85956400,BRK.B
5,2013-07,112.51,119.3,111.58,115.87,69327000,BRK.B
6,2013-08,116.98,119.14,110.72,111.22,65857600,BRK.B
7,2013-09,112.32,117.97,110.72,113.51,76045100,BRK.B
8,2013-10,113.74,117.7,110.84,115.09,78695800,BRK.B
9,2013-11,115.28,117.33,113.5,116.53,64369900,BRK.B
10,2013-12,116.5,118.66,113.5,118.56,71609900,BRK.B
11,2014-01,118.34,118.5,110.85,111.6,85991500,BRK.B
12,2014-02,112.11,116.0,108.12,115.78,74687000,BRK.B
13,2014-03,116.15,125.91,114.88,124.97,90071300,BRK.B
14,2014-04,125.07,129.2,121.09,128.85,74374200,BRK.B
15,2014-05,128.81,129.73,124.06,128.34,58347800,BRK.B
16,2014-06,128.28,128.75,125.44,126.56,56746300,BRK.B
17,2014-07,126.72,129.39,125.37,125.43,52785500,BRK.B
18,2014-08,125.0,137.25,122.72,137.25,63595000,BRK.B
19,2014-09,138.03,142.45,136.68,138.14,69754800,BRK.B
20,2014-10,138.37,141.52,132.03,140.16,101163600,BRK.B
21,2014-11,140.88,149.49,139.55,148.69,55474200,BRK.B
22,2014-12,148.61,152.94,144.75,150.15,93409500,BRK.B
23,2015-01,151.5,151.69,143.89,143.91,85904000,BRK.B
24,2015-02,144.13,151.63,143.3,147.41,64045300,BRK.B
25,2015-03,147.71,147.98,142.5,144.32,78754700,BRK.B
26,2015-04,144.34,144.63,140.33,141.21,61750636,BRK.B
27,2015-05,142.0,148.57,141.79,143.0,59088281,BRK.B
28,2015-06,143.26,144.07,136.08,136.11,72415056,BRK.B
29,2015-07,137.7,144.69,136.04,142.74,66031062,BRK.B
30,2015-08,143.11,143.99,125.5,134.04,99658353,BRK.B
31,2015-09,131.79,134.66,127.67,130.4,100652592,BRK.B
32,2015-10,130.55,138.5,127.46,136.02,70205477,BRK.B
33,2015-11,136.77,138.62,131.47,134.09,60933768,BRK.B
34,2015-12,134.86,136.74,129.53,132.04,88187562,BRK.B
35,2016-01,130.16,131.76,123.9,129.77,103400129,BRK.B
36,2016-02,128.94,135.11,123.55,134.17,96038859,BRK.B
37,2016-03,135.11,143.4,134.32,141.88,85836181,BRK.B
38,2016-04,141.21,148.03,140.27,145.48,61191008,BRK.B
39,2016-05,145.77,147.1399,139.68,140.54,64495544,BRK.B
40,2016-06,140.97,146.0,136.65,144.79,89981267,BRK.B
41,2016-07,144.59,146.99,140.95,144.27,61225460,BRK.B
42,2016-08,144.62,150.9,142.915,150.49,62483778,BRK.B
43,2016-09,150.7,151.05,143.36,144.47,79255627,BRK.B
44,2016-10,144.27,145.71,141.92,144.3,58780250,BRK.B
45,2016-11,144.68,159.09,142.3476,157.44,88389298,BRK.B
46,2016-12,157.58,167.25,157.51,162.98,82825267,BRK.B
47,2017-01,164.34,165.2999,158.61,164.14,68222098,BRK.B
48,2017-02,164.75,172.2,162.15,171.42,65293570,BRK.B
49,2017-03,173.7,177.86,165.8,166.68,91098422,BRK.B
50,2017-04,166.72,168.95,162.28,165.21,71144149,BRK.B
51,2017-05,165.8,168.04,160.93,165.28,77058828,BRK.B
52,2017-06,165.8,171.95,164.75,169.37,74744501,BRK.B
53,2017-07,170.4,175.6,168.0,174.97,56309373,BRK.B
54,2017-08,175.93,181.87,174.81,181.16,68414024,BRK.B
55,2017-09,181.6,184.0,172.61,183.32,69479008,BRK.B
56,2017-10,183.45,190.68,182.9301,186.94,58158885,BRK.B
57,2017-11,188.1,193.81,180.44,193.01,67265105,BRK.B
58,2017-12,193.59,200.5,189.72,198.22,78499775,BRK.B
59,2018-01,198.87,217.62,195.96,214.38,86828859,BRK.B
60,2018-02,214.49,217.5,190.18,200.37,37756967,BRK.B
