,date,open,high,low,close,volume,Name
0,2013-02,104.28,107.84,103.0,103.88,13967820,BXP
1,2013-03,103.57,105.9,99.85,101.06,21747899,BXP
2,2013-04,100.86,110.9,100.0,109.43,27286200,BXP
3,2013-05,108.88,115.85,106.55,106.58,25807373,BXP
4,2013-06,106.88,113.19,99.59,105.47,25258315,BXP
5,2013-07,106.27,111.82,103.15,106.95,18060414,BXP
6,2013-08,106.92,107.46,98.21,102.5,19611859,BXP
7,2013-09,103.1,112.93,100.79,106.9,18198759,BXP
8,2013-10,107.06,109.8299,102.88,103.5,21287093,BXP
9,2013-11,103.96,104.99,98.71,99.49,15043251,BXP
10,2013-12,99.85,105.22,98.04,100.37,19235171,BXP
11,2014-01,100.22,108.63,99.55,108.09,18358116,BXP
12,2014-02,107.93,112.96,105.82,112.43,14295584,BXP
13,2014-03,111.98,115.2,109.94,114.53,16505200,BXP
14,2014-04,114.58,118.98,113.82,117.14,17603786,BXP
15,2014-05,117.33,121.05,116.47,120.68,14545057,BXP
16,2014-06,120.47,122.4,113.62,118.18,17390380,BXP
17,2014-07,118.35,122.0,116.97,119.45,13471707,BXP
18,2014-08,118.82,124.04,117.76,121.42,10456677,BXP
19,2014-09,121.27,123.33,112.75,115.76,15984628,BXP
20,2014-10,115.44,129.61,115.06,126.75,21687058,BXP
21,2014-11,127.07,131.15,126.04,129.64,17529378,BXP
22,2014-12,129.48,137.15,128.35,128.69,18910513,BXP
23,2015-01,129.34,146.07,129.29,138.8,16779680,BXP
24,2015-02,139.45,143.93,135.57,137.41,16141341,BXP
25,2015-03,137.74,145.9,133.64,140.48,18069065,BXP
26,2015-04,140.48,143.09,131.465,132.31,13230841,BXP
27,2015-05,132.9,135.49,128.38,130.03,14744328,BXP
28,2015-06,130.08,131.86,120.44,121.04,18632416,BXP
29,2015-07,118.12,127.15,117.9,123.28,16796186,BXP
30,2015-08,123.32,124.85,94.91,113.38,20389171,BXP
31,2015-09,112.0,121.75,109.13,118.4,18170178,BXP
32,2015-10,118.97,126.87,116.64,125.85,19614102,BXP
33,2015-11,125.79,129.9,121.43,124.99,13321358,BXP
34,2015-12,125.87,130.68,121.12,127.54,16568938,BXP
35,2016-01,125.28,127.71,113.84,116.21,16925137,BXP
36,2016-02,115.42,118.64,107.28,114.14,19392625,BXP
37,2016-03,115.0,127.77,114.29,127.08,16820623,BXP
38,2016-04,126.72,131.58,125.51,128.86,12067056,BXP
39,2016-05,129.56,133.59,123.45,125.63,16822411,BXP
40,2016-06,125.2,131.99,124.905,131.9,18378613,BXP
41,2016-07,132.09,142.63,129.49,142.13,12335043,BXP
42,2016-08,142.13,144.02,138.07,140.13,13686527,BXP
43,2016-09,140.28,143.65,132.83,136.29,15209715,BXP
44,2016-10,135.42,135.47,118.41,120.48,17306301,BXP
45,2016-11,120.28,127.44,113.69,123.88,24015705,BXP
46,2016-12,123.17,130.66,121.175,125.78,16585712,BXP
47,2017-01,127.7,132.61,125.99,130.9,15618257,BXP
48,2017-02,131.25,140.13,129.09,139.03,15115521,BXP
49,2017-03,138.95,139.35,129.33,132.41,18211541,BXP
50,2017-04,132.5,137.35,125.56,126.6,13525965,BXP
51,2017-05,126.85,127.35,119.54,121.32,15484459,BXP
52,2017-06,120.92,128.04,120.22,123.02,13750556,BXP
53,2017-07,123.6,125.09,116.77,120.91,12093442,BXP
54,2017-08,123.7,125.0,118.22,120.6,14961508,BXP
55,2017-09,120.93,124.12,119.34,122.88,11727786,BXP
56,2017-10,122.93,128.99,119.92,121.18,13357454,BXP
57,2017-11,121.24,126.65,119.74,125.38,11541112,BXP
58,2017-12,125.93,132.0,123.29,130.03,18218462,BXP
59,2018-01,130.39,130.39,119.36,123.71,18876752,BXP
60,2018-02,123.59,123.88,111.87,115.34,5710327,BXP
