,date,open,high,low,close,volume,Name
0,2013-02,33.25,34.38,33.14,34.11,55407960,CAG
1,2013-03,34.03,35.91,33.82,35.81,56321982,CAG
2,2013-04,35.83,36.305,34.13,35.37,78976016,CAG
3,2013-05,35.33,36.22,33.69,33.69,64380152,CAG
4,2013-06,33.67,35.54,32.7,34.93,82012930,CAG
5,2013-07,35.0,37.13,34.9,36.21,58668232,CAG
6,2013-08,36.49,37.28,33.72,33.82,51462282,CAG
7,2013-09,34.15,34.25,29.87,30.34,128281909,CAG
8,2013-10,30.29,32.3,29.99,31.81,79427532,CAG
9,2013-11,31.85,33.21,31.46,32.99,60666756,CAG
10,2013-12,33.0,33.92,31.03,33.7,63567969,CAG
11,2014-01,33.66,34.18,31.4501,31.79,56433171,CAG
12,2014-02,31.75,31.79,28.09,28.4,99239123,CAG
13,2014-03,28.32,31.03,28.27,31.03,76571616,CAG
14,2014-04,31.01,31.58,30.35,30.51,49823593,CAG
15,2014-05,30.43,32.33,30.07,32.3,43032463,CAG
16,2014-06,32.31,32.85,28.6,29.68,126467784,CAG
17,2014-07,29.73,31.245,29.62,30.13,105991670,CAG
18,2014-08,30.24,32.32,30.16,32.2,55463969,CAG
19,2014-09,32.19,33.95,31.67,33.04,66694376,CAG
20,2014-10,33.05,34.7,32.41,34.35,84245960,CAG
21,2014-11,34.22,36.58,34.07,36.52,49286589,CAG
22,2014-12,36.35,37.455,35.0701,36.28,59894415,CAG
23,2015-01,36.22,37.18,34.91,35.43,60711334,CAG
24,2015-02,35.42,36.71,33.45,34.98,57751961,CAG
25,2015-03,34.82,37.12,33.45,36.53,58976275,CAG
26,2015-04,36.51,38.41,35.94,36.15,52739681,CAG
27,2015-05,36.1,39.04,36.08,38.61,46735702,CAG
28,2015-06,38.85,44.31,37.25,43.72,105155655,CAG
29,2015-07,43.9,45.49,43.29,44.06,75996829,CAG
30,2015-08,44.01,45.48,39.86,41.68,58691186,CAG
31,2015-09,40.98,43.26,39.04,40.51,93561864,CAG
32,2015-10,40.48,42.58,40.04,40.55,66972226,CAG
33,2015-11,41.1,41.7775,38.57,40.93,58545573,CAG
34,2015-12,41.12,42.91,38.97,42.16,68849217,CAG
35,2016-01,41.69,42.09,37.97,41.64,74705217,CAG
36,2016-02,41.52,43.03,38.24,42.06,56195050,CAG
37,2016-03,42.34,45.21,42.08,44.62,59821171,CAG
38,2016-04,44.33,46.64,43.98,44.56,61913987,CAG
39,2016-05,44.62,46.64,43.95,45.7,45718608,CAG
40,2016-06,45.67,48.06,45.31,47.81,68729668,CAG
41,2016-07,47.91,48.81,45.8,46.76,56037917,CAG
42,2016-08,46.7,47.26,45.53,46.61,51548773,CAG
43,2016-09,46.41,47.36,42.505,47.11,75697638,CAG
44,2016-10,46.84,48.81,46.4901,48.18,58808026,CAG
45,2016-11,48.16,48.86,33.6135,36.69,87105113,CAG
46,2016-12,36.38,39.97,35.96,39.55,69059742,CAG
47,2017-01,39.71,39.91,38.16,39.09,56876496,CAG
48,2017-02,38.97,41.39,38.77,41.21,58846289,CAG
49,2017-03,41.36,41.68,40.01,40.34,81363656,CAG
50,2017-04,40.41,41.035,38.64,38.78,49552351,CAG
51,2017-05,38.84,39.135,37.2,38.54,55088811,CAG
52,2017-06,40.04,40.245,35.64,35.76,101843983,CAG
53,2017-07,35.67,35.85,32.93,34.24,102608745,CAG
54,2017-08,34.37,35.3,32.16,32.46,81785798,CAG
55,2017-09,32.59,35.065,32.33,33.74,83160146,CAG
56,2017-10,33.75,34.7,33.15,34.16,73403092,CAG
57,2017-11,34.26,37.62,33.21,37.33,54375579,CAG
58,2017-12,37.45,39.2082,36.64,37.67,73298187,CAG
59,2018-01,37.68,39.08,36.55,38.0,69644316,CAG
60,2018-02,37.9,38.1,34.7456,35.89,19773099,CAG
