,date,open,high,low,close,volume,Name
0,2013-02,96.1,97.5,88.5,92.37,74740326,CAT
1,2013-03,91.54,91.96,85.8,86.97,122038146,CAT
2,2013-04,86.86,87.0,79.49,84.67,177298402,CAT
3,2013-05,84.07,90.69,82.66,85.8,146506947,CAT
4,2013-06,85.91,86.4699,80.855,82.49,121531516,CAT
5,2013-07,83.04,89.0,81.35,82.91,145556738,CAT
6,2013-08,83.62,87.43,81.46,82.54,116042703,CAT
7,2013-09,83.15,88.25,81.72,83.4,103476487,CAT
8,2013-10,83.56,89.17,82.45,83.36,126226109,CAT
9,2013-11,83.78,85.18,81.87,84.6,91808653,CAT
10,2013-12,84.7,91.67,83.11,90.81,103200964,CAT
11,2014-01,90.41,94.69,85.875,93.91,150146544,CAT
12,2014-02,93.74,98.24,91.06,96.97,115573819,CAT
13,2014-03,96.32,100.63,95.06,99.37,120382826,CAT
14,2014-04,98.94,107.4,98.94,105.4,114486500,CAT
15,2014-05,105.2,108.21,100.72,102.23,81677083,CAT
16,2014-06,102.42,109.84899999999999,102.01,108.67,68946627,CAT
17,2014-07,109.08,111.46,100.74,100.75,80458129,CAT
18,2014-08,100.52,109.1,99.11,109.07,93198446,CAT
19,2014-09,109.03,109.73,98.26,99.03,106332303,CAT
20,2014-10,98.64,103.22,90.05,101.41,131708770,CAT
21,2014-11,101.61,107.12,98.04,100.6,71485661,CAT
22,2014-12,100.24,101.46,88.03,91.53,123832190,CAT
23,2015-01,91.77,92.37,78.81,79.97,169982036,CAT
24,2015-02,80.08,85.8099,79.49,82.9,109719535,CAT
25,2015-03,82.78,83.79,78.19,80.03,125193669,CAT
26,2015-04,80.03,87.92,79.39,86.88,128140301,CAT
27,2015-05,87.69,89.62,85.11,85.32,87209049,CAT
28,2015-06,86.06,88.81,84.7,84.82,76849902,CAT
29,2015-07,85.39,85.45,74.77,78.63,144267169,CAT
30,2015-08,78.42,80.31,70.23,76.44,158118027,CAT
31,2015-09,74.5,76.16,62.99,65.36,173294378,CAT
32,2015-10,65.63,73.28,63.1,72.99,157783214,CAT
33,2015-11,73.0,75.93,68.41,72.65,102800392,CAT
34,2015-12,72.33,72.64,64.1,67.96,140938916,CAT
35,2016-01,66.88,68.44,56.36,62.24,173549316,CAT
36,2016-02,61.97,68.5779,59.8,67.7,128153740,CAT
37,2016-03,68.44,77.25,67.34,76.54,141999785,CAT
38,2016-04,75.65,80.89,73.7,77.72,121780915,CAT
39,2016-05,77.35,78.07,69.035,72.51,112151802,CAT
40,2016-06,71.98,78.7,70.53,75.81,106087129,CAT
41,2016-07,75.38,84.29,73.46,82.76,103885725,CAT
42,2016-08,82.76,84.73,80.92,81.95,74540551,CAT
43,2016-09,81.59,88.98,79.93,88.77,99217253,CAT
44,2016-10,88.23,89.87,82.71,83.46,105557432,CAT
45,2016-11,83.47,96.44,80.33,95.56,121044695,CAT
46,2016-12,96.0,97.4,91.0,92.74,88839658,CAT
47,2017-01,94.0,99.46,92.2,95.66,94103155,CAT
48,2017-02,95.81,99.2,92.11,96.66,85107877,CAT
49,2017-03,98.2,98.97,90.34,92.76,142434394,CAT
50,2017-04,92.43,105.98,91.0,102.26,111612852,CAT
51,2017-05,102.65,105.935,97.74,105.43,103927512,CAT
52,2017-06,105.77,108.18,102.3047,107.46,105087696,CAT
53,2017-07,106.51,114.9,105.11,113.95,86822180,CAT
54,2017-08,114.27,118.83,112.09,117.49,66522877,CAT
55,2017-09,117.49,125.55,116.501,124.71,64137080,CAT
56,2017-10,124.4,140.439,123.95,135.8,91904272,CAT
57,2017-11,135.67,141.33,133.81,141.15,61121722,CAT
58,2017-12,141.6,158.65,138.375,157.58,74722318,CAT
59,2018-01,158.3,173.24,155.4,162.78,134897058,CAT
60,2018-02,161.24,163.74,142.85,154.34,44382128,CAT
