,date,open,high,low,close,volume,Name
0,2013-02,24.88,25.36,23.975,24.51,61440319,CA
1,2013-03,24.38,25.56,24.0528,25.18,54306633,CA
2,2013-04,25.23,26.99,24.01,26.97,64678151,CA
3,2013-05,26.97,27.96,25.77,27.32,91044221,CA
4,2013-06,27.3,29.83,27.09,28.62,89695674,CA
5,2013-07,29.0,30.3,27.75,29.74,63948659,CA
6,2013-08,30.1,31.43,29.19,29.25,56651656,CA
7,2013-09,29.71,30.995,29.03,29.67,48529578,CA
8,2013-10,29.64,32.95,28.555,31.76,57053039,CA
9,2013-11,31.96,33.37,31.415,33.0,49921943,CA
10,2013-12,32.97,33.79,31.61,33.65,53204651,CA
11,2014-01,33.49,36.216,31.81,32.09,68419742,CA
12,2014-02,32.0,33.7,30.7548,33.5,54942946,CA
13,2014-03,33.32,33.62,30.265,30.98,63707449,CA
14,2014-04,31.08,31.99,29.41,30.14,60408410,CA
15,2014-05,30.07,30.55,28.54,28.69,60701026,CA
16,2014-06,28.78,29.47,28.1,28.74,59437517,CA
17,2014-07,28.84,29.78,27.84,28.88,60654771,CA
18,2014-08,28.79,28.88,27.87,28.24,33526685,CA
19,2014-09,28.24,29.4699,27.53,27.94,50304169,CA
20,2014-10,27.87,29.29,25.25,29.06,83445903,CA
21,2014-11,29.05,31.24,29.03,31.15,46356488,CA
22,2014-12,30.97,31.73,28.83,30.45,59421834,CA
23,2015-01,30.7,31.935,29.74,30.3,81502003,CA
24,2015-02,30.47,33.31,29.89,32.52,51836709,CA
25,2015-03,32.51,33.42,30.17,32.61,65493001,CA
26,2015-04,31.14,32.565,30.65,31.77,52384908,CA
27,2015-05,31.86,32.25,30.3,30.45,55901640,CA
28,2015-06,29.97,30.88,28.96,29.29,57337876,CA
29,2015-07,29.49,30.82,28.4501,29.135,60397157,CA
30,2015-08,29.09,29.69,25.1562,27.29,65360557,CA
31,2015-09,26.67,28.36,26.4,27.3,58852646,CA
32,2015-10,27.27,29.1,26.5122,27.71,64680919,CA
33,2015-11,27.7,28.53,26.33,28.11,53190857,CA
34,2015-12,28.18,29.46,27.09,28.56,68049103,CA
35,2016-01,28.09,28.94,25.18,28.73,70837016,CA
36,2016-02,28.45,30.25,26.855,29.29,75113589,CA
37,2016-03,29.5,31.27,29.19,30.79,54411723,CA
38,2016-04,30.6,31.1,29.49,29.66,56600771,CA
39,2016-05,29.67,32.38,29.12,32.32,68287966,CA
40,2016-06,32.23,33.58,31.08,32.83,54952976,CA
41,2016-07,32.73,34.75,32.3,34.65,48647082,CA
42,2016-08,34.69,34.99,33.54,33.91,45387017,CA
43,2016-09,33.95,34.35,31.33,33.08,53571710,CA
44,2016-10,32.88,33.4,30.45,30.74,47435567,CA
45,2016-11,30.85,32.72,30.52,31.96,51212726,CA
46,2016-12,31.93,33.04,30.01,31.77,52750214,CA
47,2017-01,32.06,33.45,30.72,31.27,57627649,CA
48,2017-02,31.3,32.66,30.62,32.27,48215794,CA
49,2017-03,32.52,32.96,31.425,31.72,56048671,CA
50,2017-04,31.78,32.91,31.3,32.83,36392978,CA
51,2017-05,32.93,33.35,30.92,31.77,65658882,CA
52,2017-06,31.84,36.54,31.275,34.47,88562970,CA
53,2017-07,34.58,35.18,30.45,31.04,65810025,CA
54,2017-08,31.07,33.28,30.78,33.18,60494364,CA
55,2017-09,33.27,33.58,32.27,33.38,32097313,CA
56,2017-10,33.36,34.41,31.45,32.38,39969044,CA
57,2017-11,32.56,33.21,31.97,33.07,37819246,CA
58,2017-12,32.92,34.08,32.5104,33.28,33204974,CA
59,2018-01,33.46,36.56,33.105,35.85,49350997,CA
60,2018-02,35.74,35.89,32.64,34.0,19352856,CA
