,date,open,high,low,close,volume,Name
0,2013-02,85.1,87.41,84.41,85.39,18834578,CB
1,2013-03,85.14,89.06,84.71,88.97,23204973,CB
2,2013-04,89.1,92.28,87.86,89.14,31765200,CB
3,2013-05,88.78,93.05,88.1801,89.68,34786864,CB
4,2013-06,89.65,90.32,84.73,89.48,34304886,CB
5,2013-07,89.87,95.6,88.39,91.38,27656822,CB
6,2013-08,92.17,92.63,87.4,87.72,24905421,CB
7,2013-09,88.69,95.9,87.11,93.56,23377275,CB
8,2013-10,93.73,98.39,90.52,95.44,24903301,CB
9,2013-11,95.44,104.07,95.09,102.78,26297804,CB
10,2013-12,102.59,103.76,98.22,103.53,22885530,CB
11,2014-01,102.78,103.39,92.001,93.81,49116095,CB
12,2014-02,93.44,98.1,92.26,97.87,35231559,CB
13,2014-03,96.72,100.59,95.0,99.06,31513274,CB
14,2014-04,99.3,102.69,97.55,102.32,27454842,CB
15,2014-05,102.17,103.8,101.1703,103.71,20637035,CB
16,2014-06,103.82,108.615,102.66,103.7,18234089,CB
17,2014-07,104.17,105.655,100.07,100.1,26356670,CB
18,2014-08,100.2,106.55,99.45,106.33,30943243,CB
19,2014-09,106.66,107.95,104.1,104.87,22441579,CB
20,2014-10,105.06,110.87,101.15,109.3,34613209,CB
21,2014-11,109.47,115.04,108.51,114.34,23737759,CB
22,2014-12,114.0,117.89,110.74,114.88,30336465,CB
23,2015-01,115.38,115.77,107.5,107.96,29786406,CB
24,2015-02,107.9,115.1,107.23,114.01,21871879,CB
25,2015-03,113.64,115.26,110.08,111.49,29436102,CB
26,2015-04,112.46,112.72,106.7,106.99,28254679,CB
27,2015-05,107.38,109.29,106.27,106.48,23900457,CB
28,2015-06,106.82,107.85,99.55,101.68,36247356,CB
29,2015-07,109.8,110.84,100.07,108.77,79009104,CB
30,2015-08,108.68,111.63,96.0,102.16,49106860,CB
31,2015-09,100.38,104.24,99.22,103.4,47961160,CB
32,2015-10,103.23,116.27,100.34,113.54,49961907,CB
33,2015-11,113.92,117.0,111.36,114.85,35230243,CB
34,2015-12,114.63,119.855,112.78,116.85,46965115,CB
35,2016-01,115.02,115.41,107.0682,113.07,78828932,CB
36,2016-02,112.27,119.86,106.82,115.53,44958578,CB
37,2016-03,116.0,122.54,115.3,119.15,36123285,CB
38,2016-04,118.74,123.17,116.65,117.86,35820516,CB
39,2016-05,117.53,128.14,116.89,126.61,33295193,CB
40,2016-06,126.11,130.77,121.08,130.71,31985235,CB
41,2016-07,131.0,131.0,125.24,125.26,25784078,CB
42,2016-08,124.25,127.5,122.7,126.93,27406046,CB
43,2016-09,126.96,128.34,123.64,125.65,27005305,CB
44,2016-10,125.44,128.56,121.48,127.0,34114591,CB
45,2016-11,127.25,129.57,123.075,128.0,36806370,CB
46,2016-12,128.32,133.89,127.71,132.12,31500239,CB
47,2017-01,132.74,133.4,128.98,131.49,28687360,CB
48,2017-02,128.87,139.35,127.15,138.17,25190601,CB
49,2017-03,139.11,140.555,134.8,136.25,29897197,CB
50,2017-04,136.37,140.39,135.43,137.25,27511813,CB
51,2017-05,137.28,143.26,136.0,143.19,28261945,CB
52,2017-06,143.61,148.32,143.21,145.38,30299107,CB
53,2017-07,145.8,148.38,142.65,146.46,27240229,CB
54,2017-08,149.94,150.28,140.54,141.42,28031661,CB
55,2017-09,141.47,147.02,133.82,142.55,39890014,CB
56,2017-10,142.55,156.0,142.375,150.82,30738983,CB
57,2017-11,150.53,153.47,147.27,152.11,27614088,CB
58,2017-12,151.91,153.38,144.3,146.13,29328025,CB
59,2018-01,146.42,157.5,141.4,156.15,39159747,CB
60,2018-02,155.84,156.9,141.45,147.52,12335770,CB
