,date,open,high,low,close,volume,Name
0,2013-02,13.96,14.54,13.9,14.16,40221879,CDNS
1,2013-03,14.04,14.81,12.57,13.93,78793138,CDNS
2,2013-04,13.96,13.96,12.33,13.8,60492839,CDNS
3,2013-05,13.82,15.32,13.7,15.13,54114121,CDNS
4,2013-06,15.25,15.32,14.08,14.48,43056145,CDNS
5,2013-07,14.6,15.96,14.16,14.58,66938560,CDNS
6,2013-08,14.69,15.06,13.42,13.47,83112364,CDNS
7,2013-09,13.56,14.1,13.13,13.51,66085091,CDNS
8,2013-10,13.5,14.72,12.59,12.965,105709246,CDNS
9,2013-11,13.05,13.36,12.55,13.25,77908985,CDNS
10,2013-12,13.26,14.16,13.13,14.02,64519154,CDNS
11,2014-01,14.0,14.89,13.725,14.12,66778502,CDNS
12,2014-02,14.06,15.46,13.59,15.33,57707408,CDNS
13,2014-03,15.17,16.25,15.0,15.54,70298414,CDNS
14,2014-04,15.6,15.71,13.63,15.56,81980679,CDNS
15,2014-05,15.6,17.17,15.33,16.69,68876814,CDNS
16,2014-06,16.71,17.55,16.35,17.49,72327209,CDNS
17,2014-07,17.55,17.66,16.25,16.83,72976773,CDNS
18,2014-08,16.77,17.88,16.6,17.63,56267111,CDNS
19,2014-09,17.61,19.0,16.87,17.21,48963727,CDNS
20,2014-10,17.22,17.99,15.5,17.95,98242327,CDNS
21,2014-11,17.92,19.03,17.89,18.87,41445050,CDNS
22,2014-12,18.76,19.535,17.53,18.97,57405315,CDNS
23,2015-01,19.15,19.24,17.68,17.99,60851132,CDNS
24,2015-02,17.97,18.77,16.52,18.355,71657307,CDNS
25,2015-03,18.41,18.865,17.648,18.44,57125730,CDNS
26,2015-04,18.44,19.825,17.765,18.65,115341758,CDNS
27,2015-05,18.73,20.18,18.4226,19.79,91907803,CDNS
28,2015-06,20.0,20.506,19.43,19.66,69053222,CDNS
29,2015-07,19.81,21.141,18.88,20.97,65595265,CDNS
30,2015-08,20.92,21.86,18.133,20.02,43862398,CDNS
31,2015-09,19.7,21.37,19.27,20.68,48282153,CDNS
32,2015-10,20.74,23.3,20.08,22.22,76685893,CDNS
33,2015-11,22.19,23.21,21.34,22.3,72907584,CDNS
34,2015-12,19.66,22.63,19.35,20.81,63157601,CDNS
35,2016-01,20.0,20.64,18.32,19.56,63814633,CDNS
36,2016-02,19.36,21.93,18.81,21.55,85334917,CDNS
37,2016-03,21.65,23.75,21.59,23.58,52742555,CDNS
38,2016-04,23.49,23.89,22.79,23.19,56653467,CDNS
39,2016-05,23.21,25.49,22.945,24.72,78608230,CDNS
40,2016-06,24.62,25.18,22.99,24.3,57792413,CDNS
41,2016-07,24.3,26.235,23.83,24.05,44140573,CDNS
42,2016-08,24.0,25.71,23.88,25.44,39502465,CDNS
43,2016-09,25.41,26.21,24.2,25.53,38230802,CDNS
44,2016-10,25.5,28.0,24.99,25.58,40334105,CDNS
45,2016-11,25.55,27.035,24.4708,26.28,44734900,CDNS
46,2016-12,26.18,26.35,24.15,25.22,34129934,CDNS
47,2017-01,25.43,26.47,25.24,26.03,27195251,CDNS
48,2017-02,26.03,31.54,25.77,30.9,55581864,CDNS
49,2017-03,31.22,32.19,30.35,31.4,44349989,CDNS
50,2017-04,31.4,33.61,30.81,32.57,52403120,CDNS
51,2017-05,32.73,35.4,32.07,35.14,44519735,CDNS
52,2017-06,35.15,35.69,33.03,33.49,37094792,CDNS
53,2017-07,33.58,37.51,32.85,36.9,36319633,CDNS
54,2017-08,36.96,39.3,35.91,39.29,37969584,CDNS
55,2017-09,39.3,39.49,36.83,39.47,115763259,CDNS
56,2017-10,39.79,43.23,39.6,43.16,43222937,CDNS
57,2017-11,43.47,45.64,42.96,43.91,41073740,CDNS
58,2017-12,43.66,44.46,41.74,41.82,54384156,CDNS
59,2018-01,42.0,46.0,41.71,44.86,40527728,CDNS
60,2018-02,44.4,45.25,37.61,38.57,21360697,CDNS
