,date,open,high,low,close,volume,Name
0,2014-09,21.5,23.57,21.35,23.42,80327254,CFG
1,2014-10,23.22,23.96,21.47,23.62,41915400,CFG
2,2014-11,23.49,25.09,23.16,24.63,18219755,CFG
3,2014-12,24.62,25.6,23.49,24.86,34488896,CFG
4,2015-01,24.97,25.0,22.67,23.9,24150405,CFG
5,2015-02,23.85,25.74,23.69,24.84,20632702,CFG
6,2015-03,24.8,25.84,23.83,24.13,122093038,CFG
7,2015-04,24.15,26.29,24.03,26.05,72452660,CFG
8,2015-05,26.15,26.99,25.57,26.84,74127350,CFG
9,2015-06,26.91,28.71,26.72,27.31,162171919,CFG
10,2015-07,27.53,28.1825,25.48,26.07,151226065,CFG
11,2015-08,26.18,27.26,21.14,24.82,102453228,CFG
12,2015-09,24.47,25.23,22.565,23.86,88306996,CFG
13,2015-10,23.75,24.49,22.48,24.3,148316550,CFG
14,2015-11,24.58,26.65,24.12,26.63,156929704,CFG
15,2015-12,26.81,27.17,25.37,26.19,117985386,CFG
16,2016-01,25.71,25.99,19.73,21.25,310354892,CFG
17,2016-02,21.11,21.21,18.04,19.23,174032732,CFG
18,2016-03,19.33,22.55,19.315,20.95,136953006,CFG
19,2016-04,20.92,24.24,20.53,22.86,113168867,CFG
20,2016-05,22.84,23.855,21.25,23.55,104452946,CFG
21,2016-06,23.28,23.88,18.34,19.98,170810034,CFG
22,2016-07,19.88,22.75,18.58,22.34,134060990,CFG
23,2016-08,22.25,24.81,21.92,24.77,108095464,CFG
24,2016-09,24.86,25.11,23.81,24.71,111679737,CFG
25,2016-10,24.57,27.21,24.22,26.34,101425304,CFG
26,2016-11,26.52,33.7,25.87,33.51,165060111,CFG
27,2016-12,33.87,36.56,33.81,35.63,108997075,CFG
28,2017-01,36.44,37.95,33.8,36.17,101203190,CFG
29,2017-02,36.54,38.43,35.21,37.37,91547686,CFG
30,2017-03,38.42,39.75,32.99,34.55,124937460,CFG
31,2017-04,34.64,37.25,33.135,36.71,101655022,CFG
32,2017-05,36.99,38.01,33.49,34.1,95244288,CFG
33,2017-06,34.27,37.18,33.4,35.68,106164820,CFG
34,2017-07,35.89,37.25,34.325,35.08,80264957,CFG
35,2017-08,35.19,36.3,32.46,33.13,90187801,CFG
36,2017-09,33.28,38.055,31.51,37.87,93466439,CFG
37,2017-10,37.53,38.99,36.1,38.01,112751553,CFG
38,2017-11,38.21,41.77,36.25,40.7,93533597,CFG
39,2017-12,40.9,42.93,39.42,41.98,84761951,CFG
40,2018-01,42.35,48.23,42.02,45.9,101755495,CFG
41,2018-02,45.91,47.06,41.48,44.84,33501363,CFG
