,date,open,high,low,close,volume,Name
0,2013-02,20.16,20.88,19.09,20.16,210075323,CHK
1,2013-03,19.95,22.97,19.23,20.41,259496115,CHK
2,2013-04,20.4,20.644000000000002,18.21,19.54,200773919,CHK
3,2013-05,19.9,22.86,18.85,21.84,306032255,CHK
4,2013-06,21.98,22.28,19.32,20.38,231581443,CHK
5,2013-07,20.46,23.54,20.295,23.3,171437255,CHK
6,2013-08,24.06,26.629,24.02,25.81,255098850,CHK
7,2013-09,26.07,27.46,25.63,25.88,176639121,CHK
8,2013-10,25.83,28.71,25.65,27.96,198838343,CHK
9,2013-11,27.9,29.06,25.06,26.87,209144662,CHK
10,2013-12,26.99,27.82,26.22,27.14,154482319,CHK
11,2014-01,27.07,27.545,25.04,26.91,184533077,CHK
12,2014-02,26.85,27.46,23.92,25.91,248001448,CHK
13,2014-03,25.71,26.23,24.24,25.62,174388221,CHK
14,2014-04,25.71,29.48,25.66,28.75,170045093,CHK
15,2014-05,28.81,30.48,27.3,28.72,214511061,CHK
16,2014-06,28.76,31.49,28.66,29.39,162607508,CHK
17,2014-07,29.7,29.92,26.35,26.37,174930997,CHK
18,2014-08,26.35,27.24,25.38,27.2,147707441,CHK
19,2014-09,27.1,27.15,22.77,22.99,144922422,CHK
20,2014-10,23.02,23.59,16.69,22.18,369491567,CHK
21,2014-11,22.44,24.43,20.24,20.26,230821560,CHK
22,2014-12,19.99,20.35,16.41,19.57,342193589,CHK
23,2015-01,19.42,20.375,17.42,19.18,278070549,CHK
24,2015-02,19.56,21.49,16.63,16.68,325851072,CHK
25,2015-03,16.71,16.739,13.38,14.16,581738857,CHK
26,2015-04,14.45,16.16,14.2,15.77,429693094,CHK
27,2015-05,15.79,16.98,13.92,14.11,449798397,CHK
28,2015-06,14.11,14.14,10.9375,11.17,509516688,CHK
29,2015-07,11.2,11.9,8.11,8.66,504667573,CHK
30,2015-08,8.56,9.08,6.01,7.81,521662029,CHK
31,2015-09,7.585,9.0,6.57,7.33,362342955,CHK
32,2015-10,7.27,9.55,6.5,7.13,397091556,CHK
33,2015-11,6.94,8.0,5.04,5.27,452609341,CHK
34,2015-12,5.27,5.71,3.56,4.5,546619175,CHK
35,2016-01,4.44,5.09,2.69,3.39,528828195,CHK
36,2016-02,3.32,3.65,1.5,2.61,810794103,CHK
37,2016-03,2.64,5.76,2.55,4.12,1180427282,CHK
38,2016-04,3.98,7.59,3.53,6.87,1002566824,CHK
39,2016-05,6.83,6.85,3.56,4.29,889879718,CHK
40,2016-06,4.21,5.14,3.93,4.28,773241469,CHK
41,2016-07,4.25,5.6,4.13,5.42,756171300,CHK
42,2016-08,5.33,6.65,4.75,6.35,1118709251,CHK
43,2016-09,6.23,8.145,5.97,6.27,1244269561,CHK
44,2016-10,6.34,7.11,5.49,5.51,1068847395,CHK
45,2016-11,5.53,7.11,5.14,7.0,1101683636,CHK
46,2016-12,7.26,8.2,6.85,7.02,1185576200,CHK
47,2017-01,7.2,7.32,6.33,6.45,777128880,CHK
48,2017-02,6.51,6.65,5.38,5.45,717859546,CHK
49,2017-03,5.5,6.0,4.88,5.94,880311118,CHK
50,2017-04,6.01,6.59,5.15,5.26,806973203,CHK
51,2017-05,5.25,5.87,4.9,5.06,883702246,CHK
52,2017-06,5.1,5.29,4.38,4.97,870334699,CHK
53,2017-07,5.01,5.2,4.4199,4.96,579231616,CHK
54,2017-08,4.49,4.83,3.55,3.64,784135526,CHK
55,2017-09,3.65,4.49,3.56,4.3,629767730,CHK
56,2017-10,4.15,4.38,3.41,3.9,504041411,CHK
57,2017-11,3.98,4.27,3.62,4.07,562687479,CHK
58,2017-12,4.1,4.24,3.5,3.96,499615725,CHK
59,2018-01,4.05,4.335,3.5,3.5,703851992,CHK
60,2018-02,3.49,3.5,2.8,2.89,263707386,CHK
