,date,open,high,low,close,volume,Name
0,2013-02,59.36,59.98,55.805,57.02,26324461,CHRW
1,2013-03,56.74,59.78,56.27,59.46,32759332,CHRW
2,2013-04,59.5,61.1105,55.68,59.39,27908366,CHRW
3,2013-05,59.46,61.91,55.73,56.7,39096890,CHRW
4,2013-06,56.73,57.58,53.74,56.31,30952380,CHRW
5,2013-07,56.86,61.13,55.89,59.62,19048774,CHRW
6,2013-08,60.2175,61.35,55.26,56.87,27934570,CHRW
7,2013-09,57.46,62.46,56.65,59.59,28094855,CHRW
8,2013-10,59.71,61.67,57.1,59.74,32483972,CHRW
9,2013-11,60.05,61.935,57.39,58.65,40891570,CHRW
10,2013-12,58.81,59.11,55.92,58.35,40514646,CHRW
11,2014-01,58.21,60.31,56.1,58.54,37462952,CHRW
12,2014-02,57.91,58.88,51.62,51.86,47875057,CHRW
13,2014-03,51.67,52.81,50.21,52.39,36419001,CHRW
14,2014-04,52.71,60.19,51.1,58.9,48434899,CHRW
15,2014-05,58.88,59.98,57.83,59.86,24807211,CHRW
16,2014-06,59.9,64.09,59.09,63.79,30681403,CHRW
17,2014-07,64.07,69.5,63.09,67.46,35018758,CHRW
18,2014-08,67.45,68.99,65.88,68.26,33969226,CHRW
19,2014-09,68.34,68.57,65.49,66.32,24822557,CHRW
20,2014-10,66.18,74.95,63.42,69.21,38475853,CHRW
21,2014-11,69.28,74.92,67.88,73.74,26155482,CHRW
22,2014-12,73.39,77.49,69.14,74.89,29582935,CHRW
23,2015-01,74.85,75.24,69.23,71.22,38088398,CHRW
24,2015-02,72.01,75.49,67.11,74.3,47985982,CHRW
25,2015-03,74.4,76.1799,71.66,73.22,37134410,CHRW
26,2015-04,72.85,73.09,64.01,64.39,40065460,CHRW
27,2015-05,64.72,66.84,61.55,61.73,31328824,CHRW
28,2015-06,62.04,65.45,61.46,62.39,36068118,CHRW
29,2015-07,62.79,71.336,61.64,70.15,32429768,CHRW
30,2015-08,70.14,71.4999,64.09,67.43,32697667,CHRW
31,2015-09,66.08,69.99,65.74,67.78,31466211,CHRW
32,2015-10,68.16,73.34,66.535,69.38,33853149,CHRW
33,2015-11,69.38,70.38,66.6,67.43,17133369,CHRW
34,2015-12,67.74,68.46,59.71,62.02,52248703,CHRW
35,2016-01,61.09,65.5,60.31,64.77,42617078,CHRW
36,2016-02,64.05,71.8825,62.92,69.83,39158595,CHRW
37,2016-03,70.79,75.11,69.99,74.23,27788319,CHRW
38,2016-04,73.72,76.1,69.84,70.97,27272967,CHRW
39,2016-05,71.27,75.78,70.34,74.98,26578711,CHRW
40,2016-06,74.56,74.655,70.15,74.25,31146579,CHRW
41,2016-07,74.57,75.69,66.62,69.62,35513992,CHRW
42,2016-08,69.5,70.01,67.7789,69.42,26024978,CHRW
43,2016-09,69.56,71.97,66.71,70.46,27971610,CHRW
44,2016-10,70.39,71.11,65.57,68.12,33912686,CHRW
45,2016-11,68.12,75.4,67.93,74.85,32219809,CHRW
46,2016-12,74.82,77.8925,72.56,73.26,30514176,CHRW
47,2017-01,73.5,77.65,72.17,76.06,25128992,CHRW
48,2017-02,74.6,80.47,73.27,80.37,24157412,CHRW
49,2017-03,80.67,81.16,76.22,77.29,23642001,CHRW
50,2017-04,77.52,78.31,72.43,72.7,30120561,CHRW
51,2017-05,73.16,73.38,66.33,67.01,33604861,CHRW
52,2017-06,67.31,70.4,66.73,68.68,27202288,CHRW
53,2017-07,69.13,70.48,63.41,65.6,40026339,CHRW
54,2017-08,65.65,74.54,64.61,70.63,44094316,CHRW
55,2017-09,70.69,76.16,70.12,76.1,31591293,CHRW
56,2017-10,76.28,80.83,74.3,78.53,34516837,CHRW
57,2017-11,80.9,87.17,77.52,86.65,37737783,CHRW
58,2017-12,86.6,89.89,84.56,89.09,28835342,CHRW
59,2018-01,89.74,100.18,88.45,91.46,38174019,CHRW
60,2018-02,91.25,93.645,88.0368,92.57,11678963,CHRW
