,date,open,high,low,close,volume,Name
0,2013-02,80.5,89.14,76.19,86.39,15948059,CHTR
1,2013-03,85.77,106.29,85.74,104.18,34373280,CHTR
2,2013-04,104.65,106.98,99.41,100.74,14390865,CHTR
3,2013-05,100.48,116.42,100.48,112.0,19356930,CHTR
4,2013-06,112.74,128.57,109.63,123.85,23330247,CHTR
5,2013-07,124.2,130.5892,121.4,125.74,26493903,CHTR
6,2013-08,125.75,137.29,119.06,121.42,19378373,CHTR
7,2013-09,122.66,136.32,122.05,134.76,10918254,CHTR
8,2013-10,134.8,144.02,130.06,134.04,11409112,CHTR
9,2013-11,134.7,139.14,125.68,135.1,21445844,CHTR
10,2013-12,134.84,136.76,126.3147,136.76,18277092,CHTR
11,2014-01,137.15,140.74,130.58,137.0,27501123,CHTR
12,2014-02,137.73,140.24,120.5,126.77,49680367,CHTR
13,2014-03,125.4,129.75,120.75,123.2,25335654,CHTR
14,2014-04,123.71,142.7,116.78,135.53,34321881,CHTR
15,2014-05,135.36,144.59,134.14,143.14,20798147,CHTR
16,2014-06,142.89,159.2375,142.85,158.38,19627210,CHTR
17,2014-07,158.68,167.3,151.59,154.52,23809437,CHTR
18,2014-08,155.68,160.99,149.66,156.87,16436133,CHTR
19,2014-09,156.67,162.97,150.48,151.37,19825151,CHTR
20,2014-10,151.0,159.15,137.5101,158.39,25213657,CHTR
21,2014-11,158.99,169.73,142.37,169.7,22282345,CHTR
22,2014-12,169.57,169.85,158.0,166.62,15887905,CHTR
23,2015-01,167.23,167.295,149.47,151.115,19004056,CHTR
24,2015-02,151.16,183.24,150.29,180.6,19288282,CHTR
25,2015-03,180.46,199.0,178.685,193.11,21763983,CHTR
26,2015-04,191.94,194.0,179.77,187.06,26662345,CHTR
27,2015-05,182.36,191.9,172.17,179.02,50467670,CHTR
28,2015-06,179.18,181.9,166.54,171.25,36116376,CHTR
29,2015-07,172.97,189.99,168.73,185.86,34425264,CHTR
30,2015-08,186.94,195.46,161.91,181.61,34850421,CHTR
31,2015-09,180.53,195.0,166.33,175.85,33557241,CHTR
32,2015-10,176.74,194.915,175.08,190.94,33841206,CHTR
33,2015-11,193.25,193.63,183.06,187.36,23567249,CHTR
34,2015-12,187.65,190.68,173.2075,183.1,25942430,CHTR
35,2016-01,180.56,182.04,160.7399,171.36,33538844,CHTR
36,2016-02,169.64,184.715,156.13,179.56,53219487,CHTR
37,2016-03,181.08,204.61,179.91,202.43,47629661,CHTR
38,2016-04,203.12,213.315,193.77,212.24,46336244,CHTR
39,2016-05,212.25,233.6999,201.04,218.94,111981211,CHTR
40,2016-06,222.5,229.8,214.06,228.64,57623190,CHTR
41,2016-07,228.68,244.51,226.8061,234.87,28008550,CHTR
42,2016-08,235.54,261.75,233.0,257.21,32890874,CHTR
43,2016-09,267.0,279.95,261.68,269.97,86318173,CHTR
44,2016-10,269.68,270.99,242.47,249.89,36246287,CHTR
45,2016-11,250.0,281.43,241.5,275.31,51784744,CHTR
46,2016-12,273.55,294.87,265.78,287.92,28944532,CHTR
47,2017-01,290.24,341.5,282.54,323.95,42807117,CHTR
48,2017-02,323.85,329.1,317.02,323.06,25847251,CHTR
49,2017-03,325.76,330.91,318.93,327.32,22517874,CHTR
50,2017-04,327.5,350.38,325.02,345.16,22288213,CHTR
51,2017-05,346.29,347.25,312.49,345.55,41027146,CHTR
52,2017-06,346.5,355.0,326.4,336.85,35030744,CHTR
53,2017-07,338.26,399.95,328.65,391.91,31066125,CHTR
54,2017-08,392.84,408.83,378.2569,398.54,36732928,CHTR
55,2017-09,398.93,404.72,356.11,363.42,43516300,CHTR
56,2017-10,364.52,374.99,308.3,334.17,49704554,CHTR
57,2017-11,335.62,361.28,317.93,326.21,40167944,CHTR
58,2017-12,321.94,347.48,312.53,335.96,36910544,CHTR
59,2018-01,338.43,379.325,337.77,377.25,30153600,CHTR
60,2018-02,376.11,396.64,360.061,363.55,15222779,CHTR
