,date,open,high,low,close,volume,Name
0,2013-02,44.5,45.23,43.9,45.01,9558847,CINF
1,2013-03,44.92,47.35,44.4,47.22,11992299,CINF
2,2013-04,47.35,49.34,46.67,48.91,14943262,CINF
3,2013-05,48.66,50.6,47.13,47.34,15269453,CINF
4,2013-06,47.47,47.47,44.53,45.92,16859078,CINF
5,2013-07,46.24,50.01,45.47,49.01,16570557,CINF
6,2013-08,49.32,49.98,45.5,45.68,8892288,CINF
7,2013-09,46.26,47.8,43.62,47.16,13887978,CINF
8,2013-10,47.17,50.78,46.61,50.05,14609527,CINF
9,2013-11,50.12,53.14,49.55,52.41,10024399,CINF
10,2013-12,52.41,53.74,50.37,52.37,11125489,CINF
11,2014-01,52.15,52.185,47.52,48.45,14565580,CINF
12,2014-02,48.55,48.7,44.9,46.88,14443440,CINF
13,2014-03,46.68,48.7,46.24,48.66,12646502,CINF
14,2014-04,47.66,49.73,47.0,48.72,17071359,CINF
15,2014-05,48.8,49.58,48.0235,49.02,9348111,CINF
16,2014-06,49.1,49.44,47.67,48.04,9444328,CINF
17,2014-07,48.04,48.69,45.79,46.02,13333974,CINF
18,2014-08,45.82,48.81,45.69,48.09,10500858,CINF
19,2014-09,48.28,48.86,46.8,47.05,10844789,CINF
20,2014-10,46.91,50.62,45.09,50.47,15181047,CINF
21,2014-11,49.7,51.89,49.7,50.95,9431082,CINF
22,2014-12,50.75,55.35,49.68,51.83,11220859,CINF
23,2015-01,52.0,52.59,50.12,50.51,11632112,CINF
24,2015-02,50.72,53.17,50.25,52.76,9670324,CINF
25,2015-03,52.75,54.92,51.63,53.28,11553405,CINF
26,2015-04,53.29,54.25,50.39,50.64,9086186,CINF
27,2015-05,51.01,51.66,50.3,50.58,8403699,CINF
28,2015-06,50.72,51.775,49.74,50.18,12073731,CINF
29,2015-07,51.18,55.81,50.73,55.21,16645396,CINF
30,2015-08,54.74,56.94,49.72,52.33,16632190,CINF
31,2015-09,51.21,54.48,50.78,53.8,16759957,CINF
32,2015-10,53.9,61.38,52.633,60.23,13916850,CINF
33,2015-11,60.62,61.56,59.43,61.11,11906911,CINF
34,2015-12,61.1,61.588,57.6,59.17,14081925,CINF
35,2016-01,58.11,58.2,53.64,57.63,13664113,CINF
36,2016-02,57.66,64.225,55.89,63.14,18097456,CINF
37,2016-03,63.61,65.99,63.34,65.36,18305027,CINF
38,2016-04,65.28,66.98,63.87,66.01,11969452,CINF
39,2016-05,65.82,69.73,65.62,69.1,11330183,CINF
40,2016-06,68.95,74.89,68.56,74.89,14564659,CINF
41,2016-07,74.93,77.3,73.88,74.7,12866492,CINF
42,2016-08,74.64,77.63,74.62,77.11,10491257,CINF
43,2016-09,77.27,78.09,74.33,75.42,12071590,CINF
44,2016-10,74.91,76.59,69.4,70.78,11811179,CINF
45,2016-11,70.63,77.44,68.11,76.74,15255871,CINF
46,2016-12,76.93,79.6,75.52,75.75,12361061,CINF
47,2017-01,76.26,76.71,69.2501,70.58,12142425,CINF
48,2017-02,70.82,73.7534,68.24,72.96,9277185,CINF
49,2017-03,74.09,75.35,70.89,72.27,11486684,CINF
50,2017-04,72.43,73.29,69.65,72.09,10826822,CINF
51,2017-05,72.22,72.3938,68.49,70.08,12553047,CINF
52,2017-06,69.99,73.98,69.29,72.45,11024818,CINF
53,2017-07,72.94,76.43,71.6,76.16,8987963,CINF
54,2017-08,76.34,81.98,75.9,76.84,11344485,CINF
55,2017-09,77.16,77.56,72.88,76.57,10141205,CINF
56,2017-10,76.45,77.7638,70.07,70.17,10455760,CINF
57,2017-11,70.26,75.47,70.21,74.73,13373432,CINF
58,2017-12,75.0,76.155,72.55,74.97,9208480,CINF
59,2018-01,75.37,78.04,72.15,76.9,11481947,CINF
60,2018-02,76.63,77.68,69.98,72.63,4426102,CINF
