,date,open,high,low,close,volume,Name
0,2013-02,61.7,62.2199,55.97,58.46,27094420,CI
1,2013-03,58.26,63.19,57.53,62.37,37331068,CI
2,2013-04,62.31,66.94,61.8775,66.17,43687253,CI
3,2013-05,66.2,69.87,65.33,67.9,39042705,CI
4,2013-06,68.02,73.13,65.5401,72.49,41442783,CI
5,2013-07,73.17,79.25,71.12,77.83,31321468,CI
6,2013-08,78.06,79.99,75.79,78.69,27529851,CI
7,2013-09,79.45,84.68,76.31,76.86,35459680,CI
8,2013-10,76.9,80.51,72.64,76.98,43033817,CI
9,2013-11,76.99,88.57,76.61,87.45,30622247,CI
10,2013-12,87.37,88.09,83.02,87.48,24530721,CI
11,2014-01,86.99,90.63,84.75,86.31,26224018,CI
12,2014-02,86.46,86.66,75.37,79.59,57406939,CI
13,2014-03,78.77,84.37,76.41,83.73,50483609,CI
14,2014-04,83.93,84.725,73.47,80.04,40018942,CI
15,2014-05,82.97,90.27,81.7,89.78,39468634,CI
16,2014-06,90.13,93.2,89.164,91.97,27674302,CI
17,2014-07,92.0,97.28,87.33,90.04,38389903,CI
18,2014-08,94.34,95.65,88.66,94.6,24980546,CI
19,2014-09,94.92,97.07,90.531,90.69,24677162,CI
20,2014-10,90.79,102.16,85.75,99.57,42360194,CI
21,2014-11,99.64,104.55,98.12,102.89,33809445,CI
22,2014-12,102.63,105.7299,99.88,102.91,24891492,CI
23,2015-01,103.64,112.95,100.67,106.83,30011227,CI
24,2015-02,107.08,122.42,105.23,121.63,27205006,CI
25,2015-03,121.42,131.13,118.7,129.44,37049927,CI
26,2015-04,129.65,135.0,124.28,124.64,37833681,CI
27,2015-05,125.64,145.33,124.3843,140.83,38772381,CI
28,2015-06,140.87,170.68,135.51,162.0,90788515,CI
29,2015-07,163.79,168.36,143.31,144.06,73166214,CI
30,2015-08,144.17,149.86,124.17,140.79,42262461,CI
31,2015-09,138.89,144.66,131.45,135.02,31701244,CI
32,2015-10,134.64,143.14,127.698,134.04,39122062,CI
33,2015-11,134.55,136.35,127.44,134.98,28011638,CI
34,2015-12,135.28,148.55,135.05,146.33,30367651,CI
35,2016-01,144.71,148.14,129.11,133.6,32955835,CI
36,2016-02,133.34,143.23,123.54,139.61,25293647,CI
37,2016-03,140.64,145.75,136.18,137.24,22094409,CI
38,2016-04,136.72,142.91,129.45,138.54,30838658,CI
39,2016-05,139.24,139.79,124.52,128.11,35023709,CI
40,2016-06,127.63,131.77,121.87,127.99,33417631,CI
41,2016-07,128.33,148.99,125.335,128.96,48867403,CI
42,2016-08,128.75,134.49,123.53,128.26,31141224,CI
43,2016-09,128.58,133.57,125.92,130.32,23325563,CI
44,2016-10,129.8,130.22,116.3,118.83,22487860,CI
45,2016-11,119.55,142.0,115.03,134.74,32487653,CI
46,2016-12,134.17,140.7,131.03,133.39,24220754,CI
47,2017-01,133.91,149.23,133.52,146.22,26611417,CI
48,2017-02,147.0,150.69,141.93,148.9,29641814,CI
49,2017-03,150.0,154.83,143.85,146.49,29938957,CI
50,2017-04,146.7,159.075,146.7,156.37,21861744,CI
51,2017-05,156.68,164.88,155.32,161.23,28765099,CI
52,2017-06,161.79,173.21,161.2,167.39,40505276,CI
53,2017-07,168.27,175.8,166.805,173.56,23206524,CI
54,2017-08,173.18,182.18,170.55,182.06,26686248,CI
55,2017-09,182.68,188.36,180.04,186.94,26656762,CI
56,2017-10,187.71,202.5,183.08,197.22,30876542,CI
57,2017-11,198.2,212.455,195.25,211.73,27815891,CI
58,2017-12,211.62,211.96,202.2401,203.09,24878417,CI
59,2018-01,204.14,227.13,201.3,208.35,28126185,CI
60,2018-02,207.32,209.64,191.59,195.44,11962128,CI
