,date,open,high,low,close,volume,Name
0,2013-02,19.345,21.0,19.155,19.895,502731542,CMCSA
1,2013-03,19.86,21.005,19.73,20.99,493379022,CMCSA
2,2013-04,20.73,21.305,19.83,20.65,565482988,CMCSA
3,2013-05,20.99,21.87,20.075,20.0825,454467378,CMCSA
4,2013-06,20.125,20.995,19.375,20.875,581747776,CMCSA
5,2013-07,20.945,22.8125,20.13,22.54,513103622,CMCSA
6,2013-08,22.885,23.1625,20.53,21.045,419039728,CMCSA
7,2013-09,21.305,22.655,21.0425,22.5575,406290868,CMCSA
8,2013-10,22.575,24.175,22.045,23.8,476361388,CMCSA
9,2013-11,23.925,25.375,23.2875,24.935,394629004,CMCSA
10,2013-12,24.91,26.045,24.105,25.9825,384566742,CMCSA
11,2014-01,25.9,27.35,25.335,27.225,517731134,CMCSA
12,2014-02,27.37,27.64,25.095,25.845,802547624,CMCSA
13,2014-03,25.54,26.185,24.4975,25.02,656712254,CMCSA
14,2014-04,25.17,26.0,23.87,25.88,782675072,CMCSA
15,2014-05,25.91,26.24,24.58,26.1,575612154,CMCSA
16,2014-06,26.055,27.13,25.9675,26.84,452136876,CMCSA
17,2014-07,26.93,28.245,26.625,26.865,562658736,CMCSA
18,2014-08,26.77,27.55,26.2602,27.36,375343350,CMCSA
19,2014-09,27.355,28.745,26.705,26.89,551465604,CMCSA
20,2014-10,26.845,27.845,24.665,27.675,974065286,CMCSA
21,2014-11,27.63,28.64,25.78,28.52,688103286,CMCSA
22,2014-12,28.485,29.65,27.37,29.005,515518590,CMCSA
23,2015-01,29.0,29.175,26.51,26.5725,611862254,CMCSA
24,2015-02,26.575,29.945,26.225,29.69,565997534,CMCSA
25,2015-03,29.755,30.35,27.835,28.235,624087170,CMCSA
26,2015-04,28.395,30.425,28.025,28.88,858274462,CMCSA
27,2015-05,28.9,30.05,28.1,29.23,635672744,CMCSA
28,2015-06,29.355,30.82,28.5375,30.07,586851288,CMCSA
29,2015-07,30.19,32.495,30.19,31.205,540190242,CMCSA
30,2015-08,31.38,31.685,25.005,28.165,700555506,CMCSA
31,2015-09,27.52,29.635,27.325,28.44,659258658,CMCSA
32,2015-10,28.76,31.69,28.2625,31.31,427099292,CMCSA
33,2015-11,31.315,31.63,30.075,30.43,336060970,CMCSA
34,2015-12,30.73,30.89,27.695,28.215,525730694,CMCSA
35,2016-01,27.575,28.025,26.17,27.855,532587584,CMCSA
36,2016-02,27.535,29.85,27.19,28.865,608842126,CMCSA
37,2016-03,29.115,30.685,29.025,30.54,400675092,CMCSA
38,2016-04,30.295,31.455,30.01,30.38,425409334,CMCSA
39,2016-05,30.545,31.695,29.8075,31.65,414755468,CMCSA
40,2016-06,31.72,32.7099,30.33,32.595,389036996,CMCSA
41,2016-07,32.455,34.18,32.135,33.625,355615144,CMCSA
42,2016-08,33.7,33.98,32.4853,32.63,316680504,CMCSA
43,2016-09,32.8,33.765,32.3675,33.17,377941154,CMCSA
44,2016-10,32.94,33.19,30.3,30.91,419368192,CMCSA
45,2016-11,31.26,35.14,30.02,34.755,532546614,CMCSA
46,2016-12,34.705,35.66,34.035,34.525,372429984,CMCSA
47,2017-01,34.835,38.435,34.115,37.71,448634154,CMCSA
48,2017-02,37.645,38.33,37.18,37.42,284387685,CMCSA
49,2017-03,37.72,37.99,36.69,37.59,315208519,CMCSA
50,2017-04,37.47,40.62,36.99,39.19,359694876,CMCSA
51,2017-05,39.42,41.71,37.905,41.69,402545808,CMCSA
52,2017-06,41.63,42.18,38.28,38.92,414268306,CMCSA
53,2017-07,39.08,40.66,38.14,40.45,359443790,CMCSA
54,2017-08,39.63,41.99,39.355,40.61,327652418,CMCSA
55,2017-09,40.77,41.34,36.44,38.48,576380663,CMCSA
56,2017-10,38.41,38.85,35.26,36.03,585793831,CMCSA
57,2017-11,36.25,37.725,34.78,37.54,531582322,CMCSA
58,2017-12,37.15,41.24,37.11,40.05,498176643,CMCSA
59,2018-01,40.39,44.0,40.05,42.53,480271817,CMCSA
60,2018-02,42.165,42.59,38.5,40.15,182645763,CMCSA
