,date,open,high,low,close,volume,Name
0,2013-02,57.07,60.1,56.6,59.67,29074993,CME
1,2013-03,59.82,63.63,59.11,61.41,38591403,CME
2,2013-04,61.99,61.99,58.36,60.86,30666828,CME
3,2013-05,60.84,70.4,58.62,67.93,41966783,CME
4,2013-06,67.97,79.45,66.58,75.95,58475079,CME
5,2013-07,76.01,78.12,73.07,74.062,42018364,CME
6,2013-08,74.84,75.37,70.31,71.11,39401714,CME
7,2013-09,71.94,75.5,70.28,73.88,37879665,CME
8,2013-10,73.8,78.02,71.58,74.21,31153772,CME
9,2013-11,74.2,84.35,72.17,81.95,31539187,CME
10,2013-12,82.02,84.71,77.59,78.46,42091623,CME
11,2014-01,77.96,79.975,72.11,74.76,50150318,CME
12,2014-02,74.48,78.0,70.52,73.82,33503932,CME
13,2014-03,73.18,77.75,72.77,74.02,37554918,CME
14,2014-04,74.42,75.0,66.44,70.39,44151781,CME
15,2014-05,70.81,72.48,67.54,72.0,29519735,CME
16,2014-06,72.06,72.49,69.16,70.95,29503477,CME
17,2014-07,70.98,76.22,69.74,73.94,31021589,CME
18,2014-08,73.71,77.42,72.25,76.55,28222659,CME
19,2014-09,76.58,83.66,75.3,79.955,34046561,CME
20,2014-10,79.96,83.88,75.94,83.81,41855731,CME
21,2014-11,84.11,86.4,82.51,84.64,24498539,CME
22,2014-12,84.59,93.91,84.01,88.65,34138713,CME
23,2015-01,89.22,89.97,83.43,85.3,31169161,CME
24,2015-02,85.84,97.12,84.765,95.93,27780170,CME
25,2015-03,95.73,100.61,93.68,94.71,41160479,CME
26,2015-04,94.48,94.98,88.22,90.91,34835000,CME
27,2015-05,91.64,96.49,89.76,94.2,25665441,CME
28,2015-06,94.48,99.2199,92.31,93.06,33901467,CME
29,2015-07,93.83,100.87,93.11,96.04,29546635,CME
30,2015-08,96.37,98.6607,84.33,94.44,34773923,CME
31,2015-09,92.35,96.23,89.302,92.74,37165024,CME
32,2015-10,92.83,97.82,86.975,94.47,31169147,CME
33,2015-11,94.96,98.87,94.06,97.65,22723622,CME
34,2015-12,98.19,100.08,90.16,90.6,34956043,CME
35,2016-01,88.8,89.9425,81.87,89.85,41290772,CME
36,2016-02,89.78,94.45,85.47,91.44,38908948,CME
37,2016-03,91.79,97.74,89.87,96.05,36490428,CME
38,2016-04,95.82,97.52,89.0,91.91,47810577,CME
39,2016-05,92.6,99.0,92.0,97.89,28144048,CME
40,2016-06,97.79,98.23,92.29,97.4,35691514,CME
41,2016-07,97.01,103.34,95.6,102.24,24918690,CME
42,2016-08,102.58,109.62,102.3,108.35,25500447,CME
43,2016-09,108.53,110.35,104.2,104.52,32543894,CME
44,2016-10,104.09,105.65,99.18,100.1,24146833,CME
45,2016-11,100.53,117.8009,98.95,112.91,46602239,CME
46,2016-12,113.59,124.01,113.001,115.35,34498010,CME
47,2017-01,116.16,121.69,113.27,121.08,28775151,CME
48,2017-02,121.5,123.55,115.6,121.46,31014634,CME
49,2017-03,123.01,127.6,117.1,118.8,37028292,CME
50,2017-04,118.82,120.79,114.8176,116.19,28142615,CME
51,2017-05,116.55,119.18,114.88,117.29,30372556,CME
52,2017-06,117.53,127.96,116.62,125.24,29858040,CME
53,2017-07,125.33,127.36,119.3,122.62,27273250,CME
54,2017-08,123.65,127.77,120.32,125.8,25577367,CME
55,2017-09,125.63,136.26,124.51,135.68,23878764,CME
56,2017-10,135.73,138.485,132.33,137.17,27301559,CME
57,2017-11,137.99,151.85,135.61,149.54,24509539,CME
58,2017-12,151.46,155.29,144.8388,146.05,31454794,CME
59,2018-01,146.12,156.49,143.6752,153.48,26651662,CME
60,2018-02,155.4,163.0,149.379,159.93,16131768,CME
