,date,open,high,low,close,volume,Name
0,2013-02,118.47,120.0,110.87,115.87,21964409,CMI
1,2013-03,114.96,119.77,111.58,115.81,32161429,CMI
2,2013-04,115.81,118.69,105.86,106.39,42749649,CMI
3,2013-05,105.25,122.315,103.41,119.63,41044998,CMI
4,2013-06,119.75,120.71,105.55,108.46,37922870,CMI
5,2013-07,109.25,123.9,107.51,121.19,36103374,CMI
6,2013-08,122.6,128.3,120.7101,123.2,31191546,CMI
7,2013-09,125.0,136.5,123.4605,132.87,26091410,CMI
8,2013-10,132.01,139.17,122.52,127.02,38805124,CMI
9,2013-11,127.42,133.86,127.0,132.36,24830783,CMI
10,2013-12,132.55,141.39,127.8101,140.97,24961529,CMI
11,2014-01,140.43,141.67,124.03,126.98,31766867,CMI
12,2014-02,127.13,148.6,122.641,145.92,40276559,CMI
13,2014-03,144.17,150.3399,139.16,148.99,26527419,CMI
14,2014-04,149.39,151.8,139.01,150.85,29479132,CMI
15,2014-05,150.46,154.87,147.0,152.93,20068915,CMI
16,2014-06,153.45,161.03,151.7,154.29,20590164,CMI
17,2014-07,153.37,158.25,139.308,139.39,32310371,CMI
18,2014-08,139.22,148.035,137.09,145.11,28636514,CMI
19,2014-09,145.37,145.63,131.24,131.98,29718518,CMI
20,2014-10,131.4,147.22,124.3,145.09,50819274,CMI
21,2014-11,146.02,149.71,141.26,145.62,29014810,CMI
22,2014-12,145.64,151.25,137.97,144.17,29943322,CMI
23,2015-01,145.22,148.04,139.22,139.46,36637552,CMI
24,2015-02,139.86,145.59,133.5,142.23,37718901,CMI
25,2015-03,142.37,146.13,136.03,138.64,35683940,CMI
26,2015-04,138.43,139.42,133.38,138.26,35783649,CMI
27,2015-05,139.32,143.4,135.49,135.55,27444305,CMI
28,2015-06,136.14,137.99,130.77,131.19,28892828,CMI
29,2015-07,132.34,132.62,123.14,129.53,35089500,CMI
30,2015-08,129.42,131.08,112.0,121.75,37053748,CMI
31,2015-09,119.14,123.06,106.7001,108.58,40271412,CMI
32,2015-10,108.5,115.37,99.76,103.51,56617000,CMI
33,2015-11,103.49,108.52,97.41,100.37,44669525,CMI
34,2015-12,96.58,96.87,84.99,88.01,77891266,CMI
35,2016-01,86.75,90.24,79.88,89.89,49179746,CMI
36,2016-02,88.94,101.19,86.83,97.57,54918466,CMI
37,2016-03,98.94,111.2888,97.1,109.94,50214060,CMI
38,2016-04,108.48,118.74,104.3,117.03,45057308,CMI
39,2016-05,117.39,120.0,106.26,114.47,40324577,CMI
40,2016-06,113.99,119.91,105.33,112.44,40462087,CMI
41,2016-07,112.01,124.09,107.51,122.77,32566858,CMI
42,2016-08,122.5,127.64,119.16,125.61,27391978,CMI
43,2016-09,125.61,128.6,116.03,128.15,30867475,CMI
44,2016-10,127.4,131.04,124.75,127.82,27415246,CMI
45,2016-11,123.33,142.68,121.22,141.78,40540790,CMI
46,2016-12,140.75,147.1,135.18,136.67,33880339,CMI
47,2017-01,138.25,150.35,134.06,147.01,24764403,CMI
48,2017-02,147.91,154.67,144.8,148.49,27060582,CMI
49,2017-03,150.94,155.51,147.47,151.2,23543534,CMI
50,2017-04,151.55,153.65,143.8301,150.94,23815870,CMI
51,2017-05,151.81,163.36,149.85,157.7,36594893,CMI
52,2017-06,158.53,164.23,155.01,162.22,27844676,CMI
53,2017-07,162.15,170.68,161.3701,167.9,23263994,CMI
54,2017-08,158.27,161.05,150.2479,159.38,31634346,CMI
55,2017-09,159.27,169.3,158.42,168.03,21547862,CMI
56,2017-10,168.45,180.856,167.4,176.88,22168793,CMI
57,2017-11,179.26,181.7901,158.75,167.4,36140166,CMI
58,2017-12,166.73,177.92,161.25,176.64,23428960,CMI
59,2018-01,177.51,194.18,176.3,188.0,26718185,CMI
60,2018-02,187.67,190.25,169.24,172.74,10733638,CMI
