,date,open,high,low,close,volume,Name
0,2013-02,25.69,26.79,25.51,26.61,28583407,CMS
1,2013-03,26.61,27.95,25.99,27.94,53907705,CMS
2,2013-04,27.94,29.94,27.67,29.94,50464429,CMS
3,2013-05,29.98,29.98,26.79,26.95,44447184,CMS
4,2013-06,26.97,27.72,25.76,27.17,55447976,CMS
5,2013-07,26.96,28.82,26.29,27.99,72463544,CMS
6,2013-08,28.17,28.62,26.4,26.53,41574779,CMS
7,2013-09,26.7,27.06,25.7407,26.32,63518010,CMS
8,2013-10,26.34,28.29,25.81,27.46,86671164,CMS
9,2013-11,27.56,27.81,26.47,26.54,55040587,CMS
10,2013-12,26.53,27.09,25.9,26.77,49550686,CMS
11,2014-01,26.8,27.81,25.95,27.79,54643003,CMS
12,2014-02,27.75,28.83,26.82,28.43,39335736,CMS
13,2014-03,28.29,29.44,27.62,29.28,41477476,CMS
14,2014-04,29.33,30.53,28.93,30.31,65693317,CMS
15,2014-05,30.3,30.43,28.7,29.75,54079795,CMS
16,2014-06,29.76,31.23,28.97,31.15,46925884,CMS
17,2014-07,31.18,31.2,28.87,28.93,50060977,CMS
18,2014-08,28.85,30.54,27.895,30.54,43997865,CMS
19,2014-09,30.56,30.83,29.1501,29.66,47917861,CMS
20,2014-10,29.65,33.04,29.59,32.67,61751442,CMS
21,2014-11,32.73,33.455,32.05,33.1,38409133,CMS
22,2014-12,32.97,36.865,32.79,34.75,45558021,CMS
23,2015-01,34.9,38.655,34.65,37.73,45464313,CMS
24,2015-02,37.81,38.12,34.28,35.13,51449993,CMS
25,2015-03,35.06,35.88,32.8,34.91,77905370,CMS
26,2015-04,34.86,35.83,33.62,33.93,56614947,CMS
27,2015-05,34.06,34.605,32.63,34.14,59288324,CMS
28,2015-06,34.12,34.27,31.22,31.84,72687255,CMS
29,2015-07,31.93,34.61,31.73,34.26,65826186,CMS
30,2015-08,34.34,35.97,32.42,32.78,60497911,CMS
31,2015-09,32.32,35.35,31.86,35.32,48570760,CMS
32,2015-10,35.39,37.3,34.5307,36.07,49416219,CMS
33,2015-11,36.06,36.27,33.84,35.02,47419007,CMS
34,2015-12,35.13,36.82,34.18,36.08,47779756,CMS
35,2016-01,35.83,39.1,34.96,38.88,58295931,CMS
36,2016-02,38.87,40.79,37.57,39.56,60373494,CMS
37,2016-03,39.71,42.49,38.32,42.44,55275773,CMS
38,2016-04,42.39,42.87,38.92,40.68,49198421,CMS
39,2016-05,40.73,42.19,39.85,41.82,42859068,CMS
40,2016-06,41.77,45.86,41.49,45.86,46113496,CMS
41,2016-07,46.09,46.25,44.25,45.18,40472051,CMS
42,2016-08,45.05,45.37,41.49,41.97,40257873,CMS
43,2016-09,41.95,44.44,41.1399,42.01,42443813,CMS
44,2016-10,41.92,42.545,40.01,42.15,37713118,CMS
45,2016-11,42.14,42.27,38.78,40.22,43918664,CMS
46,2016-12,39.95,42.0,39.42,41.62,36846893,CMS
47,2017-01,41.64,42.61,41.12,42.6,35362329,CMS
48,2017-02,42.0,44.72,41.75,44.52,34181937,CMS
49,2017-03,44.0,45.55,43.61,44.74,43544153,CMS
50,2017-04,44.76,45.85,44.36,45.4,35619432,CMS
51,2017-05,45.74,47.695,44.745,47.41,41558147,CMS
52,2017-06,47.4,48.37,46.02,46.25,39988546,CMS
53,2017-07,46.32,47.02,45.34,46.24,35867639,CMS
54,2017-08,46.87,48.91,45.98,48.54,32905655,CMS
55,2017-09,48.63,49.11,45.92,46.32,38545062,CMS
56,2017-10,46.42,48.92,45.82,48.37,42284780,CMS
57,2017-11,48.5,50.85,47.76,49.9,41699148,CMS
58,2017-12,50.09,50.245,46.76,47.3,36651632,CMS
59,2018-01,47.39,47.43,43.74,44.75,51837315,CMS
60,2018-02,44.71,44.98,41.07,42.16,21591812,CMS
