,date,open,high,low,close,volume,Name
0,2013-02,22.635,23.64,21.585,22.51,14453488,CNC
1,2013-03,22.445,24.275,21.935,22.02,19735708,CNC
2,2013-04,21.99,24.135,21.07,23.1,25623880,CNC
3,2013-05,23.09,26.301,22.97,24.75,17080226,CNC
4,2013-06,24.615,26.37,23.9,26.23,17552748,CNC
5,2013-07,26.3,29.98,26.01,27.735,18563838,CNC
6,2013-08,27.92,29.45,27.5375,28.575,15562180,CNC
7,2013-09,28.845,32.52,28.725,31.98,18878746,CNC
8,2013-10,31.985,33.92,28.07,28.08,25436282,CNC
9,2013-11,27.98,30.04,27.515,29.865,21020092,CNC
10,2013-12,29.785,31.065,27.06,29.475,25982874,CNC
11,2014-01,29.48,31.545,29.075,30.3,22395292,CNC
12,2014-02,30.37,32.035,28.44,31.84,22299378,CNC
13,2014-03,31.72,33.1725,30.655,31.125,18399008,CNC
14,2014-04,31.455,34.13,27.555,33.2,37421160,CNC
15,2014-05,33.295,37.31,32.595,37.26,23987766,CNC
16,2014-06,37.355,38.84,35.595,37.805,36432240,CNC
17,2014-07,37.9,40.99,35.84,36.045,46357260,CNC
18,2014-08,36.055,39.26,35.4881,39.065,22127964,CNC
19,2014-09,39.035,41.985,37.91,41.355,48989526,CNC
20,2014-10,41.37,49.005,37.53,46.335,36819584,CNC
21,2014-11,46.605,50.08,45.4,49.385,25013674,CNC
22,2014-12,49.06,54.24,48.155,51.925,26844756,CNC
23,2015-01,53.16,56.4,51.725,54.58,22041116,CNC
24,2015-02,54.825,62.27,53.32,61.46,23169241,CNC
25,2015-03,61.41,71.66,61.01,70.69,24106969,CNC
26,2015-04,70.56,74.26,61.85,61.99,29076850,CNC
27,2015-05,62.15,75.5,62.13,75.34,28017818,CNC
28,2015-06,75.56,82.1799,71.82,80.4,30701063,CNC
29,2015-07,81.31,83.0,67.09,70.13,56590942,CNC
30,2015-08,70.46,73.45,57.57,61.72,33236092,CNC
31,2015-09,60.35,64.89,50.93,54.23,34334714,CNC
32,2015-10,54.07,62.0,51.75,59.48,46177075,CNC
33,2015-11,59.5,62.1,53.92,57.75,30078144,CNC
34,2015-12,58.32,67.53,55.89,65.81,41638482,CNC
35,2016-01,64.61,68.42,57.86,62.06,38859003,CNC
36,2016-02,61.52,64.29,47.36,56.96,48474181,CNC
37,2016-03,57.54,64.77,53.4,61.57,90640191,CNC
38,2016-04,61.17,66.96,57.8,61.96,54164485,CNC
39,2016-05,62.05,63.47,55.6,62.35,38884386,CNC
40,2016-06,62.0,71.53,61.75,71.37,43543628,CNC
41,2016-07,71.0,75.57,63.44,70.55,45467220,CNC
42,2016-08,70.42,72.75,67.2,68.29,29026431,CNC
43,2016-09,68.12,69.6,63.37,66.96,26448600,CNC
44,2016-10,66.58,66.8,59.65,62.48,32272595,CNC
45,2016-11,62.69,67.41,50.0,57.63,54986800,CNC
46,2016-12,57.43,59.79,54.4,56.51,39990015,CNC
47,2017-01,57.23,64.89,56.0,63.27,28595042,CNC
48,2017-02,63.31,71.89,63.117,70.5,35856638,CNC
49,2017-03,71.66,73.23,65.03,71.26,50415304,CNC
50,2017-04,71.31,75.43,69.2,74.4,30885789,CNC
51,2017-05,74.4,77.6,72.14,72.63,37698750,CNC
52,2017-06,72.69,85.795,72.67,79.88,37281085,CNC
53,2017-07,80.0,87.94,79.06,79.42,31941443,CNC
54,2017-08,83.66,88.9625,79.88,88.85,25043299,CNC
55,2017-09,88.9,98.715,87.0,96.77,38765053,CNC
56,2017-10,97.13,98.37899999999999,83.56,93.67,46898456,CNC
57,2017-11,94.09,102.44,90.065,102.09,25306512,CNC
58,2017-12,102.39,104.65,94.69,100.88,31552054,CNC
59,2018-01,100.7,112.42,99.07,107.24,23228235,CNC
60,2018-02,106.99,107.31,99.19,104.38,10994684,CNC
