,date,open,high,low,close,volume,Name
0,2013-02,20.85,21.53,20.32,21.43,61832677,CNP
1,2013-03,21.48,24.05,21.27,23.96,82138318,CNP
2,2013-04,23.89,24.7,23.42,24.68,58084940,CNP
3,2013-05,24.68,24.73,22.81,23.18,64335772,CNP
4,2013-06,23.19,23.9,22.22,23.49,58771042,CNP
5,2013-07,23.78,24.99,23.08,24.82,42873019,CNP
6,2013-08,25.38,25.65,22.73,22.93,79203660,CNP
7,2013-09,23.09,24.63,22.49,23.97,63435445,CNP
8,2013-10,24.02,25.04,23.75,24.6,57626856,CNP
9,2013-11,24.64,25.3,22.94,23.43,115594534,CNP
10,2013-12,23.17,23.51,22.46,23.18,74471761,CNP
11,2014-01,23.17,23.87,22.69,23.4,73322804,CNP
12,2014-02,23.47,24.7,22.62,23.65,88697660,CNP
13,2014-03,23.53,24.27,22.94,23.69,99076321,CNP
14,2014-04,23.72,24.96,23.19,24.76,101470536,CNP
15,2014-05,25.23,25.55,23.385,24.12,74687257,CNP
16,2014-06,24.09,25.75,23.6,25.54,95421474,CNP
17,2014-07,25.58,25.62,24.3,24.32,55343586,CNP
18,2014-08,24.29,24.91,23.47,24.84,69324196,CNP
19,2014-09,24.85,25.09,23.73,24.47,73069188,CNP
20,2014-10,24.52,24.94,21.07,24.55,112017589,CNP
21,2014-11,24.63,25.56,23.845,23.94,78821296,CNP
22,2014-12,23.85,24.375,21.405,23.43,94972955,CNP
23,2015-01,23.45,23.66,22.21,23.09,71189867,CNP
24,2015-02,23.12,23.3,20.63,20.79,86527895,CNP
25,2015-03,20.81,21.47,20.23,20.41,88478909,CNP
26,2015-04,20.4,21.475,20.28,20.97,69415115,CNP
27,2015-05,21.03,21.29,19.63,20.37,75790813,CNP
28,2015-06,20.4,20.42,18.92,19.03,83797832,CNP
29,2015-07,19.07,19.6601,18.2,19.34,78299836,CNP
30,2015-08,19.37,20.1,17.715,18.62,88537422,CNP
31,2015-09,18.31,18.57,17.48,18.04,81972893,CNP
32,2015-10,18.1,19.26,17.6,18.55,90121572,CNP
33,2015-11,18.55,18.9,16.85,16.95,84879675,CNP
34,2015-12,17.01,18.48,16.05,18.36,135340916,CNP
35,2016-01,18.26,18.49,16.38,17.87,106853934,CNP
36,2016-02,18.25,19.27,17.52,18.63,114846692,CNP
37,2016-03,18.8,21.39,18.315,20.92,101990204,CNP
38,2016-04,20.84,21.51,20.46,21.45,72762552,CNP
39,2016-05,21.46,22.73,21.25,22.53,77911461,CNP
40,2016-06,22.41,24.11,22.35,24.0,79096390,CNP
41,2016-07,24.08,24.71,23.43,23.92,94558686,CNP
42,2016-08,23.89,24.01,21.97,22.47,118837876,CNP
43,2016-09,22.41,24.43,22.27,23.23,76369485,CNP
44,2016-10,23.18,23.18,21.83,22.8,57797780,CNP
45,2016-11,22.83,24.415,21.91,23.86,78816235,CNP
46,2016-12,23.8,24.98,23.57,24.64,81377570,CNP
47,2017-01,24.72,26.23,24.45,26.21,60253954,CNP
48,2017-02,26.09,27.43,25.51,27.32,53732421,CNP
49,2017-03,27.19,28.18,27.05,27.57,74114130,CNP
50,2017-04,27.55,28.86,27.3,28.53,50421214,CNP
51,2017-05,28.58,28.73,26.87,28.61,60956591,CNP
52,2017-06,28.61,29.08,27.35,27.38,63288354,CNP
53,2017-07,27.47,28.34,26.975,28.19,52603236,CNP
54,2017-08,28.15,30.115,27.61,29.62,68314748,CNP
55,2017-09,29.7,30.45,28.9,29.21,61420351,CNP
56,2017-10,29.25,29.965,28.6,29.58,54862880,CNP
57,2017-11,29.71,30.07,28.2,30.01,53136940,CNP
58,2017-12,30.17,30.17,27.75,28.36,57421358,CNP
59,2018-01,28.39,28.49,27.11,28.18,83280159,CNP
60,2018-02,28.17,28.32,25.85,26.36,26152098,CNP
