,date,open,high,low,close,volume,Name
0,2013-02,57.38,57.56,50.69,51.03,99478898,COF
1,2013-03,50.21,55.52,50.21,54.95,106274965,COF
2,2013-04,55.06,57.93,52.34,57.78,104865333,COF
3,2013-05,57.78,63.63,57.05,60.93,82862969,COF
4,2013-06,61.18,63.115,59.6701,62.81,65359757,COF
5,2013-07,63.17,70.0,63.09,69.02,66984840,COF
6,2013-08,69.48,69.79,63.65,64.55,48895891,COF
7,2013-09,65.31,69.84,63.99,68.74,48808933,COF
8,2013-10,69.04,72.99,67.36,68.67,78478025,COF
9,2013-11,68.79,72.1765,68.63,71.63,54046156,COF
10,2013-12,72.65,76.71,71.02,76.61,54831567,COF
11,2014-01,76.61,78.49,69.72,70.61,76614783,COF
12,2014-02,70.52,74.065,67.86,73.43,51144507,COF
13,2014-03,72.69,77.55,71.965,77.16,56418891,COF
14,2014-04,77.33,77.91,72.63,73.9,75490182,COF
15,2014-05,73.9,79.24,73.39,78.89,59819210,COF
16,2014-06,78.92,83.89,78.11,82.6,68172033,COF
17,2014-07,83.12,85.39,79.54,79.54,68131508,COF
18,2014-08,79.8,82.66,77.7,82.06,51973478,COF
19,2014-09,82.34,84.66,80.66,81.62,58851089,COF
20,2014-10,81.75,83.1,75.08,82.77,83655921,COF
21,2014-11,83.0,83.69,80.22,83.2,45866853,COF
22,2014-12,82.54,83.96,77.72,82.55,61876288,COF
23,2015-01,82.79,83.235,73.11,73.21,72990576,COF
24,2015-02,73.7,80.82,72.77,78.71,54988489,COF
25,2015-03,78.34,81.99,77.7,78.82,57615518,COF
26,2015-04,78.83,83.21,78.57,80.85,53253958,COF
27,2015-05,81.24,85.68,80.97,83.56,48581143,COF
28,2015-06,83.8,90.1,83.05,87.97,61684495,COF
29,2015-07,89.01,92.1,77.795,81.3,79977971,COF
30,2015-08,81.46,82.67,67.73,77.75,65623466,COF
31,2015-09,75.68,77.98,71.042,72.52,57105759,COF
32,2015-10,72.63,81.41,70.17,78.9,62511773,COF
33,2015-11,79.37,81.62,76.32,78.51,54282387,COF
34,2015-12,79.04,79.96,71.1,72.18,58138608,COF
35,2016-01,70.77,70.91,58.49,65.62,94785726,COF
36,2016-02,65.0,68.19,58.74,65.73,78594765,COF
37,2016-03,66.67,71.39,66.15,69.31,62579144,COF
38,2016-04,69.73,76.3,66.1,72.39,62816499,COF
39,2016-05,72.87,74.35,68.325,73.24,58903575,COF
40,2016-06,72.51,73.38,58.025,63.51,107836594,COF
41,2016-07,63.48,69.5,59.66,67.08,78111674,COF
42,2016-08,67.28,71.72,66.0,71.6,63395703,COF
43,2016-09,71.6,72.77,69.49,71.83,66223208,COF
44,2016-10,71.6,76.16,70.5,74.04,71676935,COF
45,2016-11,74.43,84.7982,71.91,84.04,95439050,COF
46,2016-12,84.45,91.64,84.17,87.24,72573899,COF
47,2017-01,88.55,90.77,85.77,87.39,51381585,COF
48,2017-02,88.1,93.9301,85.84,93.86,44703216,COF
49,2017-03,95.0,96.92,81.32,86.66,60805369,COF
50,2017-04,86.88,86.91,79.91,80.38,63251075,COF
51,2017-05,81.17,83.21,76.05,76.92,63191679,COF
52,2017-06,77.46,83.52,76.81,82.62,64904716,COF
53,2017-07,83.42,88.24,80.04,86.18,60561124,COF
54,2017-08,85.85,87.37,78.93,79.61,47516477,COF
55,2017-09,79.86,84.88,76.98,84.66,55870429,COF
56,2017-10,84.98,93.3999,83.88,92.18,51691386,COF
57,2017-11,92.66,93.4189,85.17,92.0,41976489,COF
58,2017-12,92.18,101.43,89.68,99.58,40317298,COF
59,2018-01,100.08,106.5,98.75,103.96,51194128,COF
60,2018-02,103.77,104.88,93.141,98.12,13075878,COF
