,date,open,high,low,close,volume,Name
0,2013-02,27.26,31.31,26.22,30.985,71604714,COG
1,2013-03,30.9,34.49,30.795,33.805,86654152,COG
2,2013-04,33.485,35.695,31.63,34.025,109536752,COG
3,2013-05,33.785,37.115,32.955,35.18,81378532,COG
4,2013-06,35.25,36.475,32.84,35.51,69913132,COG
5,2013-07,35.84,39.035,34.325,37.91,88009684,COG
6,2013-08,38.44,39.97,36.49,39.13,62408671,COG
7,2013-09,39.77,40.34,35.35,37.32,112974686,COG
8,2013-10,37.32,37.6,34.41,35.32,120602139,COG
9,2013-11,35.24,35.37,31.79,34.45,113908145,COG
10,2013-12,34.57,39.35,34.0,38.76,105023340,COG
11,2014-01,38.57,40.94,36.38,39.98,109464568,COG
12,2014-02,40.55,41.78,34.7,35.0,170399389,COG
13,2014-03,34.88,35.95,31.86,33.88,159991026,COG
14,2014-04,34.08,39.33,32.17,39.28,181052067,COG
15,2014-05,39.26,39.46,35.68,36.24,120393588,COG
16,2014-06,36.21,36.49,33.6,34.14,105236938,COG
17,2014-07,34.15,35.405,32.265,32.95,118066361,COG
18,2014-08,32.78,34.78,32.601,33.54,85790942,COG
19,2014-09,33.91,34.22,30.75,32.69,116054782,COG
20,2014-10,32.64,32.98,27.75,31.1,167696243,COG
21,2014-11,31.44,35.24,29.87,33.04,104195704,COG
22,2014-12,32.78,33.57,29.04,29.61,154579411,COG
23,2015-01,29.47,30.39,26.01,26.5,149180208,COG
24,2015-02,26.86,30.01,26.45,29.0,134325500,COG
25,2015-03,29.0,29.85,26.83,29.53,117690877,COG
26,2015-04,29.48,34.24,29.48,33.82,121540180,COG
27,2015-05,33.79,35.64,33.49,33.96,108103456,COG
28,2015-06,33.91,34.56,31.27,31.54,107138641,COG
29,2015-07,31.51,31.68,25.5,26.16,127411268,COG
30,2015-08,25.75,27.24,20.94,23.67,147690238,COG
31,2015-09,22.96,24.47,21.31,21.86,120828020,COG
32,2015-10,22.14,24.15,20.0,21.71,155569284,COG
33,2015-11,21.53,23.04,18.61,18.83,104935847,COG
34,2015-12,18.78,18.96,14.94,17.69,197849549,COG
35,2016-01,17.67,20.8,14.88,20.75,204511779,COG
36,2016-02,20.24,22.25,18.48,20.13,276576546,COG
37,2016-03,20.39,23.31,19.58,22.71,182145916,COG
38,2016-04,22.26,24.17,21.9,23.4,138119362,COG
39,2016-05,23.33,25.04,22.7,23.97,101472069,COG
40,2016-06,23.82,26.44,23.79,25.74,102281881,COG
41,2016-07,25.81,26.53,23.26,24.67,97432258,COG
42,2016-08,24.58,26.32,23.53,24.63,117916560,COG
43,2016-09,24.44,26.74,24.02,25.8,122326461,COG
44,2016-10,25.89,25.93,20.18,20.88,188135441,COG
45,2016-11,20.99,24.49,20.02,22.12,127560191,COG
46,2016-12,23.06,24.75,21.39,23.36,138242382,COG
47,2017-01,22.98,23.33,20.99,21.48,130268610,COG
48,2017-02,21.64,24.35,20.55,21.9,137936411,COG
49,2017-03,22.11,24.27,22.0,23.91,151976746,COG
50,2017-04,23.95,25.13,23.1,23.24,108880200,COG
51,2017-05,23.35,25.32,22.1,22.19,144196932,COG
52,2017-06,22.28,25.405,21.4,25.08,160396070,COG
53,2017-07,25.09,26.08,23.89,24.87,104921937,COG
54,2017-08,24.57,25.655,24.07,25.55,99521303,COG
55,2017-09,25.55,27.21,25.55,26.75,111137183,COG
56,2017-10,26.48,28.0,24.1,27.7,115135681,COG
57,2017-11,27.75,29.57,27.17,28.95,109826946,COG
58,2017-12,29.23,29.54,26.46,28.6,89056917,COG
59,2018-01,28.31,29.56,26.26,26.35,97240825,COG
60,2018-02,26.29,26.46,23.35,23.37,39009954,COG
